,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Investments,-102000000.0,-30000000.0,-30000000.0,-30000000.0
Change To Liabilities,2155000000.0,1345000000.0,1037000000.0,834000000.0
Total Cashflows From Investing Activities,-1916000000.0,-1855000000.0,-1515000000.0,-2582000000.0
Net Borrowings,-1456000000.0,-1526000000.0,-1588000000.0,-1162000000.0
Total Cash From Financing Activities,-1257000000.0,-1381000000.0,-1549000000.0,-1016000000.0
Change To Operating Activities,-784000000.0,-993000000.0,-521000000.0,-716000000.0
Issuance Of Stock,262000000.0,192000000.0,70000000.0,183000000.0
Net Income,2321000000.0,1618000000.0,1142000000.0,438000000.0
Change In Cash,1450000000.0,-131000000.0,-898000000.0,-2178000000.0
Effect Of Exchange Rate,38000000.0,-42000000.0,42000000.0,-221000000.0
Total Cash From Operating Activities,4585000000.0,3147000000.0,2124000000.0,1641000000.0
Depreciation,747000000.0,761000000.0,681000000.0,621000000.0
Change To Inventory,-534000000.0,-488000000.0,-581000000.0,-106000000.0
Change To Account Receivables,18000000.0,135000000.0,-259000000.0,-24000000.0
Other Cashflows From Financing Activities,-63000000.0,-47000000.0,-31000000.0,-37000000.0
Change To Netincome,662000000.0,769000000.0,625000000.0,594000000.0
Capital Expenditures,-1814000000.0,-1825000000.0,-1515000000.0,-2860000000.0
Other Cashflows From Investing Activities,,,,6000000.0
