2021-09-30,2021-06-30,2021-03-31,2020-12-31
4183000000.0,-4334000000.0,2517000000.0,2593000000.0
-3356000000.0,13014000000.0,360000000.0,-3194000000.0
-3250000000.0,-10853000000.0,-9684000000.0,-1669000000.0
-4826000000.0,-4826000000.0,-500000000.0,-3250000000.0
-16276000000.0,-11371000000.0,-13192000000.0,-13634000000.0
-3551000000.0,799000000.0,1305000000.0,1879000000.0
612000000.0,450000000.0,396000000.0,302000000.0
20505000000.0,16458000000.0,15457000000.0,15463000000.0
4941000000.0,522000000.0,-730000000.0,-2773000000.0
-7684000000.0,-7177000000.0,-6930000000.0,-6535000000.0
-73000000.0,36000000.0,-33000000.0,14000000.0
24540000000.0,22710000000.0,22179000000.0,12516000000.0
3212000000.0,2558000000.0,2936000000.0,2761000000.0
-417000000.0,434000000.0,400000000.0,327000000.0
-4206000000.0,-4214000000.0,-4221000000.0,-4230000000.0
-777000000.0,-388000000.0,-329000000.0,788000000.0
10486000000.0,-11606000000.0,290000000.0,-4008000000.0
-172000000.0,-430000000.0,-1937000000.0,79000000.0
-4632000000.0,1907000000.0,1086000000.0,1195000000.0
-5810000000.0,-6452000000.0,-5089000000.0,-4174000000.0
