,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Investments,5643000000.0,4183000000.0,-4334000000.0,2517000000.0
Change To Liabilities,-4108000000.0,-3356000000.0,13014000000.0,360000000.0
Total Cashflows From Investing Activities,-1161000000.0,-3250000000.0,-10853000000.0,-9684000000.0
Total Cash From Financing Activities,-11986000000.0,-16276000000.0,-11371000000.0,-13192000000.0
Change To Operating Activities,1760000000.0,-3551000000.0,799000000.0,1305000000.0
Issuance Of Stock,291000000.0,612000000.0,450000000.0,396000000.0
Net Income,18765000000.0,20505000000.0,16458000000.0,15457000000.0
Change In Cash,1439000000.0,4941000000.0,522000000.0,-730000000.0
Repurchase Of Stock,-7433000000.0,-7684000000.0,-7177000000.0,-6930000000.0
Effect Of Exchange Rate,106000000.0,-73000000.0,36000000.0,-33000000.0
Total Cash From Operating Activities,14480000000.0,24540000000.0,22710000000.0,22179000000.0
Depreciation,3496000000.0,3212000000.0,2558000000.0,2936000000.0
Other Cashflows From Investing Activities,-89000000.0,-417000000.0,434000000.0,400000000.0
Dividends Paid,-4652000000.0,-4206000000.0,-4214000000.0,-4221000000.0
Change To Inventory,394000000.0,-777000000.0,-388000000.0,-329000000.0
Change To Account Receivables,-5543000000.0,10486000000.0,-11606000000.0,290000000.0
Other Cashflows From Financing Activities,-192000000.0,-172000000.0,-430000000.0,-1937000000.0
Change To Netincome,1773000000.0,-4632000000.0,1907000000.0,1086000000.0
Capital Expenditures,-5865000000.0,-5810000000.0,-6452000000.0,-5089000000.0
Net Borrowings,,-4826000000.0,-4826000000.0,-500000000.0
