,PCU44414441
2003-12-01,100.0
2004-01-01,102.5
2004-02-01,104.1
2004-03-01,105.1
2004-04-01,108.6
2004-05-01,107.7
2004-06-01,108.7
2004-07-01,113.1
2004-08-01,112.5
2004-09-01,115.5
2004-10-01,110.6
2004-11-01,108.4
2004-12-01,108.1
2005-01-01,108.6
2005-02-01,110.8
2005-03-01,110.0
2005-04-01,110.4
2005-05-01,106.9
2005-06-01,106.8
2005-07-01,106.6
2005-08-01,108.1
2005-09-01,111.2
2005-10-01,111.2
2005-11-01,112.6
2005-12-01,115.3
2006-01-01,115.7
2006-02-01,116.6
2006-03-01,115.1
2006-04-01,117.9
2006-05-01,116.4
2006-06-01,122.8
2006-07-01,122.5
2006-08-01,123.6
2006-09-01,127.7
2006-10-01,122.0
2006-11-01,117.2
2006-12-01,119.8
2007-01-01,119.7
2007-02-01,121.0
2007-03-01,121.1
2007-04-01,121.3
2007-05-01,124.6
2007-06-01,125.2
2007-07-01,125.1
2007-08-01,123.5
2007-09-01,122.9
2007-10-01,122.0
2007-11-01,120.2
2007-12-01,122.1
2008-01-01,120.4
2008-02-01,120.5
2008-03-01,119.6
2008-04-01,119.0
2008-05-01,119.5
2008-06-01,123.5
2008-07-01,123.9
2008-08-01,122.6
2008-09-01,122.6
2008-10-01,120.9
2008-11-01,120.6
2008-12-01,119.1
2009-01-01,122.0
2009-02-01,120.9
2009-03-01,122.0
2009-04-01,122.0
2009-05-01,120.8
2009-06-01,123.0
2009-07-01,121.9
2009-08-01,122.6
2009-09-01,121.5
2009-10-01,118.2
2009-11-01,114.9
2009-12-01,119.5
2010-01-01,119.7
2010-02-01,119.6
2010-03-01,120.3
2010-04-01,126.2
2010-05-01,125.6
2010-06-01,120.0
2010-07-01,122.0
2010-08-01,121.3
2010-09-01,121.4
2010-10-01,120.4
2010-11-01,120.2
2010-12-01,121.6
2011-01-01,122.1
2011-02-01,123.8
2011-03-01,125.1
2011-04-01,125.5
2011-05-01,124.2
2011-06-01,123.1
2011-07-01,123.2
2011-08-01,124.3
2011-09-01,123.8
2011-10-01,126.1
2011-11-01,126.0
2011-12-01,125.2
2012-01-01,126.0
2012-02-01,126.9
2012-03-01,127.4
2012-04-01,128.9
2012-05-01,127.8
2012-06-01,128.8
2012-07-01,128.5
2012-08-01,130.4
2012-09-01,132.3
2012-10-01,132.2
2012-11-01,131.4
2012-12-01,133.4
2013-01-01,135.8
2013-02-01,138.9
2013-03-01,139.1
2013-04-01,141.9
2013-05-01,140.7
2013-06-01,140.2
2013-07-01,140.6
2013-08-01,138.0
2013-09-01,139.0
2013-10-01,137.5
2013-11-01,135.8
2013-12-01,136.0
2014-01-01,136.0
2014-02-01,135.6
2014-03-01,133.8
2014-04-01,133.9
2014-05-01,134.1
2014-06-01,134.6
2014-07-01,136.0
2014-08-01,135.7
2014-09-01,137.2
2014-10-01,136.6
2014-11-01,137.1
2014-12-01,135.9
2015-01-01,136.1
2015-02-01,138.6
2015-03-01,138.6
2015-04-01,137.7
2015-05-01,138.7
2015-06-01,138.4
2015-07-01,139.8
2015-08-01,138.3
2015-09-01,136.9
2015-10-01,136.3
2015-11-01,137.5
2015-12-01,137.2
2016-01-01,136.4
2016-02-01,137.8
2016-03-01,136.7
2016-04-01,137.8
2016-05-01,138.5
2016-06-01,140.9
2016-07-01,139.7
2016-08-01,140.5
2016-09-01,139.4
2016-10-01,138.0
2016-11-01,138.9
2016-12-01,139.8
2017-01-01,140.1
2017-02-01,140.3
2017-03-01,142.9
2017-04-01,141.1
2017-05-01,142.2
2017-06-01,142.6
2017-07-01,143.1
2017-08-01,144.9
2017-09-01,142.2
2017-10-01,143.1
2017-11-01,143.5
2017-12-01,145.7
2018-01-01,145.2
2018-02-01,147.1
2018-03-01,147.9
2018-04-01,150.0
2018-05-01,151.4
2018-06-01,153.3
2018-07-01,154.4
2018-08-01,151.9
2018-09-01,151.5
2018-10-01,152.2
2018-11-01,149.8
2018-12-01,151.0
2019-01-01,148.1
2019-02-01,148.4
2019-03-01,152.0
2019-04-01,155.8
2019-05-01,150.2
2019-06-01,148.6
2019-07-01,151.7
2019-08-01,152.1
2019-09-01,155.0
2019-10-01,152.4
2019-11-01,152.2
2019-12-01,153.1
2020-01-01,153.5
2020-02-01,152.2
2020-03-01,153.0
2020-04-01,155.7
2020-05-01,153.5
2020-06-01,160.7
2020-07-01,163.9
2020-08-01,179.8
2020-09-01,197.6
2020-10-01,196.4
2020-11-01,177.5
2020-12-01,177.6
2021-01-01,189.7
2021-02-01,194.9
2021-03-01,198.9
2021-04-01,213.3
2021-05-01,235.1
2021-06-01,251.7
2021-07-01,229.959
2021-08-01,212.302
2021-09-01,204.828
2021-10-01,204.302
2021-11-01,193.743
2021-12-01,198.128
2022-01-01,205.591
