,EA19PIEATI01GYM
2001-01-01,6.78851174934725
2001-02-01,6.63198959687905
2001-03-01,6.33893919793015
2001-04-01,6.71834625322997
2001-05-01,5.88235294117646
2001-06-01,5.34351145038168
2001-07-01,3.9141414141414
2001-08-01,3.01507537688444
2001-09-01,1.85873605947956
2001-10-01,-0.123001230012287
2001-11-01,-1.10294117647058
2001-12-01,-0.739827373612811
2002-01-01,-1.34474327628361
2002-02-01,-1.46341463414636
2002-03-01,-1.33819951338201
2002-04-01,-1.81598062953995
2002-05-01,-2.17391304347825
2002-06-01,-2.29468599033815
2002-07-01,-1.82260024301337
2002-08-01,-1.46341463414636
2002-09-01,-1.33819951338201
2002-10-01,0.246305418719212
2002-11-01,0.371747211895911
2002-12-01,0.993788819875764
2003-01-01,2.10656753407683
2003-02-01,2.59900990099012
2003-03-01,2.34278668310729
2003-04-01,1.60295930949447
2003-05-01,1.11111111111111
2003-06-01,1.35970333745365
2003-07-01,1.60891089108911
2003-08-01,1.980198019802
2003-09-01,1.60295930949447
2003-10-01,1.22850122850123
2003-11-01,1.7283950617284
2003-12-01,1.230012300123
2004-01-01,-0.242718446601942
2004-02-01,-0.723763570566962
2004-03-01,-0.36144578313253
2004-04-01,0.849514563106783
2004-05-01,2.1978021978022
2004-06-01,2.07317073170732
2004-07-01,2.43605359317905
2004-08-01,2.54854368932038
2004-09-01,2.79126213592233
2004-10-01,4.00485436893204
2004-11-01,3.2766990291262
2004-12-01,2.9161603888214
2005-01-01,3.89294403892944
2005-02-01,4.00972053462941
2005-03-01,4.23216444981862
2005-04-01,4.09145607701565
2005-05-01,3.10633213859019
2005-06-01,3.82317801672641
2005-07-01,3.80499405469679
2005-08-01,3.78698224852071
2005-09-01,4.01416765053128
2005-10-01,3.38389731621936
2005-11-01,3.87779083431259
2005-12-01,4.60448642266823
2006-01-01,4.80093676814987
2006-02-01,5.02336448598131
2006-03-01,4.75638051044083
2006-04-01,5.20231213872833
2006-05-01,5.79374275782156
2006-06-01,5.2934407364787
2006-07-01,5.61282932416954
2006-08-01,5.13112884834664
2006-09-01,3.97275822928489
2006-10-01,3.49887133182845
2006-11-01,3.61990950226242
2006-12-01,3.27313769751693
2007-01-01,2.45810055865922
2007-02-01,2.22469410456062
2007-03-01,2.10409745293466
2007-04-01,1.75824175824175
2007-05-01,1.75246440306681
2007-06-01,1.74863387978141
2007-07-01,1.19305856832971
2007-08-01,1.30151843817788
2007-09-01,2.18340611353712
2007-10-01,2.72628135223555
2007-11-01,3.71179039301312
2007-12-01,3.82513661202186
2008-01-01,4.25299890948745
2008-02-01,4.5701849836779
2008-03-01,4.77223427331886
2008-04-01,5.07559395248381
2008-05-01,5.81270182992464
2008-06-01,6.87432867883996
2008-07-01,7.93140407288319
2008-08-01,7.38758029978585
2008-09-01,7.15811965811965
2008-10-01,5.83864118895965
2008-11-01,2.73684210526315
2008-12-01,0.947368421052632
2009-01-01,-0.627615062761495
2009-02-01,-1.45681581685743
2009-03-01,-2.79503105590061
2009-04-01,-4.21377183967111
2009-05-01,-5.08646998982706
2009-06-01,-6.03015075376884
2009-07-01,-7.74577954319762
2009-08-01,-6.9790628115653
2009-09-01,-7.27816550348952
2009-10-01,-6.51955867602808
2009-11-01,-4.30327868852458
2009-12-01,-2.60688216892597
2010-01-01,-0.947368421052644
2010-02-01,-0.422386483632536
2010-03-01,1.06496272630458
2010-04-01,2.6824034334764
2010-05-01,3.10825294748126
2010-06-01,3.31550802139037
2010-07-01,4.19806243272335
2010-08-01,3.85852090032156
2010-09-01,4.40860215053763
2010-10-01,4.29184549356224
2010-11-01,4.38972162740898
2010-12-01,5.24625267665952
2011-01-01,5.63230605738578
2011-02-01,6.04453870625663
2011-03-01,6.11169652265543
2011-04-01,6.06060606060607
2011-05-01,5.50935550935551
2011-06-01,4.96894409937889
2011-07-01,5.26859504132233
2011-08-01,5.05675954592362
2011-09-01,5.04634397528322
2011-10-01,5.04115226337447
2011-11-01,4.92307692307692
2011-12-01,3.86571719226856
2012-01-01,3.42052313883299
2012-02-01,3.29999999999999
2012-03-01,2.97914597815293
2012-04-01,2.36453201970444
2012-05-01,2.16748768472907
2012-06-01,1.87376725838263
2012-07-01,1.66830225711481
2012-08-01,2.55402750491159
2012-09-01,2.35294117647059
2012-10-01,2.15475024485798
2012-11-01,1.75953079178886
2012-12-01,1.56709108716946
2013-01-01,1.16731517509728
2013-02-01,0.774443368828655
2013-03-01,0.192864030858245
2013-04-01,-0.577478344562101
2013-05-01,-0.675024108003868
2013-06-01,-0.387221684414306
2013-07-01,-0.482625482625494
2013-08-01,-1.24521072796936
2013-09-01,-1.14942528735632
2013-10-01,-1.53403643336527
2013-11-01,-1.34486071085493
2013-12-01,-0.867888138862114
2014-01-01,-1.4423076923077
2014-02-01,-1.63304514889528
2014-03-01,-1.73243503368626
2014-04-01,-1.25847047434655
2014-05-01,-0.970873786407768
2014-06-01,-0.680272108843549
2014-07-01,-0.969932104752668
2014-08-01,-1.26091173617846
2014-09-01,-1.16279069767442
2014-10-01,-0.876338851022407
2014-11-01,-1.26582278481014
2014-12-01,-2.2373540856031
2015-01-01,-2.82926829268292
2015-02-01,-2.05078125000001
2015-03-01,-1.37120470127324
2015-04-01,-1.07843137254901
2015-05-01,-1.07843137254901
2015-06-01,-1.36986301369863
2015-07-01,-1.37120470127324
2015-08-01,-1.96463654223969
2015-09-01,-2.54901960784313
2015-10-01,-2.65225933202358
2015-11-01,-2.16962524654831
2015-12-01,-1.99004975124379
2016-01-01,-2.10843373493976
2016-02-01,-3.38983050847456
2016-03-01,-3.57497517378353
2016-04-01,-3.96432111000991
2016-05-01,-3.46878097125867
2016-06-01,-2.77777777777778
2016-07-01,-2.48262164846078
2016-08-01,-1.70340681362726
2016-09-01,-1.20724346076459
2016-10-01,-0.201816347124106
2016-11-01,0.100806451612892
2016-12-01,1.62436548223349
2017-01-01,3.4871794871795
2017-02-01,4.12796697626419
2017-03-01,3.70751802265707
2017-04-01,4.12796697626419
2017-05-01,3.18275154004107
2017-06-01,2.24489795918368
2017-07-01,1.93482688391037
2017-08-01,2.14067278287462
2017-09-01,2.44399185336048
2017-10-01,1.82002022244692
2017-11-01,2.01409869083584
2017-12-01,1.49850149850151
2018-01-01,0.991080277502478
2018-02-01,0.89197224975222
2018-03-01,1.19165839126117
2018-04-01,0.991080277502478
2018-05-01,2.28855721393034
2018-06-01,2.99401197604791
2018-07-01,3.59640359640362
2018-08-01,3.79241516966068
2018-09-01,3.77733598409543
2018-10-01,4.07149950347566
2018-11-01,3.15893385982231
2018-12-01,2.16535433070866
2019-01-01,2.06084396467124
2019-02-01,2.25933202357563
2019-03-01,2.15897939156033
2019-04-01,2.15897939156033
2019-05-01,1.16731517509728
2019-06-01,0.193798449612403
2019-07-01,-0.192864030858266
2019-08-01,-0.76923076923077
2019-09-01,-0.957854406130269
2019-10-01,-1.52671755725191
2019-11-01,-1.05263157894736
2019-12-01,-0.289017341040473
2020-01-01,-0.384615384615385
2020-02-01,-0.96061479346782
2020-03-01,-2.49759846301631
2020-04-01,-4.13064361191162
2020-05-01,-4.42307692307692
2020-06-01,-3.38491295938104
2020-07-01,-2.9951690821256
2020-08-01,-2.71317829457365
2020-09-01,-2.80464216634429
2020-10-01,-2.32558139534884
2020-11-01,-2.22437137330756
2020-12-01,-1.83574879227052
2021-01-01,-0.482625482625494
2021-02-01,0.678952473326879
2021-03-01,3.34975369458128
2021-04-01,6.0120240480962
2021-05-01,7.54527162977868
2021-06-01,8.40840840840839
2021-07-01,10.1593625498008
2021-08-01,11.2549800796813
2021-09-01,13.4328358208955
2021-10-01,17.8571428571428
2021-11-01,19.188921859545
