,PCU336370336370
1975-12-01,69.0
1976-01-01,69.8
1976-02-01,69.8
1976-03-01,69.8
1976-04-01,70.9
1976-05-01,71.3
1976-06-01,71.6
1976-07-01,72.2
1976-08-01,73.4
1976-09-01,73.6
1976-10-01,73.8
1976-11-01,74.0
1976-12-01,73.1
1977-01-01,73.7
1977-02-01,73.9
1977-03-01,74.0
1977-04-01,74.2
1977-05-01,74.3
1977-06-01,75.0
1977-07-01,76.1
1977-08-01,77.0
1977-09-01,78.0
1977-10-01,78.2
1977-11-01,78.3
1977-12-01,78.3
1978-01-01,78.4
1978-02-01,78.7
1978-03-01,79.5
1978-04-01,80.1
1978-05-01,81.3
1978-06-01,81.4
1978-07-01,82.4
1978-08-01,83.5
1978-09-01,84.0
1978-10-01,84.3
1978-11-01,84.9
1978-12-01,84.9
1979-01-01,85.3
1979-02-01,86.3
1979-03-01,86.7
1979-04-01,87.1
1979-05-01,87.6
1979-06-01,87.7
1979-07-01,88.2
1979-08-01,90.3
1979-09-01,90.8
1979-10-01,91.4
1979-11-01,91.4
1979-12-01,91.4
1980-01-01,91.4
1980-02-01,91.4
1980-03-01,91.5
1980-04-01,92.1
1980-05-01,92.3
1980-06-01,95.1
1980-07-01,95.1
1980-08-01,96.5
1980-09-01,96.7
1980-10-01,96.7
1980-11-01,97.2
1980-12-01,97.4
1981-01-01,98.7
1981-02-01,99.3
1981-03-01,99.5
1981-04-01,100.0
1981-05-01,100.0
1981-06-01,100.2
1981-07-01,100.9
1981-08-01,101.0
1981-09-01,101.3
1981-10-01,101.7
1981-11-01,103.3
1981-12-01,102.9
1982-01-01,103.6
1982-02-01,99.9
1982-03-01,99.5
1982-04-01,99.6
1982-05-01,99.7
1982-06-01,99.7
1982-07-01,99.7
1982-08-01,100.0
1982-09-01,100.1
1982-10-01,100.3
1982-11-01,100.0
1982-12-01,100.0
1983-01-01,100.1
1983-02-01,100.1
1983-03-01,101.7
1983-04-01,101.7
1983-05-01,101.8
1983-06-01,101.8
1983-07-01,102.2
1983-08-01,102.6
1983-09-01,102.6
1983-10-01,102.6
1983-11-01,102.6
1983-12-01,102.6
1984-01-01,102.6
1984-02-01,102.6
1984-03-01,102.9
1984-04-01,103.0
1984-05-01,103.2
1984-06-01,103.2
1984-07-01,103.3
1984-08-01,103.8
1984-09-01,104.0
1984-10-01,110.5
1984-11-01,110.4
1984-12-01,110.7
1985-01-01,110.7
1985-02-01,110.7
1985-03-01,110.7
1985-04-01,110.5
1985-05-01,110.5
1985-06-01,110.5
1985-07-01,110.5
1985-08-01,110.1
1985-09-01,110.2
1985-10-01,110.0
1985-11-01,110.0
1985-12-01,110.1
1986-01-01,110.1
1986-02-01,110.0
1986-03-01,110.1
1986-04-01,110.1
1986-05-01,105.7
1986-06-01,105.8
1986-07-01,105.8
1986-08-01,105.9
1986-09-01,106.3
1986-10-01,106.4
1986-11-01,106.4
1986-12-01,106.4
1987-01-01,106.4
1987-02-01,106.4
1987-03-01,106.5
1987-04-01,106.5
1987-05-01,106.4
1987-06-01,106.4
1987-07-01,106.4
1987-08-01,106.4
1987-09-01,106.5
1987-10-01,106.8
1987-11-01,106.9
1987-12-01,106.9
1988-01-01,106.7
1988-02-01,106.9
1988-03-01,107.9
1988-04-01,108.0
1988-05-01,108.1
1988-06-01,108.1
1988-07-01,108.1
1988-08-01,108.5
1988-09-01,108.5
1988-10-01,108.7
1988-11-01,108.7
1988-12-01,108.9
1989-01-01,109.1
1989-02-01,109.6
1989-03-01,109.7
1989-04-01,109.9
1989-05-01,110.0
1989-06-01,110.0
1989-07-01,110.1
