,PCU3274203274201
1993-12-01,100.0
1994-01-01,
1994-02-01,101.8
1994-03-01,112.3
1994-04-01,113.6
1994-05-01,113.3
1994-06-01,121.2
1994-07-01,121.0
1994-08-01,122.0
1994-09-01,125.9
1994-10-01,128.8
1994-11-01,125.4
1994-12-01,128.6
1995-01-01,127.7
1995-02-01,130.7
1995-03-01,135.6
1995-04-01,138.7
1995-05-01,137.6
1995-06-01,136.6
1995-07-01,133.3
1995-08-01,132.2
1995-09-01,131.5
1995-10-01,131.2
1995-11-01,130.4
1995-12-01,129.8
1996-01-01,128.9
1996-02-01,128.7
1996-03-01,126.0
1996-04-01,125.0
1996-05-01,127.3
1996-06-01,131.1
1996-07-01,131.2
1996-08-01,135.5
1996-09-01,137.1
1996-10-01,139.6
1996-11-01,142.0
1996-12-01,138.4
1997-01-01,145.4
1997-02-01,144.8
1997-03-01,144.8
1997-04-01,147.4
1997-05-01,149.4
1997-06-01,148.0
1997-07-01,145.8
1997-08-01,145.4
1997-09-01,145.9
1997-10-01,149.5
1997-11-01,148.8
1997-12-01,148.2
1998-01-01,148.0
1998-02-01,148.2
1998-03-01,149.2
1998-04-01,148.0
1998-05-01,148.5
1998-06-01,152.0
1998-07-01,154.2
1998-08-01,154.5
1998-09-01,156.3
1998-10-01,158.5
1998-11-01,157.4
1998-12-01,159.0
1999-01-01,163.5
1999-02-01,167.6
1999-03-01,170.5
1999-04-01,171.3
1999-05-01,174.1
1999-06-01,180.0
1999-07-01,178.2
1999-08-01,184.3
1999-09-01,182.9
1999-10-01,187.6
1999-11-01,192.1
1999-12-01,195.6
2000-01-01,195.9
2000-02-01,194.1
2000-03-01,188.3
2000-04-01,184.6
2000-05-01,181.3
2000-06-01,176.2
2000-07-01,166.8
2000-08-01,160.6
2000-09-01,153.7
2000-10-01,144.9
2000-11-01,136.6
2000-12-01,131.1
2001-01-01,124.6
2001-02-01,130.7
2001-03-01,126.5
2001-04-01,118.9
2001-05-01,113.1
2001-06-01,108.7
2001-07-01,108.2
2001-08-01,112.4
2001-09-01,120.4
2001-10-01,128.0
2001-11-01,134.5
2001-12-01,134.0
2002-01-01,130.8
2002-02-01,130.2
2002-03-01,128.5
2002-04-01,132.9
2002-05-01,138.1
2002-06-01,137.4
2002-07-01,135.4
2002-08-01,136.3
2002-09-01,136.4
2002-10-01,138.8
2002-11-01,139.1
2002-12-01,136.2
2003-01-01,137.0
2003-02-01,133.4
2003-03-01,131.9
2003-04-01,134.8
2003-05-01,132.2
2003-06-01,133.3
2003-07-01,131.8
2003-08-01,134.2
2003-09-01,138.2
2003-10-01,137.0
2003-11-01,136.3
2003-12-01,137.6
2004-01-01,138.0
2004-02-01,143.0
2004-03-01,144.4
2004-04-01,149.0
2004-05-01,151.7
2004-06-01,157.2
2004-07-01,163.5
2004-08-01,168.7
2004-09-01,171.2
2004-10-01,169.9
2004-11-01,169.7
2004-12-01,170.1
2005-01-01,173.6
2005-02-01,175.0
2005-03-01,176.7
2005-04-01,175.5
2005-05-01,178.9
2005-06-01,183.4
2005-07-01,184.1
2005-08-01,193.1
2005-09-01,194.7
2005-10-01,197.9
2005-11-01,199.4
2005-12-01,206.8
2006-01-01,210.1
2006-02-01,218.8
2006-03-01,222.6
2006-04-01,225.4
2006-05-01,232.0
2006-06-01,231.1
2006-07-01,236.1
2006-08-01,242.4
2006-09-01,236.5
2006-10-01,232.6
2006-11-01,225.7
2006-12-01,222.4
2007-01-01,217.2
2007-02-01,211.4
2007-03-01,208.6
2007-04-01,206.4
2007-05-01,196.0
2007-06-01,193.3
2007-07-01,171.1
2007-08-01,163.8
2007-09-01,159.7
2007-10-01,156.2
2007-11-01,150.5
2007-12-01,147.2
2008-01-01,147.6
2008-02-01,147.3
2008-03-01,144.4
2008-04-01,149.1
2008-05-01,148.8
2008-06-01,147.5
2008-07-01,150.9
2008-08-01,156.9
2008-09-01,157.0
2008-10-01,158.3
2008-11-01,160.4
2008-12-01,160.3
2009-01-01,161.7
2009-02-01,160.7
2009-03-01,159.2
2009-04-01,160.7
2009-05-01,156.7
2009-06-01,156.7
2009-07-01,151.0
2009-08-01,153.5
2009-09-01,150.3
2009-10-01,145.1
2009-11-01,143.9
2009-12-01,142.0
2010-01-01,141.7
2010-02-01,141.1
2010-03-01,141.1
2010-04-01,148.0
2010-05-01,157.7
2010-06-01,161.2
2010-07-01,159.7
2010-08-01,153.6
2010-09-01,151.4
2010-10-01,147.7
2010-11-01,143.4
2010-12-01,144.5
2011-01-01,142.7
2011-02-01,138.9
2011-03-01,149.8
2011-04-01,150.1
2011-05-01,146.3
2011-06-01,154.2
2011-07-01,151.4
2011-08-01,148.2
2011-09-01,151.6
2011-10-01,150.3
2011-11-01,150.3
2011-12-01,150.7
2012-01-01,162.1
2012-02-01,173.5
2012-03-01,173.6
