,PCUOMINOMIN
1984-12-01,100.0
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,94.4
1986-02-01,87.3
1986-03-01,82.9
1986-04-01,78.2
1986-05-01,77.1
1986-06-01,76.3
1986-07-01,72.0
1986-08-01,70.5
1986-09-01,70.8
1986-10-01,71.2
1986-11-01,71.7
1986-12-01,71.1
1987-01-01,73.6
1987-02-01,73.6
1987-03-01,75.2
1987-04-01,74.9
1987-05-01,74.6
1987-06-01,75.3
1987-07-01,76.5
1987-08-01,77.3
1987-09-01,76.4
1987-10-01,74.9
1987-11-01,73.9
1987-12-01,74.2
1988-01-01,72.8
1988-02-01,72.0
1988-03-01,71.3
1988-04-01,73.1
1988-05-01,72.4
1988-06-01,70.9
1988-07-01,70.1
1988-08-01,68.7
1988-09-01,68.1
1988-10-01,68.7
1988-11-01,68.3
1988-12-01,70.8
1989-01-01,74.6
1989-02-01,75.5
1989-03-01,74.9
1989-04-01,77.2
1989-05-01,78.2
1989-06-01,77.4
1989-07-01,78.0
1989-08-01,74.0
1989-09-01,76.5
1989-10-01,76.1
1989-11-01,76.3
1989-12-01,77.6
1990-01-01,81.0
1990-02-01,81.1
1990-03-01,78.1
1990-04-01,74.8
1990-05-01,75.3
1990-06-01,72.2
1990-07-01,74.1
1990-08-01,80.4
1990-09-01,87.1
1990-10-01,96.6
1990-11-01,92.4
1990-12-01,88.5
1991-01-01,90.7
1991-02-01,80.8
1991-03-01,76.8
1991-04-01,75.9
1991-05-01,77.8
1991-06-01,76.1
1991-07-01,76.2
1991-08-01,76.8
1991-09-01,75.1
1991-10-01,77.8
1991-11-01,79.0
1991-12-01,77.5
1992-01-01,74.6
1992-02-01,74.6
1992-03-01,72.2
1992-04-01,73.4
1992-05-01,75.1
1992-06-01,76.3
1992-07-01,78.2
1992-08-01,77.4
1992-09-01,80.8
1992-10-01,79.7
1992-11-01,82.0
1992-12-01,78.9
1993-01-01,78.3
1993-02-01,76.2
1993-03-01,75.8
1993-04-01,76.1
1993-05-01,79.5
1993-06-01,80.5
1993-07-01,75.2
1993-08-01,74.2
1993-09-01,75.2
1993-10-01,78.3
1993-11-01,74.8
1993-12-01,72.7
1994-01-01,75.8
1994-02-01,71.5
1994-03-01,74.5
1994-04-01,74.4
1994-05-01,73.7
1994-06-01,74.9
1994-07-01,74.3
1994-08-01,75.0
1994-09-01,72.4
1994-10-01,71.0
1994-11-01,70.5
1994-12-01,72.0
1995-01-01,72.1
1995-02-01,71.2
1995-03-01,70.7
1995-04-01,72.6
1995-05-01,72.8
1995-06-01,72.8
1995-07-01,70.6
