,PCU331331
1984-12-01,100.0
1985-01-01,99.7
1985-02-01,99.7
1985-03-01,99.4
1985-04-01,99.9
1985-05-01,99.9
1985-06-01,99.5
1985-07-01,99.2
1985-08-01,99.2
1985-09-01,99.2
1985-10-01,99.1
1985-11-01,99.0
1985-12-01,99.0
1986-01-01,97.0
1986-02-01,96.9
1986-03-01,96.9
1986-04-01,96.7
1986-05-01,96.9
1986-06-01,97.0
1986-07-01,96.9
1986-08-01,97.1
1986-09-01,97.2
1986-10-01,97.3
1986-11-01,97.1
1986-12-01,97.0
1987-01-01,97.8
1987-02-01,97.7
1987-03-01,97.9
1987-04-01,98.4
1987-05-01,99.0
1987-06-01,99.0
1987-07-01,100.3
1987-08-01,101.3
1987-09-01,102.2
1987-10-01,104.3
1987-11-01,105.6
1987-12-01,107.9
1988-01-01,110.2
1988-02-01,109.3
1988-03-01,109.4
1988-04-01,111.1
1988-05-01,111.4
1988-06-01,112.4
1988-07-01,113.1
1988-08-01,113.4
1988-09-01,114.1
1988-10-01,115.8
1988-11-01,117.5
1988-12-01,118.5
1989-01-01,119.7
1989-02-01,119.4
1989-03-01,120.1
1989-04-01,120.1
1989-05-01,119.8
1989-06-01,118.9
1989-07-01,118.2
1989-08-01,118.0
1989-09-01,118.6
1989-10-01,118.8
1989-11-01,118.0
1989-12-01,116.6
1990-01-01,116.1
1990-02-01,115.2
1990-03-01,116.3
1990-04-01,116.6
1990-05-01,116.7
1990-06-01,116.0
1990-07-01,116.4
1990-08-01,117.2
1990-09-01,117.4
1990-10-01,117.6
1990-11-01,116.6
1990-12-01,115.7
1991-01-01,115.7
1991-02-01,115.0
1991-03-01,114.7
1991-04-01,113.9
1991-05-01,113.0
1991-06-01,112.9
1991-07-01,112.5
1991-08-01,112.2
1991-09-01,112.0
1991-10-01,112.0
1991-11-01,111.8
1991-12-01,111.8
1992-01-01,111.3
1992-02-01,111.7
1992-03-01,112.0
1992-04-01,112.0
1992-05-01,111.9
1992-06-01,112.2
1992-07-01,112.5
1992-08-01,112.6
1992-09-01,112.0
1992-10-01,111.2
1992-11-01,110.6
1992-12-01,110.6
1993-01-01,110.8
1993-02-01,111.0
1993-03-01,110.9
1993-04-01,110.9
1993-05-01,110.8
1993-06-01,111.2
1993-07-01,111.7
1993-08-01,112.0
1993-09-01,111.9
1993-10-01,111.8
1993-11-01,111.8
1993-12-01,112.4
1994-01-01,112.7
1994-02-01,113.6
1994-03-01,114.2
1994-04-01,114.4
1994-05-01,115.1
1994-06-01,116.0
1994-07-01,117.0
1994-08-01,117.5
1994-09-01,118.7
1994-10-01,119.7
1994-11-01,121.7
1994-12-01,122.9
1995-01-01,126.6
1995-02-01,128.2
1995-03-01,129.1
1995-04-01,129.7
1995-05-01,128.9
1995-06-01,128.9
1995-07-01,128.8
1995-08-01,128.8
1995-09-01,128.2
1995-10-01,127.4
1995-11-01,127.1
1995-12-01,126.8
1996-01-01,125.7
1996-02-01,124.4
1996-03-01,124.2
1996-04-01,124.1
1996-05-01,124.6
1996-06-01,124.6
1996-07-01,123.2
1996-08-01,122.8
1996-09-01,122.7
1996-10-01,122.7
1996-11-01,122.6
1996-12-01,123.0
1997-01-01,123.6
1997-02-01,124.0
1997-03-01,124.8
1997-04-01,125.0
1997-05-01,125.0
1997-06-01,125.4
1997-07-01,125.2
1997-08-01,125.2
1997-09-01,125.2
