,CPGREN01USM657N
1957-02-01,
1957-03-01,
1957-04-01,
1957-05-01,
1957-06-01,
1957-07-01,
1957-08-01,
1957-09-01,
1957-10-01,
1957-11-01,
1957-12-01,
1958-01-01,
1958-02-01,
1958-03-01,
1958-04-01,
1958-05-01,
1958-06-01,
1958-07-01,
1958-08-01,
1958-09-01,
1958-10-01,
1958-11-01,
1958-12-01,
1959-01-01,
1959-02-01,
1959-03-01,
1959-04-01,
1959-05-01,
1959-06-01,
1959-07-01,
1959-08-01,
1959-09-01,
1959-10-01,
1959-11-01,
1959-12-01,
1960-01-01,0.0
1960-02-01,-0.446428571428571
1960-03-01,0.0
1960-04-01,0.0
1960-05-01,-0.896860986547085
1960-06-01,0.90497737556561
1960-07-01,0.448430493273542
1960-08-01,0.892857142857142
1960-09-01,0.0
1960-10-01,-0.442477876106195
1960-11-01,0.888888888888888
1960-12-01,0.0
1961-01-01,0.440528634361246
1961-02-01,-0.438596491228082
1961-03-01,0.0
1961-04-01,-2.20264317180617
1961-05-01,0.0
1961-06-01,0.45045045045045
1961-07-01,0.448430493273542
1961-08-01,0.446428571428571
1961-09-01,0.444444444444444
1961-10-01,-0.442477876106195
1961-11-01,0.444444444444444
1961-12-01,-0.884955752212389
1962-01-01,0.446428571428571
1962-02-01,0.444444444444444
1962-03-01,-0.442477876106195
1962-04-01,0.888888888888888
1962-05-01,-0.881057268722466
1962-06-01,-0.444444444444444
1962-07-01,-0.892857142857142
1962-08-01,0.900900900900901
1962-09-01,1.7857142857143
1962-10-01,0.0
1962-11-01,-0.438596491228082
1962-12-01,0.881057268722479
1963-01-01,0.0
1963-02-01,-0.873362445414859
1963-03-01,0.0
1963-04-01,-0.881057268722466
1963-05-01,0.0
1963-06-01,-0.444444444444444
1963-07-01,0.892857142857142
1963-08-01,0.0
1963-09-01,0.0
1963-10-01,0.442477876106195
1963-11-01,-0.440528634361233
1963-12-01,0.442477876106195
1964-01-01,0.881057268722479
1964-02-01,-3.05676855895198
1964-03-01,1.8018018018018
1964-04-01,-0.442477876106195
1964-05-01,-0.444444444444444
1964-06-01,0.446428571428571
1964-07-01,0.0
1964-08-01,0.444444444444444
1964-09-01,-0.442477876106195
1964-10-01,0.0
1964-11-01,0.0
1964-12-01,0.888888888888888
1965-01-01,0.440528634361246
1965-02-01,-0.438596491228082
1965-03-01,0.0
1965-04-01,0.881057268722479
1965-05-01,0.436681222707423
1965-06-01,0.0
1965-07-01,0.0
1965-08-01,0.0
1965-09-01,0.434782608695652
1965-10-01,-0.432900432900433
1965-11-01,0.434782608695652
1965-12-01,0.0
1966-01-01,0.0
1966-02-01,0.432900432900433
1966-03-01,0.0
1966-04-01,-0.43103448275862
1966-05-01,0.432900432900433
1966-06-01,0.43103448275862
1966-07-01,0.429184549356223
1966-08-01,-0.427350427350427
1966-09-01,0.429184549356223
1966-10-01,0.0
1966-11-01,0.427350427350415
1966-12-01,0.0
1967-01-01,0.425531914893617
1967-02-01,0.423728813559322
1967-03-01,0.0
1967-04-01,0.843881856540084
1967-05-01,0.0
1967-06-01,-0.418410041841004
1967-07-01,0.0
1967-08-01,0.420168067226891
1967-09-01,0.418410041841004
1967-10-01,-0.416666666666666
1967-11-01,0.418410041841004
1967-12-01,-0.416666666666666
1968-01-01,0.418410041841004
1968-02-01,0.416666666666666
1968-03-01,0.0
1968-04-01,-0.414937759336099
1968-05-01,0.416666666666666
1968-06-01,0.414937759336099
1968-07-01,0.0
1968-08-01,0.413223140495868
1968-09-01,0.0
1968-10-01,0.0
1968-11-01,0.411522633744856
1968-12-01,-0.40983606557377
1969-01-01,0.411522633744856
1969-02-01,0.0
1969-03-01,1.22950819672131
1969-04-01,0.809716599190294
