,WCURCIR
1984-01-04,172.092
1984-01-11,170.931
1984-01-18,169.138
1984-01-25,167.399
1984-02-01,166.347
1984-02-08,166.938
1984-02-15,167.435
1984-02-22,167.427
1984-02-29,166.996
1984-03-07,167.578
1984-03-14,168.598
1984-03-21,168.634
1984-03-28,168.263
1984-04-04,169.026
1984-04-11,170.363
1984-04-18,170.827
1984-04-25,170.753
1984-05-02,170.496
1984-05-09,171.473
1984-05-16,172.168
1984-05-23,177.825
1984-05-30,172.653
1984-06-06,173.742
1984-06-13,174.414
1984-06-20,174.275
1984-06-27,174.021
1984-07-04,175.612
1984-07-11,177.399
1984-07-18,176.828
1984-07-25,175.892
1984-08-01,175.355
1984-08-08,176.257
1984-08-15,176.767
1984-08-22,176.117
1984-08-29,175.468
1984-09-05,177.057
1984-09-12,177.521
1984-09-19,176.559
1984-09-26,175.346
1984-10-03,175.628
1984-10-10,177.025
1984-10-17,177.244
1984-10-24,176.387
1984-10-31,175.857
1984-11-07,176.999
1984-11-14,178.585
1984-11-21,179.101
1984-11-28,179.859
1984-12-05,179.729
1984-12-12,180.809
1984-12-19,181.412
1984-12-26,182.813
1985-01-02,183.904
1985-01-09,182.785
1985-01-16,180.592
1985-01-23,178.689
1985-01-30,177.31
1985-02-06,177.657
1985-02-13,178.479
1985-02-20,178.7
1985-02-27,178.134
1985-03-06,178.553
1985-03-13,179.43
1985-03-20,179.306
1985-03-27,178.86
1985-04-03,179.57
1985-04-10,181.334
1985-04-17,181.698
1985-04-24,180.816
1985-05-01,180.48
1985-05-08,181.916
1985-05-15,182.9
1985-05-22,183.037
1985-05-29,183.966
1985-06-05,184.906
1985-06-12,185.548
1985-06-19,185.64
1985-06-26,185.139
1985-07-03,186.577
1985-07-10,188.693
1985-07-17,188.057
1985-07-24,187.037
1985-07-31,186.56
1985-08-07,187.683
1985-08-14,188.337
1985-08-21,187.902
1985-08-28,187.243
1985-09-04,188.755
1985-09-11,189.37
1985-09-18,188.677
1985-09-25,187.527
1985-10-02,187.478
1985-10-09,188.758
1985-10-16,189.784
1985-10-23,189.401
1985-10-30,188.52
1985-11-06,189.786
1985-11-13,191.389
1985-11-20,191.553
1985-11-27,191.743
1985-12-04,193.737
1985-12-11,194.589
1985-12-18,194.747
1985-12-25,195.944
1986-01-01,197.252
1986-01-08,196.332
1986-01-15,194.014
1986-01-22,192.377
1986-01-29,190.854
1986-02-05,190.607
1986-02-12,191.274
1986-02-19,191.711
1986-02-26,191.194
1986-03-05,191.297
1986-03-12,192.406
1986-03-19,192.801
1986-03-26,192.468
1986-04-02,193.235
1986-04-09,194.353
1986-04-16,194.85
1986-04-23,194.4
1986-04-30,194.057
1986-05-07,195.15
1986-05-14,196.386
1986-05-21,196.414
1986-05-28,197.176
1986-06-04,198.04
1986-06-11,198.64
1986-06-18,198.88
1986-06-25,198.436
1986-07-02,199.386
1986-07-09,201.824
1986-07-16,201.566
1986-07-23,200.521
1986-07-30,199.73
1986-08-06,200.689
1986-08-13,201.474
1986-08-20,201.276
1986-08-27,200.6
1986-09-03,201.998
1986-09-10,202.511
1986-09-17,201.704
1986-09-24,200.717
1986-10-01,200.31
1986-10-08,201.596
1986-10-15,203.04
1986-10-22,202.745
1986-10-29,201.937
1986-11-05,202.793
1986-11-12,204.686
1986-11-19,205.566
1986-11-26,205.493
1986-12-03,207.162
1986-12-10,207.925
1986-12-17,208.375
1986-12-24,209.785
1986-12-31,211.656
1987-01-07,211.192
1987-01-14,208.755
1987-01-21,206.949
1987-01-28,205.919
1987-02-04,205.632
1987-02-11,206.406
1987-02-18,206.976
1987-02-25,206.456
1987-03-04,206.24
1987-03-11,207.233
1987-03-18,207.683
1987-03-25,207.298
1987-04-01,207.376
1987-04-08,208.876
1987-04-15,210.11
1987-04-22,210.232
1987-04-29,209.618
1987-05-06,210.455
1987-05-13,211.74
1987-05-20,211.996
1987-05-27,212.88
1987-06-03,213.918
1987-06-10,214.474
1987-06-17,214.764
1987-06-24,214.321
1987-07-01,214.574
1987-07-08,216.825
1987-07-15,217.205
