,PIEATI01EZM661N
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,76.6
2000-02-01,76.9
2000-03-01,77.3
2000-04-01,77.4
2000-05-01,78.2
2000-06-01,78.6
2000-07-01,79.2
2000-08-01,79.6
2000-09-01,80.7
2000-10-01,81.3
2000-11-01,81.6
2000-12-01,81.1
2001-01-01,81.8
2001-02-01,82.0
2001-03-01,82.2
2001-04-01,82.6
2001-05-01,82.8
2001-06-01,82.8
2001-07-01,82.3
2001-08-01,82.0
2001-09-01,82.2
2001-10-01,81.2
2001-11-01,80.7
2001-12-01,80.5
2002-01-01,80.7
2002-02-01,80.8
2002-03-01,81.1
2002-04-01,81.1
2002-05-01,81.0
2002-06-01,80.9
2002-07-01,80.8
2002-08-01,80.8
2002-09-01,81.1
2002-10-01,81.4
2002-11-01,81.0
2002-12-01,81.3
2003-01-01,82.4
2003-02-01,82.9
2003-03-01,83.0
2003-04-01,82.4
2003-05-01,81.9
2003-06-01,82.0
2003-07-01,82.1
2003-08-01,82.4
2003-09-01,82.4
2003-10-01,82.4
2003-11-01,82.4
2003-12-01,82.3
2004-01-01,82.2
2004-02-01,82.3
2004-03-01,82.7
2004-04-01,83.1
2004-05-01,83.7
2004-06-01,83.7
2004-07-01,84.1
2004-08-01,84.5
2004-09-01,84.7
2004-10-01,85.7
2004-11-01,85.1
2004-12-01,84.7
2005-01-01,85.4
2005-02-01,85.6
2005-03-01,86.2
2005-04-01,86.5
2005-05-01,86.3
2005-06-01,86.9
2005-07-01,87.3
2005-08-01,87.7
2005-09-01,88.1
2005-10-01,88.6
2005-11-01,88.4
2005-12-01,88.6
2006-01-01,89.5
2006-02-01,89.9
2006-03-01,90.3
2006-04-01,91.0
2006-05-01,91.3
2006-06-01,91.5
2006-07-01,92.2
2006-08-01,92.2
2006-09-01,91.6
2006-10-01,91.7
2006-11-01,91.6
2006-12-01,91.5
2007-01-01,91.7
2007-02-01,91.9
2007-03-01,92.2
2007-04-01,92.6
2007-05-01,92.9
2007-06-01,93.1
2007-07-01,93.3
2007-08-01,93.4
2007-09-01,93.6
2007-10-01,94.2
2007-11-01,95.0
2007-12-01,95.0
2008-01-01,95.6
2008-02-01,96.1
2008-03-01,96.6
2008-04-01,97.3
2008-05-01,98.3
2008-06-01,99.5
2008-07-01,100.7
2008-08-01,100.3
2008-09-01,100.3
2008-10-01,99.7
2008-11-01,97.6
2008-12-01,95.9
2009-01-01,95.0
2009-02-01,94.7
2009-03-01,93.9
2009-04-01,93.2
2009-05-01,93.3
2009-06-01,93.5
2009-07-01,92.9
2009-08-01,93.3
2009-09-01,93.0
2009-10-01,93.2
2009-11-01,93.4
2009-12-01,93.4
2010-01-01,94.1
2010-02-01,94.3
2010-03-01,94.9
2010-04-01,95.7
2010-05-01,96.2
2010-06-01,96.6
2010-07-01,96.8
2010-08-01,96.9
2010-09-01,97.1
2010-10-01,97.2
2010-11-01,97.5
2010-12-01,98.3
2011-01-01,99.4
2011-02-01,100.0
2011-03-01,100.7
2011-04-01,101.5
2011-05-01,101.5
2011-06-01,101.4
2011-07-01,101.9
2011-08-01,101.8
2011-09-01,102.0
2011-10-01,102.1
2011-11-01,102.3
2011-12-01,102.1
2012-01-01,102.8
2012-02-01,103.3
2012-03-01,103.7
2012-04-01,103.9
2012-05-01,103.7
2012-06-01,103.3
2012-07-01,103.6
2012-08-01,104.4
2012-09-01,104.4
2012-10-01,104.3
2012-11-01,104.1
2012-12-01,103.7
2013-01-01,104.0
2013-02-01,104.1
2013-03-01,103.9
2013-04-01,103.3
2013-05-01,103.0
2013-06-01,102.9
2013-07-01,103.1
2013-08-01,103.1
2013-09-01,103.2
2013-10-01,102.7
2013-11-01,102.7
2013-12-01,102.8
2014-01-01,102.5
2014-02-01,102.4
2014-03-01,102.1
2014-04-01,102.0
2014-05-01,102.0
2014-06-01,102.2
2014-07-01,102.1
2014-08-01,101.8
2014-09-01,102.0
2014-10-01,101.8
