,PCU3364133641
1985-06-01,100.0
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,103.1
1986-02-01,103.3
1986-03-01,103.4
1986-04-01,103.5
1986-05-01,103.1
1986-06-01,103.0
1986-07-01,103.2
1986-08-01,103.1
1986-09-01,101.9
1986-10-01,102.0
1986-11-01,102.0
1986-12-01,102.0
1987-01-01,102.7
1987-02-01,103.0
1987-03-01,103.5
1987-04-01,103.2
1987-05-01,102.8
1987-06-01,102.8
1987-07-01,102.6
1987-08-01,102.6
1987-09-01,102.7
1987-10-01,102.6
1987-11-01,102.8
1987-12-01,102.6
1988-01-01,103.8
1988-02-01,103.9
1988-03-01,104.0
1988-04-01,105.0
1988-05-01,105.1
1988-06-01,105.6
1988-07-01,105.3
1988-08-01,105.6
1988-09-01,106.4
1988-10-01,106.4
1988-11-01,106.5
1988-12-01,108.8
1989-01-01,110.2
1989-02-01,110.5
1989-03-01,111.2
1989-04-01,111.5
1989-05-01,111.5
1989-06-01,111.6
1989-07-01,112.2
1989-08-01,112.6
1989-09-01,112.6
1989-10-01,113.2
1989-11-01,113.8
1989-12-01,114.5
1990-01-01,116.1
1990-02-01,116.5
1990-03-01,116.8
1990-04-01,117.2
1990-05-01,117.4
1990-06-01,117.4
1990-07-01,117.6
1990-08-01,118.3
1990-09-01,118.4
1990-10-01,118.7
1990-11-01,119.0
1990-12-01,119.0
1991-01-01,120.0
1991-02-01,120.5
1991-03-01,121.2
1991-04-01,121.5
1991-05-01,122.0
1991-06-01,122.1
1991-07-01,122.3
1991-08-01,123.3
1991-09-01,123.3
1991-10-01,123.8
1991-11-01,123.9
1991-12-01,124.0
1992-01-01,125.6
1992-02-01,125.6
1992-03-01,125.7
1992-04-01,126.0
1992-05-01,126.1
1992-06-01,126.7
1992-07-01,126.9
1992-08-01,126.9
1992-09-01,127.3
1992-10-01,127.6
1992-11-01,127.3
1992-12-01,127.4
1993-01-01,128.0
1993-02-01,128.7
1993-03-01,128.8
1993-04-01,129.3
1993-05-01,130.2
1993-06-01,129.7
1993-07-01,130.1
1993-08-01,130.4
1993-09-01,130.3
1993-10-01,131.4
1993-11-01,131.9
1993-12-01,132.0
1994-01-01,133.1
1994-02-01,133.4
1994-03-01,133.3
1994-04-01,133.4
1994-05-01,133.4
1994-06-01,133.5
1994-07-01,133.7
1994-08-01,133.9
1994-09-01,133.9
1994-10-01,135.2
1994-11-01,135.4
1994-12-01,135.4
1995-01-01,136.6
1995-02-01,136.6
1995-03-01,136.6
1995-04-01,136.7
1995-05-01,136.9
1995-06-01,137.2
1995-07-01,137.0
1995-08-01,137.1
1995-09-01,137.2
1995-10-01,138.3
1995-11-01,138.5
1995-12-01,138.7
1996-01-01,139.8
1996-02-01,140.0
1996-03-01,140.2
1996-04-01,140.2
1996-05-01,140.3
1996-06-01,140.6
1996-07-01,140.7
1996-08-01,141.0
1996-09-01,141.2
1996-10-01,141.5
1996-11-01,141.7
1996-12-01,141.8
1997-01-01,142.4
1997-02-01,142.8
1997-03-01,143.0
1997-04-01,142.7
1997-05-01,142.9
1997-06-01,142.9
1997-07-01,142.8
1997-08-01,142.8
1997-09-01,142.6
1997-10-01,142.6
1997-11-01,142.6
1997-12-01,142.6
1998-01-01,143.0
1998-02-01,143.1
1998-03-01,143.3
1998-04-01,143.4
1998-05-01,143.5
1998-06-01,143.5
1998-07-01,143.4
1998-08-01,143.2
1998-09-01,143.4
1998-10-01,143.7
1998-11-01,143.8
1998-12-01,143.9
1999-01-01,144.4
1999-02-01,144.5
1999-03-01,144.5
1999-04-01,144.6
1999-05-01,144.5
1999-06-01,144.5
1999-07-01,144.5
1999-08-01,144.5
1999-09-01,144.8
1999-10-01,145.1
1999-11-01,145.5
1999-12-01,145.9
2000-01-01,146.9
2000-02-01,148.5
2000-03-01,148.7
2000-04-01,149.1
2000-05-01,149.2
2000-06-01,149.7
2000-07-01,150.2
2000-08-01,150.5
2000-09-01,150.8
2000-10-01,151.3
2000-11-01,151.6
2000-12-01,151.9
2001-01-01,153.1
2001-02-01,153.5
2001-03-01,153.7
2001-04-01,154.0
2001-05-01,154.1
2001-06-01,154.6
2001-07-01,155.0
2001-08-01,155.4
2001-09-01,155.6
2001-10-01,155.6
2001-11-01,155.6
2001-12-01,155.9
2002-01-01,156.4
2002-02-01,156.5
2002-03-01,156.6
2002-04-01,156.7
2002-05-01,156.6
2002-06-01,156.8
2002-07-01,157.2
2002-08-01,157.5
2002-09-01,157.8
2002-10-01,158.0
2002-11-01,158.3
2002-12-01,158.8
2003-01-01,159.7
2003-02-01,160.0
2003-03-01,160.5
2003-04-01,160.9
2003-05-01,161.1
2003-06-01,161.9
2003-07-01,162.7
2003-08-01,163.5
2003-09-01,163.7
2003-10-01,163.8
2003-11-01,163.8
2003-12-01,164.5
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,172.9
2005-02-01,173.2
2005-03-01,174.7
2005-04-01,174.9
2005-05-01,175.6
2005-06-01,175.7
2005-07-01,176.5
2005-08-01,177.2
2005-09-01,177.5
2005-10-01,177.8
2005-11-01,177.9
2005-12-01,178.5
2006-01-01,180.2
2006-02-01,181.0
2006-03-01,181.6
2006-04-01,182.4
2006-05-01,182.5
2006-06-01,182.7
2006-07-01,182.9
2006-08-01,183.2
2006-09-01,183.5
2006-10-01,184.1
2006-11-01,184.7
2006-12-01,184.9
2007-01-01,186.8
2007-02-01,187.2
2007-03-01,187.2
2007-04-01,187.3
2007-05-01,187.4
2007-06-01,188.0
2007-07-01,188.6
2007-08-01,189.1
2007-09-01,189.6
2007-10-01,190.3
2007-11-01,190.7
2007-12-01,190.9
2008-01-01,192.9
2008-02-01,193.3
2008-03-01,193.4
2008-04-01,193.9
2008-05-01,194.4
2008-06-01,195.2
2008-07-01,195.9
2008-08-01,197.1
2008-09-01,197.9
2008-10-01,198.9
2008-11-01,200.0
2008-12-01,201.0
2009-01-01,202.9
2009-02-01,203.5
2009-03-01,201.9
2009-04-01,200.8
2009-05-01,199.6
2009-06-01,199.1
2009-07-01,199.4
2009-08-01,199.7
2009-09-01,199.6
2009-10-01,199.9
2009-11-01,200.2
2009-12-01,200.3
2010-01-01,201.6
2010-02-01,201.8
2010-03-01,201.9
2010-04-01,202.0
2010-05-01,202.0
2010-06-01,202.6
2010-07-01,203.0
2010-08-01,203.5
2010-09-01,204.9
2010-10-01,205.8
2010-11-01,206.0
2010-12-01,206.0
2011-01-01,206.9
2011-02-01,207.4
2011-03-01,209.7
2011-04-01,209.9
2011-05-01,210.2
2011-06-01,210.8
2011-07-01,211.2
2011-08-01,211.7
2011-09-01,212.3
2011-10-01,212.8
2011-11-01,213.3
2011-12-01,213.6
2012-01-01,214.5
2012-02-01,214.7
2012-03-01,214.9
2012-04-01,215.1
2012-05-01,215.3
2012-06-01,215.5
2012-07-01,215.8
2012-08-01,216.3
2012-09-01,216.6
2012-10-01,216.8
2012-11-01,216.6
2012-12-01,216.6
2013-01-01,217.4
2013-02-01,218.2
2013-03-01,218.7
2013-04-01,218.8
2013-05-01,218.7
2013-06-01,218.9
2013-07-01,219.1
2013-08-01,219.3
2013-09-01,219.6
2013-10-01,219.7
2013-11-01,220.1
2013-12-01,220.2
2014-01-01,221.4
2014-02-01,221.7
2014-03-01,222.0
2014-04-01,222.1
2014-05-01,222.1
2014-06-01,222.3
2014-07-01,222.7
2014-08-01,222.9
2014-09-01,223.1
2014-10-01,223.3
2014-11-01,223.3
2014-12-01,223.4
2015-01-01,224.5
2015-02-01,224.8
2015-03-01,224.7
2015-04-01,224.0
2015-05-01,224.0
2015-06-01,223.9
2015-07-01,224.2
2015-08-01,224.1
2015-09-01,224.3
2015-10-01,224.3
2015-11-01,224.9
2015-12-01,225.0
2016-01-01,227.2
2016-02-01,227.3
2016-03-01,227.4
2016-04-01,227.8
2016-05-01,227.9
2016-06-01,228.1
2016-07-01,228.2
2016-08-01,228.1
2016-09-01,228.1
2016-10-01,228.2
2016-11-01,228.4
2016-12-01,228.6
2017-01-01,229.0
2017-02-01,229.5
2017-03-01,229.7
2017-04-01,230.0
2017-05-01,230.1
2017-06-01,230.3
2017-07-01,230.7
2017-08-01,230.9
2017-09-01,231.0
2017-10-01,231.3
2017-11-01,231.3
2017-12-01,231.4
2018-01-01,233.2
2018-02-01,233.7
2018-03-01,234.0
2018-04-01,234.2
2018-05-01,234.3
2018-06-01,234.6
2018-07-01,234.6
2018-08-01,234.9
2018-09-01,235.2
2018-10-01,235.3
2018-11-01,235.6
2018-12-01,236.0
2019-01-01,238.1
2019-02-01,238.5
2019-03-01,238.6
2019-04-01,238.9
2019-05-01,239.1
2019-06-01,239.3
2019-07-01,239.3
2019-08-01,239.4
2019-09-01,239.6
2019-10-01,239.8
2019-11-01,239.9
2019-12-01,240.0
2020-01-01,241.2
2020-02-01,241.6
2020-03-01,241.8
2020-04-01,242.2
2020-05-01,243.0
2020-06-01,243.2
2020-07-01,243.2
2020-08-01,243.3
2020-09-01,243.5
2020-10-01,243.6
2020-11-01,243.6
2020-12-01,243.9
2021-01-01,245.3
2021-02-01,245.4
2021-03-01,245.4
2021-04-01,245.3
2021-05-01,245.5
2021-06-01,245.9
2021-07-01,246.629
2021-08-01,246.652
2021-09-01,246.911
2021-10-01,247.238
2021-11-01,247.473
2021-12-01,248.115
2022-01-01,249.624
