,WPU072B01
2006-12-01,100.0
2007-01-01,99.5
2007-02-01,100.6
2007-03-01,99.9
2007-04-01,100.8
2007-05-01,102.2
2007-06-01,101.4
2007-07-01,101.0
2007-08-01,101.8
2007-09-01,101.5
2007-10-01,101.5
2007-11-01,101.6
2007-12-01,103.3
2008-01-01,104.6
2008-02-01,105.1
2008-03-01,106.2
2008-04-01,106.4
2008-05-01,109.1
2008-06-01,109.5
2008-07-01,112.1
2008-08-01,114.0
2008-09-01,116.1
2008-10-01,116.0
2008-11-01,114.4
2008-12-01,112.9
2009-01-01,111.7
2009-02-01,110.3
2009-03-01,110.2
2009-04-01,111.7
2009-05-01,109.2
2009-06-01,109.2
2009-07-01,109.5
2009-08-01,110.5
2009-09-01,111.8
2009-10-01,109.8
2009-11-01,110.1
2009-12-01,110.4
2010-01-01,110.7
2010-02-01,111.5
2010-03-01,112.5
2010-04-01,113.6
2010-05-01,113.8
2010-06-01,114.6
2010-07-01,114.5
2010-08-01,115.0
2010-09-01,115.2
2010-10-01,115.1
2010-11-01,115.8
2010-12-01,116.3
2011-01-01,117.9
2011-02-01,119.1
2011-03-01,119.6
2011-04-01,119.7
2011-05-01,120.2
2011-06-01,123.0
2011-07-01,123.4
2011-08-01,123.8
2011-09-01,123.1
2011-10-01,123.6
2011-11-01,122.7
2011-12-01,123.1
2012-01-01,124.0
2012-02-01,124.0
2012-03-01,125.1
2012-04-01,125.5
2012-05-01,126.1
2012-06-01,125.8
2012-07-01,125.8
2012-08-01,124.9
2012-09-01,124.9
2012-10-01,125.4
2012-11-01,125.4
2012-12-01,125.4
2013-01-01,126.0
2013-02-01,126.5
2013-03-01,126.5
2013-04-01,126.7
2013-05-01,127.0
2013-06-01,127.2
2013-07-01,127.3
2013-08-01,127.3
2013-09-01,127.1
2013-10-01,127.0
2013-11-01,127.1
2013-12-01,127.4
2014-01-01,127.5
2014-02-01,127.5
2014-03-01,127.7
2014-04-01,128.4
2014-05-01,128.3
2014-06-01,129.5
2014-07-01,129.4
2014-08-01,129.4
2014-09-01,129.8
2014-10-01,129.8
2014-11-01,129.9
2014-12-01,130.1
2015-01-01,131.3
2015-02-01,131.1
2015-03-01,130.7
2015-04-01,130.3
2015-05-01,129.0
2015-06-01,128.9
2015-07-01,128.8
2015-08-01,128.9
2015-09-01,128.6
2015-10-01,128.7
2015-11-01,128.2
2015-12-01,128.0
2016-01-01,128.3
2016-02-01,128.0
2016-03-01,127.8
2016-04-01,127.8
2016-05-01,127.9
2016-06-01,127.7
2016-07-01,128.3
2016-08-01,128.2
2016-09-01,128.3
2016-10-01,128.0
2016-11-01,127.7
2016-12-01,127.8
2017-01-01,128.6
2017-02-01,128.4
2017-03-01,129.0
2017-04-01,132.9
2017-05-01,134.3
2017-06-01,134.2
2017-07-01,134.3
2017-08-01,134.5
2017-09-01,134.6
2017-10-01,134.5
2017-11-01,135.1
2017-12-01,134.9
2018-01-01,135.1
2018-02-01,135.5
2018-03-01,136.5
2018-04-01,136.9
2018-05-01,136.7
2018-06-01,136.8
2018-07-01,138.2
2018-08-01,138.9
2018-09-01,139.2
2018-10-01,139.2
2018-11-01,139.1
2018-12-01,139.4
2019-01-01,140.1
2019-02-01,139.5
2019-03-01,138.8
2019-04-01,138.4
2019-05-01,138.3
2019-06-01,138.2
2019-07-01,138.2
2019-08-01,138.2
2019-09-01,137.8
2019-10-01,138.0
2019-11-01,138.0
2019-12-01,137.8
2020-01-01,138.2
2020-02-01,138.2
2020-03-01,137.7
2020-04-01,137.6
2020-05-01,137.6
2020-06-01,137.4
2020-07-01,136.8
2020-08-01,136.8
2020-09-01,136.9
2020-10-01,136.9
2020-11-01,137.1
2020-12-01,137.1
2021-01-01,138.6
2021-02-01,138.8
2021-03-01,144.0
2021-04-01,145.1
2021-05-01,148.5
2021-06-01,151.6
2021-07-01,153.209
2021-08-01,155.062
2021-09-01,159.304
2021-10-01,161.234
2021-11-01,168.238
2021-12-01,174.516
2022-01-01,174.935
