,PCU33323332
1984-12-01,100.0
1985-01-01,100.8
1985-02-01,101.4
1985-03-01,101.6
1985-04-01,101.8
1985-05-01,102.0
1985-06-01,102.2
1985-07-01,102.5
1985-08-01,102.7
1985-09-01,102.9
1985-10-01,103.0
1985-11-01,103.3
1985-12-01,103.6
1986-01-01,103.9
1986-02-01,104.1
1986-03-01,104.1
1986-04-01,104.4
1986-05-01,104.5
1986-06-01,104.9
1986-07-01,105.3
1986-08-01,105.7
1986-09-01,106.1
1986-10-01,106.3
1986-11-01,106.4
1986-12-01,106.6
1987-01-01,107.3
1987-02-01,107.6
1987-03-01,107.6
1987-04-01,107.7
1987-05-01,108.1
1987-06-01,108.1
1987-07-01,108.3
1987-08-01,108.6
1987-09-01,108.9
1987-10-01,109.6
1987-11-01,109.9
1987-12-01,110.0
1988-01-01,110.5
1988-02-01,110.9
1988-03-01,111.1
1988-04-01,111.6
1988-05-01,111.9
1988-06-01,112.4
1988-07-01,112.9
1988-08-01,113.1
1988-09-01,113.3
1988-10-01,114.0
1988-11-01,114.5
1988-12-01,114.7
1989-01-01,115.4
1989-02-01,116.0
1989-03-01,116.6
1989-04-01,116.9
1989-05-01,117.2
1989-06-01,117.7
1989-07-01,117.9
1989-08-01,118.2
1989-09-01,118.4
1989-10-01,118.5
1989-11-01,118.7
1989-12-01,119.2
1990-01-01,119.4
1990-02-01,120.0
1990-03-01,120.3
1990-04-01,121.1
1990-05-01,121.2
1990-06-01,121.5
1990-07-01,121.9
1990-08-01,122.0
1990-09-01,122.4
1990-10-01,122.7
1990-11-01,123.0
1990-12-01,123.2
1991-01-01,124.5
1991-02-01,124.6
1991-03-01,124.7
1991-04-01,125.2
1991-05-01,125.6
1991-06-01,125.6
1991-07-01,125.6
1991-08-01,125.8
1991-09-01,125.9
1991-10-01,126.2
1991-11-01,126.4
1991-12-01,126.5
1992-01-01,127.0
1992-02-01,127.3
1992-03-01,127.5
1992-04-01,127.7
1992-05-01,128.1
1992-06-01,128.2
1992-07-01,128.4
1992-08-01,128.5
1992-09-01,129.3
1992-10-01,129.4
1992-11-01,129.7
1992-12-01,130.0
1993-01-01,130.7
1993-02-01,131.3
1993-03-01,131.6
1993-04-01,131.8
1993-05-01,131.9
1993-06-01,132.1
1993-07-01,132.3
1993-08-01,132.3
1993-09-01,132.4
1993-10-01,132.7
1993-11-01,132.8
1993-12-01,132.9
1994-01-01,133.4
1994-02-01,133.5
1994-03-01,133.8
1994-04-01,133.9
1994-05-01,134.0
1994-06-01,134.1
1994-07-01,134.3
1994-08-01,134.4
1994-09-01,134.6
1994-10-01,134.6
1994-11-01,134.7
1994-12-01,134.9
1995-01-01,135.9
1995-02-01,136.2
1995-03-01,136.5
1995-04-01,137.0
1995-05-01,137.1
1995-06-01,137.3
