,PCU3272132721
2003-12-01,100.0
2004-01-01,100.2
2004-02-01,100.3
2004-03-01,100.1
2004-04-01,99.9
2004-05-01,100.0
2004-06-01,99.7
2004-07-01,100.0
2004-08-01,100.1
2004-09-01,100.3
2004-10-01,100.1
2004-11-01,100.2
2004-12-01,100.5
2005-01-01,100.7
2005-02-01,100.9
2005-03-01,101.4
2005-04-01,101.7
2005-05-01,101.5
2005-06-01,101.5
2005-07-01,101.7
2005-08-01,101.7
2005-09-01,101.7
2005-10-01,101.8
2005-11-01,102.3
2005-12-01,102.4
2006-01-01,103.0
2006-02-01,103.0
2006-03-01,103.3
2006-04-01,103.3
2006-05-01,103.8
2006-06-01,104.0
2006-07-01,103.8
2006-08-01,104.0
2006-09-01,103.9
2006-10-01,103.8
2006-11-01,104.2
2006-12-01,104.6
2007-01-01,105.2
2007-02-01,105.5
2007-03-01,105.5
2007-04-01,105.6
2007-05-01,105.7
2007-06-01,105.9
2007-07-01,106.1
2007-08-01,106.0
2007-09-01,106.2
2007-10-01,105.9
2007-11-01,106.0
2007-12-01,105.9
2008-01-01,107.4
2008-02-01,106.7
2008-03-01,107.5
2008-04-01,106.8
2008-05-01,107.4
2008-06-01,107.5
2008-07-01,108.8
2008-08-01,109.5
2008-09-01,109.8
2008-10-01,110.1
2008-11-01,111.1
2008-12-01,111.3
2009-01-01,111.3
2009-02-01,111.0
2009-03-01,110.8
2009-04-01,110.7
2009-05-01,110.1
2009-06-01,110.0
2009-07-01,109.7
2009-08-01,109.8
2009-09-01,109.7
2009-10-01,109.6
2009-11-01,109.7
2009-12-01,109.4
2010-01-01,110.2
2010-02-01,109.9
2010-03-01,109.7
2010-04-01,109.3
2010-05-01,109.4
2010-06-01,109.4
2010-07-01,109.4
2010-08-01,109.4
2010-09-01,110.0
2010-10-01,109.7
2010-11-01,109.8
2010-12-01,109.7
2011-01-01,110.3
2011-02-01,110.4
2011-03-01,110.3
2011-04-01,110.3
2011-05-01,110.5
2011-06-01,110.4
2011-07-01,111.1
2011-08-01,111.3
2011-09-01,111.3
2011-10-01,111.7
2011-11-01,111.8
2011-12-01,112.2
2012-01-01,112.3
2012-02-01,112.5
2012-03-01,112.7
2012-04-01,112.7
2012-05-01,112.9
2012-06-01,112.9
2012-07-01,112.8
2012-08-01,113.6
2012-09-01,113.7
2012-10-01,113.7
2012-11-01,114.2
2012-12-01,114.0
2013-01-01,114.4
2013-02-01,114.5
2013-03-01,114.8
2013-04-01,114.7
2013-05-01,115.4
2013-06-01,115.5
2013-07-01,115.6
2013-08-01,115.5
2013-09-01,115.6
2013-10-01,115.0
2013-11-01,115.3
2013-12-01,115.5
2014-01-01,115.8
2014-02-01,116.3
2014-03-01,116.5
2014-04-01,116.5
2014-05-01,116.3
2014-06-01,116.6
2014-07-01,117.0
2014-08-01,117.4
2014-09-01,117.5
2014-10-01,116.8
2014-11-01,117.0
2014-12-01,117.5
2015-01-01,118.8
2015-02-01,118.5
2015-03-01,118.9
2015-04-01,118.9
2015-05-01,119.9
2015-06-01,121.1
2015-07-01,121.7
2015-08-01,122.3
2015-09-01,122.2
2015-10-01,122.4
2015-11-01,122.4
2015-12-01,122.9
2016-01-01,124.1
2016-02-01,123.9
2016-03-01,124.0
2016-04-01,124.4
2016-05-01,124.6
2016-06-01,124.8
2016-07-01,124.8
2016-08-01,125.1
2016-09-01,125.2
2016-10-01,125.2
2016-11-01,125.3
2016-12-01,125.5
2017-01-01,126.5
2017-02-01,126.5
2017-03-01,126.8
2017-04-01,126.8
2017-05-01,126.7
2017-06-01,126.7
2017-07-01,126.6
2017-08-01,126.7
2017-09-01,126.7
2017-10-01,126.9
2017-11-01,127.9
2017-12-01,128.3
2018-01-01,131.2
2018-02-01,131.3
2018-03-01,131.9
2018-04-01,132.3
2018-05-01,132.3
2018-06-01,132.5
2018-07-01,132.4
2018-08-01,132.3
2018-09-01,132.5
2018-10-01,132.3
2018-11-01,132.4
2018-12-01,132.4
2019-01-01,133.8
2019-02-01,133.9
2019-03-01,133.8
2019-04-01,134.0
2019-05-01,134.0
2019-06-01,134.0
2019-07-01,134.4
2019-08-01,134.4
2019-09-01,134.7
2019-10-01,134.4
2019-11-01,134.5
2019-12-01,134.4
2020-01-01,135.4
2020-02-01,135.9
2020-03-01,136.0
2020-04-01,136.0
2020-05-01,136.0
2020-06-01,136.0
2020-07-01,136.0
2020-08-01,135.9
2020-09-01,136.0
2020-10-01,136.0
2020-11-01,136.1
2020-12-01,137.9
2021-01-01,139.3
2021-02-01,138.9
2021-03-01,142.4
2021-04-01,142.7
2021-05-01,144.3
2021-06-01,145.7
2021-07-01,146.94
2021-08-01,147.197
2021-09-01,149.067
2021-10-01,150.413
2021-11-01,151.488
2021-12-01,152.187
2022-01-01,155.971
