,PCU334334
2003-12-01,100.0
2004-01-01,99.8
2004-02-01,99.5
2004-03-01,99.3
2004-04-01,99.5
2004-05-01,99.3
2004-06-01,99.1
2004-07-01,98.9
2004-08-01,98.9
2004-09-01,98.7
2004-10-01,98.6
2004-11-01,98.4
2004-12-01,98.5
2005-01-01,98.3
2005-02-01,98.2
2005-03-01,98.0
2005-04-01,97.9
2005-05-01,97.7
2005-06-01,97.6
2005-07-01,97.5
2005-08-01,97.6
2005-09-01,97.1
2005-10-01,97.0
2005-11-01,96.8
2005-12-01,96.6
2006-01-01,96.5
2006-02-01,96.5
2006-03-01,96.5
2006-04-01,96.7
2006-05-01,96.6
2006-06-01,96.5
2006-07-01,96.5
2006-08-01,96.5
2006-09-01,96.6
2006-10-01,96.4
2006-11-01,96.3
2006-12-01,96.2
2007-01-01,96.3
2007-02-01,95.4
2007-03-01,95.1
2007-04-01,95.1
2007-05-01,94.7
2007-06-01,94.6
2007-07-01,94.1
2007-08-01,93.5
2007-09-01,93.3
2007-10-01,93.1
2007-11-01,92.8
2007-12-01,92.6
2008-01-01,92.6
2008-02-01,92.8
2008-03-01,92.7
2008-04-01,92.7
2008-05-01,92.8
2008-06-01,92.8
2008-07-01,92.8
2008-08-01,92.7
2008-09-01,92.7
2008-10-01,92.7
2008-11-01,92.6
2008-12-01,92.4
2009-01-01,92.5
2009-02-01,92.4
2009-03-01,92.4
2009-04-01,92.3
2009-05-01,92.3
2009-06-01,92.1
2009-07-01,92.2
2009-08-01,92.2
2009-09-01,91.9
2009-10-01,91.9
2009-11-01,91.8
2009-12-01,91.7
2010-01-01,91.5
2010-02-01,91.5
2010-03-01,91.6
2010-04-01,91.4
2010-05-01,91.3
2010-06-01,91.1
2010-07-01,91.1
2010-08-01,90.9
2010-09-01,90.7
2010-10-01,90.5
2010-11-01,90.2
2010-12-01,90.1
2011-01-01,90.3
2011-02-01,90.4
2011-03-01,90.3
2011-04-01,90.3
2011-05-01,90.3
2011-06-01,90.2
2011-07-01,90.0
2011-08-01,90.0
2011-09-01,89.8
2011-10-01,89.8
2011-11-01,89.6
2011-12-01,89.5
2012-01-01,89.7
2012-02-01,89.8
2012-03-01,89.7
2012-04-01,89.7
2012-05-01,89.8
2012-06-01,89.6
2012-07-01,89.5
2012-08-01,89.4
2012-09-01,89.1
2012-10-01,89.1
2012-11-01,89.0
2012-12-01,88.9
2013-01-01,89.3
2013-02-01,89.3
2013-03-01,89.2
2013-04-01,89.4
2013-05-01,89.4
2013-06-01,89.4
2013-07-01,89.6
2013-08-01,89.5
2013-09-01,89.5
2013-10-01,89.4
2013-11-01,89.4
2013-12-01,89.4
2014-01-01,89.4
2014-02-01,89.4
2014-03-01,89.4
2014-04-01,89.4
2014-05-01,89.4
2014-06-01,89.4
2014-07-01,89.4
2014-08-01,89.4
2014-09-01,89.4
2014-10-01,89.5
2014-11-01,89.4
2014-12-01,89.4
2015-01-01,89.8
2015-02-01,89.5
2015-03-01,89.4
2015-04-01,89.4
2015-05-01,89.4
2015-06-01,89.2
2015-07-01,89.3
2015-08-01,89.3
2015-09-01,89.1
2015-10-01,89.2
2015-11-01,89.1
2015-12-01,89.1
2016-01-01,89.1
2016-02-01,89.1
2016-03-01,88.7
2016-04-01,88.8
2016-05-01,88.8
2016-06-01,88.8
2016-07-01,88.7
2016-08-01,88.7
2016-09-01,88.5
2016-10-01,88.3
2016-11-01,88.3
2016-12-01,88.2
2017-01-01,88.8
2017-02-01,88.8
2017-03-01,88.8
2017-04-01,89.0
2017-05-01,88.9
2017-06-01,88.9
2017-07-01,88.6
2017-08-01,88.5
2017-09-01,88.3
2017-10-01,88.3
2017-11-01,88.3
2017-12-01,88.3
2018-01-01,88.7
2018-02-01,89.0
2018-03-01,89.0
2018-04-01,89.0
2018-05-01,89.0
2018-06-01,89.1
2018-07-01,89.0
2018-08-01,88.8
2018-09-01,88.9
2018-10-01,88.9
2018-11-01,88.9
2018-12-01,88.8
2019-01-01,89.8
2019-02-01,89.8
2019-03-01,89.8
2019-04-01,90.0
2019-05-01,89.8
2019-06-01,89.9
2019-07-01,89.9
2019-08-01,90.1
2019-09-01,89.9
2019-10-01,90.1
2019-11-01,90.1
2019-12-01,90.2
2020-01-01,91.0
2020-02-01,91.0
2020-03-01,91.0
2020-04-01,90.7
2020-05-01,90.8
2020-06-01,90.7
2020-07-01,90.7
2020-08-01,90.7
2020-09-01,90.7
2020-10-01,90.3
2020-11-01,90.4
2020-12-01,90.4
2021-01-01,90.5
2021-02-01,90.6
2021-03-01,90.6
2021-04-01,90.9
2021-05-01,91.1
2021-06-01,91.2
2021-07-01,91.418
2021-08-01,91.628
2021-09-01,92.187
2021-10-01,92.406
2021-11-01,92.646
2021-12-01,92.897
2022-01-01,94.216
