,PCU334413334413A
2010-04-01,61.2
2010-05-01,61.2
2010-06-01,61.1
2010-07-01,60.4
2010-08-01,60.6
2010-09-01,60.5
2010-10-01,60.5
2010-11-01,60.3
2010-12-01,60.4
2011-01-01,60.4
2011-02-01,60.3
2011-03-01,60.3
2011-04-01,59.8
2011-05-01,59.8
2011-06-01,59.9
2011-07-01,59.8
2011-08-01,60.2
2011-09-01,60.1
2011-10-01,60.1
2011-11-01,60.1
2011-12-01,60.1
2012-01-01,60.1
2012-02-01,59.5
2012-03-01,59.5
2012-04-01,59.5
2012-05-01,61.7
2012-06-01,61.2
2012-07-01,61.0
2012-08-01,60.1
2012-09-01,60.1
2012-10-01,60.1
2012-11-01,59.0
2012-12-01,59.0
2013-01-01,58.4
2013-02-01,57.9
2013-03-01,57.9
2013-04-01,58.5
2013-05-01,58.6
2013-06-01,58.5
2013-07-01,58.0
2013-08-01,58.0
2013-09-01,58.0
2013-10-01,58.0
2013-11-01,58.0
2013-12-01,58.0
2014-01-01,57.5
2014-02-01,57.4
2014-03-01,57.4
2014-04-01,57.4
2014-05-01,57.4
2014-06-01,57.7
2014-07-01,57.7
2014-08-01,57.7
2014-09-01,57.7
2014-10-01,57.7
2014-11-01,57.6
2014-12-01,57.6
2015-01-01,57.5
2015-02-01,57.3
2015-03-01,57.3
2015-04-01,57.3
2015-05-01,57.3
2015-06-01,57.6
2015-07-01,57.3
2015-08-01,57.0
2015-09-01,57.0
2015-10-01,56.8
2015-11-01,55.9
2015-12-01,55.5
2016-01-01,54.1
2016-02-01,53.8
2016-03-01,53.7
2016-04-01,53.6
2016-05-01,54.0
2016-06-01,53.9
2016-07-01,53.8
2016-08-01,53.5
2016-09-01,53.5
2016-10-01,53.4
2016-11-01,53.2
2016-12-01,53.2
2017-01-01,53.1
2017-02-01,53.1
2017-03-01,52.9
2017-04-01,52.4
2017-05-01,52.0
2017-06-01,52.1
2017-07-01,51.8
2017-08-01,51.9
2017-09-01,52.0
2017-10-01,52.0
2017-11-01,52.1
2017-12-01,52.0
2018-01-01,51.7
2018-02-01,51.9
2018-03-01,51.9
2018-04-01,51.3
2018-05-01,51.3
2018-06-01,51.3
2018-07-01,51.5
2018-08-01,51.6
2018-09-01,51.6
2018-10-01,51.8
2018-11-01,51.8
2018-12-01,51.8
2019-01-01,52.2
2019-02-01,51.8
2019-03-01,51.7
2019-04-01,51.2
2019-05-01,49.8
2019-06-01,49.9
2019-07-01,50.2
2019-08-01,50.2
2019-09-01,50.2
2019-10-01,50.3
2019-11-01,50.3
2019-12-01,50.2
2020-01-01,50.2
2020-02-01,50.2
2020-03-01,51.5
2020-04-01,51.2
2020-05-01,51.2
2020-06-01,51.2
2020-07-01,51.2
2020-08-01,51.1
2020-09-01,51.0
2020-10-01,51.0
2020-11-01,51.2
2020-12-01,51.2
2021-01-01,51.0
2021-02-01,50.8
2021-03-01,50.8
2021-04-01,50.8
2021-05-01,50.8
2021-06-01,50.9
2021-07-01,50.964
2021-08-01,51.867
2021-09-01,51.695
2021-10-01,52.001
2021-11-01,52.001
2021-12-01,52.001
2022-01-01,52.039
