,PCU334413334413A
1976-06-01,116.5
1976-07-01,116.0
1976-08-01,116.0
1976-09-01,114.7
1976-10-01,114.7
1976-11-01,115.9
1976-12-01,115.7
1977-01-01,109.0
1977-02-01,109.0
1977-03-01,109.0
1977-04-01,108.1
1977-05-01,107.2
1977-06-01,105.1
1977-07-01,103.9
1977-08-01,103.9
1977-09-01,103.9
1977-10-01,103.9
1977-11-01,103.9
1977-12-01,103.9
1978-01-01,101.7
1978-02-01,100.8
1978-03-01,100.8
1978-04-01,100.8
1978-05-01,100.3
1978-06-01,99.9
1978-07-01,99.8
1978-08-01,99.8
1978-09-01,98.4
1978-10-01,98.4
1978-11-01,98.4
1978-12-01,99.4
1979-01-01,99.4
1979-02-01,99.7
1979-03-01,99.7
1979-04-01,100.0
1979-05-01,99.8
1979-06-01,99.7
1979-07-01,99.5
1979-08-01,99.5
1979-09-01,100.2
1979-10-01,100.2
1979-11-01,100.5
1979-12-01,100.5
1980-01-01,99.8
1980-02-01,101.8
1980-03-01,101.8
1980-04-01,100.5
1980-05-01,100.9
1980-06-01,100.0
1980-07-01,100.0
1980-08-01,100.0
1980-09-01,100.0
1980-10-01,99.7
1980-11-01,99.7
1980-12-01,99.4
1981-01-01,99.4
1981-02-01,99.4
1981-03-01,100.1
1981-04-01,100.1
1981-05-01,100.5
1981-06-01,100.0
1981-07-01,99.1
1981-08-01,99.7
1981-09-01,98.9
1981-10-01,100.4
1981-11-01,101.1
1981-12-01,101.0
1982-01-01,99.2
1982-02-01,99.0
1982-03-01,98.8
1982-04-01,98.7
1982-05-01,98.9
1982-06-01,101.3
1982-07-01,109.3
1982-08-01,94.6
1982-09-01,95.8
1982-10-01,95.8
1982-11-01,91.4
1982-12-01,91.4
1983-01-01,90.9
1983-02-01,91.9
1983-03-01,91.9
1983-04-01,90.9
1983-05-01,91.0
1983-06-01,91.0
1983-07-01,91.0
1983-08-01,91.1
1983-09-01,91.1
1983-10-01,95.1
1983-11-01,95.1
1983-12-01,93.8
1984-01-01,94.1
1984-02-01,94.1
1984-03-01,94.1
1984-04-01,94.1
1984-05-01,94.4
1984-06-01,94.4
1984-07-01,94.4
1984-08-01,94.4
1984-09-01,95.9
1984-10-01,95.9
1984-11-01,95.9
1984-12-01,95.5
1985-01-01,97.4
1985-02-01,97.2
1985-03-01,97.2
1985-04-01,97.2
1985-05-01,97.2
1985-06-01,96.0
1985-07-01,96.6
1985-08-01,96.6
1985-09-01,97.9
1985-10-01,97.9
1985-11-01,97.9
1985-12-01,97.9
1986-01-01,97.9
1986-02-01,97.9
1986-03-01,97.9
1986-04-01,97.9
1986-05-01,97.9
1986-06-01,97.9
1986-07-01,97.9
1986-08-01,97.9
1986-09-01,95.9
1986-10-01,96.0
1986-11-01,95.6
1986-12-01,96.2
1987-01-01,96.7
1987-02-01,96.6
1987-03-01,96.5
1987-04-01,96.0
1987-05-01,96.0
1987-06-01,96.5
1987-07-01,99.1
1987-08-01,99.1
1987-09-01,98.6
1987-10-01,98.2
1987-11-01,98.3
1987-12-01,98.2
1988-01-01,98.7
1988-02-01,98.7
1988-03-01,97.9
1988-04-01,97.9
1988-05-01,98.3
1988-06-01,100.8
1988-07-01,101.0
1988-08-01,101.0
1988-09-01,101.0
1988-10-01,101.0
1988-11-01,101.5
1988-12-01,101.5
1989-01-01,101.2
1989-02-01,101.3
1989-03-01,101.3
1989-04-01,101.3
1989-05-01,101.3
1989-06-01,102.0
1989-07-01,102.0
1989-08-01,102.0
1989-09-01,102.0
1989-10-01,102.0
1989-11-01,102.2
1989-12-01,102.0
1990-01-01,103.1
1990-02-01,103.1
1990-03-01,103.0
1990-04-01,103.1
1990-05-01,103.6
1990-06-01,103.5
1990-07-01,103.5
1990-08-01,102.2
1990-09-01,102.2
1990-10-01,102.2
1990-11-01,102.2
1990-12-01,102.2
1991-01-01,102.2
1991-02-01,102.2
1991-03-01,101.9
1991-04-01,101.9
1991-05-01,102.0
1991-06-01,102.0
1991-07-01,102.1
1991-08-01,102.1
1991-09-01,102.1
1991-10-01,102.0
1991-11-01,102.0
1991-12-01,102.1
1992-01-01,101.7
1992-02-01,102.1
1992-03-01,102.1
1992-04-01,102.0
1992-05-01,101.9
1992-06-01,101.9
1992-07-01,101.9
1992-08-01,102.1
1992-09-01,102.1
1992-10-01,101.4
1992-11-01,101.4
1992-12-01,101.2
1993-01-01,101.1
1993-02-01,101.0
1993-03-01,100.8
1993-04-01,100.7
1993-05-01,100.7
1993-06-01,100.7
1993-07-01,100.7
1993-08-01,100.8
1993-09-01,100.8
1993-10-01,100.6
1993-11-01,100.9
1993-12-01,101.0
1994-01-01,101.1
1994-02-01,101.1
1994-03-01,101.1
1994-04-01,101.1
1994-05-01,101.1
1994-06-01,101.1
1994-07-01,101.2
1994-08-01,101.2
1994-09-01,97.2
1994-10-01,97.3
1994-11-01,97.4
1994-12-01,97.3
1995-01-01,97.2
1995-02-01,97.2
1995-03-01,97.4
1995-04-01,97.9
1995-05-01,93.5
1995-06-01,93.8
1995-07-01,94.0
1995-08-01,93.9
1995-09-01,95.8
1995-10-01,95.5
1995-11-01,95.6
1995-12-01,94.9
1996-01-01,96.2
1996-02-01,96.4
1996-03-01,96.6
1996-04-01,96.3
1996-05-01,96.4
1996-06-01,96.7
1996-07-01,96.6
1996-08-01,96.7
1996-09-01,96.6
1996-10-01,96.5
1996-11-01,95.8
1996-12-01,96.0
1997-01-01,95.7
1997-02-01,95.3
1997-03-01,95.2
1997-04-01,95.2
1997-05-01,95.2
1997-06-01,95.7
1997-07-01,95.5
1997-08-01,95.5
1997-09-01,95.4
1997-10-01,95.0
1997-11-01,94.9
1997-12-01,95.1
1998-01-01,94.7
1998-02-01,94.5
1998-03-01,94.3
1998-04-01,94.4
1998-05-01,94.1
1998-06-01,94.2
1998-07-01,94.1
1998-08-01,93.5
1998-09-01,93.6
1998-10-01,93.4
1998-11-01,93.2
1998-12-01,92.7
1999-01-01,92.4
1999-02-01,92.0
1999-03-01,91.8
1999-04-01,91.4
1999-05-01,91.4
1999-06-01,91.2
1999-07-01,90.3
1999-08-01,90.3
1999-09-01,90.8
1999-10-01,90.2
1999-11-01,90.2
1999-12-01,90.0
2000-01-01,89.9
2000-02-01,89.8
2000-03-01,90.2
2000-04-01,89.6
2000-05-01,89.7
2000-06-01,89.8
2000-07-01,89.9
2000-08-01,90.5
2000-09-01,90.2
2000-10-01,90.2
2000-11-01,90.0
2000-12-01,90.0
2001-01-01,90.5
2001-02-01,90.7
2001-03-01,90.7
2001-04-01,90.3
2001-05-01,90.2
2001-06-01,89.8
2001-07-01,89.6
2001-08-01,88.3
2001-09-01,88.0
2001-10-01,87.8
2001-11-01,87.5
2001-12-01,87.1
2002-01-01,86.3
2002-02-01,85.8
2002-03-01,85.4
2002-04-01,84.4
2002-05-01,84.1
2002-06-01,84.2
2002-07-01,84.2
2002-08-01,84.1
2002-09-01,84.3
2002-10-01,84.1
2002-11-01,83.3
2002-12-01,82.8
2003-01-01,82.2
2003-02-01,82.0
2003-03-01,81.1
2003-04-01,81.0
2003-05-01,81.0
2003-06-01,80.6
2003-07-01,79.9
2003-08-01,79.8
2003-09-01,80.3
2003-10-01,80.2
2003-11-01,79.7
2003-12-01,79.4
2004-01-01,78.4
2004-02-01,78.3
2004-03-01,78.3
2004-04-01,77.6
2004-05-01,78.1
2004-06-01,77.9
2004-07-01,78.3
2004-08-01,78.4
2004-09-01,78.1
2004-10-01,78.4
2004-11-01,78.5
2004-12-01,78.3
2005-01-01,76.2
2005-02-01,76.0
2005-03-01,76.0
2005-04-01,76.0
2005-05-01,75.9
2005-06-01,75.8
2005-07-01,75.5
2005-08-01,75.1
2005-09-01,75.2
2005-10-01,75.1
2005-11-01,75.1
2005-12-01,74.9
2006-01-01,74.1
2006-02-01,74.1
2006-03-01,73.9
2006-04-01,73.9
2006-05-01,73.8
2006-06-01,73.7
2006-07-01,74.1
2006-08-01,73.8
2006-09-01,73.8
2006-10-01,73.7
2006-11-01,74.0
2006-12-01,74.3
2007-01-01,76.8
2007-02-01,76.1
2007-03-01,75.4
2007-04-01,74.8
2007-05-01,74.1
2007-06-01,73.8
2007-07-01,73.3
2007-08-01,72.7
2007-09-01,72.3
2007-10-01,71.8
2007-11-01,71.2
2007-12-01,71.1
2008-01-01,68.2
2008-02-01,67.8
2008-03-01,67.7
2008-04-01,67.6
2008-05-01,67.8
2008-06-01,67.6
2008-07-01,66.4
2008-08-01,66.3
2008-09-01,66.5
2008-10-01,66.1
2008-11-01,66.0
2008-12-01,65.9
2009-01-01,64.7
2009-02-01,64.7
2009-03-01,64.3
2009-04-01,64.0
2009-05-01,64.0
2009-06-01,64.1
2009-07-01,63.5
2009-08-01,63.1
2009-09-01,63.3
2009-10-01,63.4
2009-11-01,63.2
2009-12-01,63.5
2010-01-01,62.8
2010-02-01,62.5
2010-03-01,61.6
