,PCUOMFGOMFG
1995-08-01,124.4
1995-09-01,124.3
1995-10-01,125.1
1995-11-01,125.1
1995-12-01,125.3
1996-01-01,125.8
1996-02-01,125.7
1996-03-01,126.0
1996-04-01,126.8
1996-05-01,127.4
1996-06-01,127.1
1996-07-01,127.1
1996-08-01,127.4
1996-09-01,127.5
1996-10-01,128.2
1996-11-01,128.0
1996-12-01,128.0
1997-01-01,128.1
1997-02-01,127.9
1997-03-01,127.8
1997-04-01,127.7
1997-05-01,127.6
1997-06-01,127.2
1997-07-01,126.9
1997-08-01,127.4
1997-09-01,127.3
1997-10-01,127.6
1997-11-01,127.5
1997-12-01,127.0
1998-01-01,126.4
1998-02-01,126.1
1998-03-01,125.9
1998-04-01,126.2
1998-05-01,126.4
1998-06-01,126.2
1998-07-01,126.2
1998-08-01,126.0
1998-09-01,125.9
1998-10-01,126.4
1998-11-01,126.2
1998-12-01,125.9
1999-01-01,126.2
1999-02-01,125.9
1999-03-01,126.3
1999-04-01,127.4
1999-05-01,127.7
1999-06-01,127.8
1999-07-01,128.3
1999-08-01,129.0
1999-09-01,129.7
1999-10-01,130.2
1999-11-01,130.3
1999-12-01,130.5
2000-01-01,130.8
2000-02-01,132.2
2000-03-01,132.9
2000-04-01,132.6
2000-05-01,133.1
2000-06-01,134.2
2000-07-01,133.9
2000-08-01,133.5
2000-09-01,134.7
2000-10-01,134.9
2000-11-01,134.9
2000-12-01,134.3
2001-01-01,134.8
2001-02-01,134.8
2001-03-01,134.5
2001-04-01,135.6
2001-05-01,136.5
2001-06-01,135.8
2001-07-01,134.4
2001-08-01,134.6
2001-09-01,135.6
2001-10-01,133.7
2001-11-01,132.7
2001-12-01,131.6
2002-01-01,131.7
2002-02-01,132.0
2002-03-01,132.8
2002-04-01,133.8
2002-05-01,133.5
2002-06-01,133.6
2002-07-01,133.6
2002-08-01,133.7
2002-09-01,135.0
2002-10-01,135.6
2002-11-01,134.6
2002-12-01,134.0
2003-01-01,135.7
2003-02-01,137.6
2003-03-01,138.7
2003-04-01,136.3
2003-05-01,135.8
2003-06-01,136.3
2003-07-01,136.4
2003-08-01,137.0
2003-09-01,137.1
2003-10-01,138.2
2003-11-01,137.7
2003-12-01,137.7
2004-01-01,138.9
2004-02-01,139.3
2004-03-01,140.3
2004-04-01,141.8
2004-05-01,143.3
2004-06-01,142.9
2004-07-01,143.2
2004-08-01,143.7
2004-09-01,144.2
2004-10-01,146.5
2004-11-01,146.1
2004-12-01,145.0
2005-01-01,146.2
2005-02-01,147.0
2005-03-01,148.9
2005-04-01,149.6
2005-05-01,149.4
2005-06-01,149.6
2005-07-01,151.0
2005-08-01,151.8
2005-09-01,154.2
2005-10-01,156.6
2005-11-01,152.7
2005-12-01,152.8
2006-01-01,154.1
2006-02-01,153.5
2006-03-01,155.0
2006-04-01,157.2
2006-05-01,158.5
2006-06-01,159.5
2006-07-01,159.4
2006-08-01,159.8
2006-09-01,156.8
2006-10-01,155.9
2006-11-01,156.4
2006-12-01,156.9
2007-01-01,156.4
2007-02-01,157.7
2007-03-01,160.1
2007-04-01,162.2
2007-05-01,163.8
2007-06-01,163.7
2007-07-01,164.9
2007-08-01,163.0
2007-09-01,163.7
2007-10-01,164.5
2007-11-01,168.0
2007-12-01,166.9
2008-01-01,168.5
2008-02-01,169.6
2008-03-01,173.4
2008-04-01,175.3
2008-05-01,179.4
2008-06-01,182.0
2008-07-01,185.6
2008-08-01,182.6
2008-09-01,182.9
2008-10-01,176.8
2008-11-01,169.4
2008-12-01,164.1
2009-01-01,164.7
2009-02-01,163.9
2009-03-01,162.9
2009-04-01,164.2
2009-05-01,165.8
2009-06-01,168.4
2009-07-01,167.1
2009-08-01,169.4
2009-09-01,168.6
2009-10-01,168.9
2009-11-01,170.7
2009-12-01,170.8
2010-01-01,173.1
2010-02-01,172.2
2010-03-01,173.9
2010-04-01,175.2
2010-05-01,176.1
2010-06-01,174.8
2010-07-01,174.7
2010-08-01,175.3
2010-09-01,175.5
2010-10-01,177.3
2010-11-01,178.2
2010-12-01,179.1
2011-01-01,181.1
2011-02-01,183.3
2011-03-01,187.3
2011-04-01,190.2
2011-05-01,191.9
2011-06-01,191.1
2011-07-01,191.7
2011-08-01,190.7
2011-09-01,191.5
2011-10-01,190.2
2011-11-01,190.6
2011-12-01,189.6
2012-01-01,191.1
2012-02-01,192.1
2012-03-01,194.3
2012-04-01,194.7
2012-05-01,193.6
2012-06-01,191.7
2012-07-01,191.2
2012-08-01,193.5
2012-09-01,195.4
2012-10-01,195.1
2012-11-01,192.6
2012-12-01,191.8
2013-01-01,192.6
2013-02-01,195.2
2013-03-01,194.5
2013-04-01,194.0
2013-05-01,194.0
2013-06-01,193.9
2013-07-01,194.0
2013-08-01,194.6
2013-09-01,194.3
2013-10-01,193.7
2013-11-01,192.7
2013-12-01,193.2
2014-01-01,194.2
2014-02-01,195.2
2014-03-01,196.2
2014-04-01,197.5
2014-05-01,197.2
2014-06-01,197.2
2014-07-01,197.4
2014-08-01,197.4
2014-09-01,196.8
2014-10-01,194.8
2014-11-01,192.7
2014-12-01,189.1
2015-01-01,185.0
2015-02-01,185.4
2015-03-01,186.2
2015-04-01,185.7
2015-05-01,188.2
2015-06-01,188.9
2015-07-01,188.5
2015-08-01,187.0
2015-09-01,184.3
2015-10-01,183.7
2015-11-01,182.9
2015-12-01,180.8
2016-01-01,179.7
2016-02-01,178.7
2016-03-01,179.3
2016-04-01,180.5
2016-05-01,181.9
2016-06-01,183.6
2016-07-01,183.4
2016-08-01,182.5
2016-09-01,183.0
2016-10-01,183.7
2016-11-01,183.2
2016-12-01,183.9
2017-01-01,185.6
2017-02-01,186.2
2017-03-01,186.7
2017-04-01,187.6
2017-05-01,187.3
2017-06-01,187.6
2017-07-01,187.3
2017-08-01,188.4
2017-09-01,189.6
2017-10-01,190.2
2017-11-01,191.2
2017-12-01,191.3
2018-01-01,192.6
2018-02-01,193.5
2018-03-01,194.0
2018-04-01,195.3
2018-05-01,197.7
2018-06-01,198.4
2018-07-01,198.5
2018-08-01,198.6
2018-09-01,198.9
2018-10-01,200.4
2018-11-01,198.4
2018-12-01,195.2
2019-01-01,194.3
2019-02-01,195.4
2019-03-01,197.4
2019-04-01,199.2
2019-05-01,199.1
2019-06-01,197.0
2019-07-01,197.5
2019-08-01,196.4
2019-09-01,195.9
2019-10-01,196.6
2019-11-01,196.5
2019-12-01,196.4
2020-01-01,196.6
2020-02-01,195.1
2020-03-01,192.3
2020-04-01,186.1
2020-05-01,188.9
2020-06-01,190.2
2020-07-01,192.3
2020-08-01,193.0
2020-09-01,192.9
2020-10-01,193.7
2020-11-01,194.5
2020-12-01,196.7
2021-01-01,199.6
2021-02-01,203.1
2021-03-01,207.9
2021-04-01,210.1
2021-05-01,215.1
2021-06-01,217.9
2021-07-01,219.492
2021-08-01,220.114
2021-09-01,221.869
2021-10-01,225.439
2021-11-01,227.057
2021-12-01,226.353
2022-01-01,230.733
