,PCUOMFGOMFG
1984-12-01,100.0
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,101.3
1986-02-01,99.9
1986-03-01,98.3
1986-04-01,97.9
1986-05-01,98.2
1986-06-01,98.2
1986-07-01,97.5
1986-08-01,97.4
1986-09-01,97.6
1986-10-01,98.2
1986-11-01,98.3
1986-12-01,98.3
1987-01-01,99.1
1987-02-01,99.5
1987-03-01,99.5
1987-04-01,100.2
1987-05-01,100.6
1987-06-01,100.9
1987-07-01,101.3
1987-08-01,101.6
1987-09-01,101.3
1987-10-01,102.0
1987-11-01,102.2
1987-12-01,102.1
1988-01-01,102.4
1988-02-01,102.6
1988-03-01,102.8
1988-04-01,103.4
1988-05-01,103.9
1988-06-01,104.3
1988-07-01,104.9
1988-08-01,105.1
1988-09-01,105.1
1988-10-01,105.6
1988-11-01,106.1
1988-12-01,106.4
1989-01-01,107.5
1989-02-01,107.9
1989-03-01,108.5
1989-04-01,109.4
1989-05-01,110.1
1989-06-01,110.1
1989-07-01,109.9
1989-08-01,109.6
1989-09-01,109.9
1989-10-01,110.8
1989-11-01,110.8
1989-12-01,111.0
1990-01-01,112.7
1990-02-01,112.2
1990-03-01,112.3
1990-04-01,112.6
1990-05-01,113.1
1990-06-01,113.1
1990-07-01,113.2
1990-08-01,114.6
1990-09-01,116.2
1990-10-01,118.1
1990-11-01,118.2
1990-12-01,117.2
1991-01-01,116.9
1991-02-01,116.2
1991-03-01,115.3
1991-04-01,115.4
1991-05-01,115.6
1991-06-01,115.6
1991-07-01,115.4
1991-08-01,115.7
1991-09-01,115.7
1991-10-01,116.4
1991-11-01,116.5
1991-12-01,116.0
1992-01-01,115.9
1992-02-01,116.3
1992-03-01,116.4
1992-04-01,116.9
1992-05-01,117.6
1992-06-01,117.9
1992-07-01,117.8
1992-08-01,117.6
1992-09-01,117.6
1992-10-01,118.3
1992-11-01,118.2
1992-12-01,117.9
1993-01-01,118.4
1993-02-01,118.9
1993-03-01,119.3
1993-04-01,119.7
1993-05-01,119.8
1993-06-01,119.5
1993-07-01,119.3
1993-08-01,118.6
1993-09-01,118.4
1993-10-01,119.4
1993-11-01,119.3
1993-12-01,118.8
1994-01-01,119.3
1994-02-01,119.8
1994-03-01,119.9
1994-04-01,120.1
1994-05-01,120.4
1994-06-01,120.4
1994-07-01,120.9
1994-08-01,121.5
1994-09-01,121.1
1994-10-01,121.5
1994-11-01,121.9
1994-12-01,121.7
1995-01-01,122.6
1995-02-01,123.1
1995-03-01,123.4
1995-04-01,124.1
1995-05-01,124.5
1995-06-01,124.4
1995-07-01,124.4
