2021-09-30,2021-06-30,2021-03-31,2020-12-31
7794000000.0,7800000000.0,8127000000.0,6555000000.0
183440000000.0,191791000000.0,174374000000.0,173901000000.0
151978000000.0,141988000000.0,134505000000.0,130236000000.0
52622000000.0,52612000000.0,40069000000.0,39926000000.0
335418000000.0,333779000000.0,308879000000.0,304137000000.0
83751000000.0,83111000000.0,82308000000.0,81896000000.0
12982000000.0,13471000000.0,12034000000.0,12748000000.0
66944000000.0,57055000000.0,50735000000.0,44973000000.0
30157000000.0,31681000000.0,31601000000.0,31585000000.0
50455000000.0,49711000000.0,49698000000.0,44219000000.0
1283000000.0,1822000000.0,1462000000.0,3367000000.0
21103000000.0,15075000000.0,14427000000.0,13561000000.0
19165000000.0,14224000000.0,13702000000.0,14432000000.0
80528000000.0,88657000000.0,72193000000.0,67486000000.0
3249000000.0,8072000000.0,8051000000.0,5387000000.0
1283000000.0,1822000000.0,1462000000.0,3367000000.0
75347000000.0,70803000000.0,65618000000.0,62035000000.0
174326000000.0,184406000000.0,165614000000.0,173973000000.0
6393000000.0,5984000000.0,5395000000.0,3794000000.0
93729000000.0,84477000000.0,76680000000.0,79462000000.0
111419000000.0,116032000000.0,111311000000.0,117557000000.0
27349000000.0,38043000000.0,26322000000.0,27312000000.0
50039000000.0,50074000000.0,50007000000.0,55136000000.0
3411000000.0,2636000000.0,2245000000.0,1924000000.0
14832000000.0,15163000000.0,13412000000.0,12770000000.0
,7181000000.0,,
