Date,Dividends,Stock Splits
1982-02-22,0.3,0.0
1983-02-28,0.35,0.0
1984-02-28,0.4,0.0
1985-02-26,0.4,0.0
1986-02-26,0.4,0.0
1987-02-26,0.08,0.0
1988-03-01,0.08,0.0
1989-02-28,0.08,0.0
1990-03-06,0.08,0.0
1991-03-06,0.08,0.0
1992-03-06,0.08,0.0
1993-03-05,0.08,0.0
1994-03-07,0.08,0.0
1995-03-06,0.08,0.0
1996-03-07,0.08,0.0
1997-03-05,0.08,0.0
1998-03-05,0.08,0.0
1999-03-04,0.08,0.0
2000-03-06,0.08,0.0
2001-03-07,0.08,0.0
2001-03-28,0.6,0.0
2002-03-06,0.08,0.0
2003-03-05,0.08,0.0
2003-08-22,0.07,0.0
2004-03-03,0.1,0.0
2004-10-06,0.35,0.0
2005-03-04,0.55,0.0
2006-03-03,0.13,0.0
2007-03-05,0.16,0.0
2007-07-13,0.0,5.0
2008-03-05,0.18,0.0
2009-03-10,0.19,0.0
2010-03-10,0.2,0.0
2011-03-02,0.21,0.0
2012-03-02,0.23,0.0
2012-12-12,0.25,0.0
2013-03-04,0.27,0.0
2014-03-04,0.27,0.0
2015-03-05,0.29,0.0
2016-03-07,0.31,0.0
2017-03-07,1.0,0.0
2018-03-08,3.0,0.0
2019-03-07,6.0,0.0
2020-03-06,16.0,0.0
2020-12-10,10.0,0.0
2021-03-05,2.75,0.0
2021-06-07,2.75,0.0
2021-09-07,2.75,0.0
2021-12-07,2.75,0.0
