"CONSOLIDATED_STATEMENT_OF_OPERATIONS_-_USD_($)_shares_in_Millions,_$_in_Millions",12 Months Ended, , , , , , , , 
, , , , , , , , , 
, , , , , , , , , 
,,,, , , , , , 
,"$ 6,319","$ 5,339","$ 5,163", , , , , , 
,,,, , , , , , 
,"2,912","2,502","2,358", , , , , , 
,441,495,404, , , , , , 
,"1,619","1,496","1,460", , , , , , 
,"4,972","4,493","4,222", , , , , , 
,"1,347",846,941, , , , , , 
,2,8,36, , , , , , 
,(81),(78),(74), , , , , , 
,92,66,16, , , , , , 
,"1,360",842,919, , , , , , 
,150,123,(152), , , , , , 
,"$ 1,210",$ 719,"$ 1,071", , , , , , 
,,,, , , , , , 
,$ 3.98,$ 2.33,$ 3.41, , , , , , 
,$ 3.94,$ 2.30,$ 3.37, , , , , , 
,,,, , , , , , 
,304,309,314, , , , , , 
,307,312,318, , , , , , 
,,,, , , , , , 
,,,, , , , , , 
,"$ 4,756","$ 3,993","$ 3,877", , , , , , 
,,,, , , , , , 
,"2,078","1,796","1,680", , , , , , 
,,,, , , , , , 
,,,, , , , , , 
,"1,563","1,346","1,286", , , , , , 
,,,, , , , , , 
,$ 834,$ 706,$ 678, , , , , , 
