Statement_of_Consolidated_Operations_-_USD_($)_$_in_Millions,12 Months Ended, , , , , , , , 
, , , , , , , , , 
, , , , , , , , , 
,,,, , , , , , 
,"$ 9,286","$ 10,433","$ 13,403", , , , , , 
,"7,969","8,537","10,053", , , , , , 
,206,280,248, , , , , , 
,27,27,31, , , , , , 
,653,713,733, , , , , , 
,104,"1,031",527, , , , , , 
,146,121,122, , , , , , 
,8,162,64, , , , , , 
,"9,113","10,871","11,778", , , , , , 
,173,(438),"1,625", , , , , , 
,187,415,732, , , , , , 
,(14),(853),893, , , , , , 
,156,272,643, , , , , , 
,$ (170),"$ (1,125)",$ 250, , , , , , 
,,,, , , , , , 
,$ (0.91),$ (6.07),$ 1.34, , , , , , 
,$ (0.91),$ (6.07),$ 1.33, , , , , , 
