Date,Stock Splits
1994-06-02,1.25
1995-09-13,1.25
1996-06-04,1.25
1997-06-03,1.25
1998-11-12,1.1
2001-06-04,1.25
2003-06-03,1.25
2005-06-02,1.3333333333333333
2011-06-02,1.5
2014-06-03,2.0
2019-06-04,2.0
