Date,Stock Splits
1981-03-13,1.03
1982-03-15,1.03
1983-03-15,1.03
1984-03-15,1.03
1985-03-15,1.03
1986-03-17,1.03
1986-07-11,1.5
1987-03-16,1.03
1987-05-29,2.0
1988-03-11,1.03
1989-03-10,1.03
1990-03-09,1.03
1991-03-12,1.03
1992-03-12,1.03
1993-03-12,1.03
1994-03-07,1.0
1995-03-06,1.0
1995-07-12,2.0
1996-03-07,1.0
1997-03-07,1.03
1998-03-06,1.03
1998-07-14,2.0
1999-03-05,1.03
2000-03-03,1.03
2001-03-02,1.03
2002-03-01,1.03
2003-02-28,1.03
2004-02-27,1.03
2005-03-09,1.03
2006-03-08,1.03
2007-03-07,1.03
2008-03-06,1.03
2009-03-06,1.03
2010-03-05,1.0
2011-03-04,1.0
2012-03-02,1.0
2013-03-01,1.03
2014-02-28,1.03
2015-03-06,1.03
2016-03-04,1.03
2017-03-03,1.03
2018-03-05,1.03
2020-03-02,1.03
2021-03-04,1.03
