Date,Stock Splits
1986-05-27,2.0
1989-05-30,2.0
1993-06-01,1.5
1994-12-06,1.0
1995-11-28,1.0
1996-11-26,1.05
1997-11-25,1.05
1998-03-31,1.5
1998-11-25,1.05
1999-11-26,1.05
2000-11-28,1.05
2001-11-28,1.05
2002-11-26,1.05
2003-11-25,1.05
2004-11-24,1.05
2005-11-25,1.05
2006-11-24,1.0
2006-11-27,1.05
2007-11-27,1.05
2008-11-12,1.05
2009-11-25,1.05
2010-12-02,1.0
2011-11-28,1.0
2012-11-28,1.05
2013-11-26,1.05
2014-11-25,1.05
2015-11-24,1.05
2016-11-30,1.05
2017-11-29,1.05
2018-11-29,1.05
2020-12-01,1.05
