Date,Dividends
1999-01-04,1.215
2000-01-06,1.199
2000-03-09,0.078
2001-01-03,0.847
2001-12-27,0.926
2002-10-15,0.184
2002-12-19,0.314
2003-03-25,0.078
2003-04-11,0.591
2003-10-07,0.223
2003-12-24,0.784
2004-04-15,0.66
2004-10-12,0.223
2005-04-08,1.175
2005-05-02,0.2918
2005-09-23,1.178
2006-01-03,0.339
2006-05-30,1.276
2006-11-17,1.471
2007-01-03,0.1134
2007-04-04,0.7406
2007-05-01,0.23196
2007-11-13,2.099
2008-03-27,0.419
2008-05-22,0.843
2008-11-28,0.956
2009-03-26,0.353
2009-05-21,0.454
2010-04-08,1.403
2010-10-04,0.699
2011-03-21,2.087
2011-10-03,0.87
2012-04-12,0.985
2012-11-26,0.496154
2013-01-22,0.744
2013-04-17,0.68
2013-09-03,0.088
2013-11-01,0.297845
2014-01-02,0.296
2014-03-11,0.408
2014-04-24,0.055
2014-08-01,0.123
2014-09-02,0.122
2014-10-01,0.097
2014-11-03,0.113
2014-12-01,0.164
2015-01-02,0.165
2015-02-11,0.928
2015-04-10,0.005
2015-05-26,0.18
2015-08-03,0.042363
2015-09-01,0.045226
2015-10-01,0.026971
2015-11-03,0.016146
2015-12-01,0.043117
2016-01-04,0.05558
2016-03-01,0.030933
2016-04-01,0.057123
2016-04-29,0.223
2016-05-02,0.03784
2016-07-01,0.029074
2016-10-03,0.122005
2017-01-03,0.109709
2017-03-01,0.035
2017-04-03,0.069605
2017-04-27,0.373
2017-07-03,0.018
2017-10-02,0.059
2017-12-27,0.272
2018-04-13,0.404
2018-07-02,0.065
2018-09-18,0.415
2018-12-18,0.213
2019-03-01,0.115
2019-04-12,0.395
2019-05-02,0.088
2019-07-01,0.153
2020-01-02,0.150917
2020-03-02,0.038
2020-04-01,0.018
2020-04-08,0.288656
2020-05-29,0.254834
2020-07-01,0.102276
2020-11-30,0.044
2020-12-29,0.030117
2021-03-01,0.016408
2021-03-31,0.029191
2021-04-16,0.17099
2021-05-03,0.029778
2021-07-01,0.074878
2021-10-01,0.067591
2021-12-28,0.241581
