Date,Dividends
1989-05-08,0.02
1990-04-12,0.006
1991-05-14,0.0075
2013-12-12,0.05
2014-03-06,0.05
2014-06-06,0.05
2014-08-07,0.05
2014-11-06,0.05
2015-03-06,0.06
2015-06-08,0.06
2015-08-06,0.06
2015-11-06,0.06
2016-03-08,0.07
2016-06-08,0.07
2016-08-08,0.07
2016-11-08,0.07
2017-03-08,0.08
2017-06-07,0.08
2017-08-07,0.08
2017-11-08,0.08
2018-03-08,0.1
2018-06-07,0.1
2018-08-08,0.1
2018-11-08,0.1
2019-03-07,0.11
2019-06-06,0.11
2019-08-09,0.11
2019-11-07,0.11
2020-03-05,0.12
2021-03-04,0.12
2021-06-03,0.12
2021-08-11,0.12
2021-11-08,0.12
