Date,Dividends
2002-09-11,0.03
2002-12-11,0.03
2003-03-12,0.018
2003-06-11,0.03
2003-09-10,0.03
2003-12-10,0.03
2004-03-10,0.03
2004-06-09,0.03
2004-09-15,0.02
2004-12-15,0.025
2005-03-09,0.01
2005-06-10,0.01
2005-09-14,0.008
2005-12-14,0.009
2006-03-15,0.01
2006-06-14,0.009
2006-09-13,0.009
2006-12-13,0.009
2007-03-14,0.009
2007-06-13,0.009
2007-09-12,0.009
2007-12-12,0.01
2008-03-12,0.01
2008-06-11,0.029
2008-09-11,0.028
2008-12-10,0.024
2009-03-12,0.023
2009-06-11,0.027
2009-09-11,0.028
2009-12-11,0.029
2010-03-11,0.029
2010-06-11,0.029
2010-09-13,0.039
2010-12-13,0.04
2011-03-11,0.041
2011-06-13,0.041
2011-09-13,0.04
2011-12-13,0.04
2012-03-13,0.04
2012-06-13,0.039
2012-09-12,0.051
2012-12-12,0.05
2013-03-13,0.05
2013-06-12,0.005
2013-09-12,0.05
2013-12-12,0.057
2014-03-12,0.054
2014-06-11,0.055
2014-09-11,0.064
2014-12-11,0.061
2015-03-11,0.055
2015-06-11,0.057
2015-09-11,0.057
2015-12-11,0.055
2016-03-11,0.056
2016-06-13,0.059
2016-09-13,0.061
2016-12-13,0.061
2017-03-13,0.059
2017-06-13,0.06
2017-09-14,0.074
2017-12-14,0.07
2018-03-14,0.069
2018-06-14,0.069
2018-09-13,0.077
2018-12-13,0.1
2019-03-14,0.1
2019-06-13,0.075
2019-09-12,0.083
2019-12-12,0.083
2020-03-12,0.08
