Date,Dividends
1991-07-25,0.1296
1992-02-24,0.1296
1992-09-02,0.01618
1993-02-23,0.02427
1993-07-19,0.04045
1993-11-04,0.04045
1994-11-04,0.042
2012-10-26,0.04
2013-01-30,0.04
2013-04-29,0.04
2013-07-30,0.04
2013-10-30,0.04
2014-01-30,0.05
2014-04-29,0.05
2014-07-30,0.05
2014-10-30,0.05
2015-01-30,0.1
2015-05-01,0.1
2015-07-30,0.1
2015-10-29,0.1
2016-01-29,0.11
2016-04-28,0.11
2016-07-28,0.11
2016-10-28,0.11
2017-01-30,0.12
2017-04-27,0.12
2017-08-01,0.12
2017-10-31,0.12
2017-11-01,0.12
2018-01-31,0.13
2018-04-30,0.13
2018-08-02,0.13
2018-10-31,0.13
2019-01-31,0.137
2019-04-30,0.137
2019-07-31,0.137
2019-10-31,0.137
2020-01-30,0.143
2020-04-30,0.143
2020-07-31,0.1433
2020-10-29,0.1433
2021-01-28,0.151
2021-04-29,0.1505
2021-07-30,0.151
2021-11-01,0.1505
2022-01-31,0.158
