Date,Dividends
2005-12-23,0.00033
2006-12-21,0.00033
2007-06-29,0.02933
2008-06-24,0.059
2010-09-24,0.17
2011-12-22,0.00467
2012-03-23,0.009
2012-06-22,0.062
2012-09-24,0.11333
2012-12-19,0.03433
2013-06-27,0.024
2014-06-25,0.131
2014-09-24,0.018
2015-06-24,0.01933
2015-09-25,0.00067
2015-12-24,0.01067
2016-03-23,0.051
2016-06-21,0.054
2016-09-26,0.02867
2016-12-22,0.03067
2017-03-24,0.09967
2017-06-27,0.059
2017-09-26,0.03967
2017-12-21,0.125
2018-06-26,0.156
2018-09-26,0.032
2019-06-17,0.08
2019-09-24,0.071
2019-12-16,0.058
2020-03-25,0.055
2020-06-15,0.127
2020-09-23,0.063
2020-12-14,0.065
2021-03-25,0.131
2021-06-10,0.023
