,info
exchange,PCX
shortName,KraneShares Trust KraneShares C
longName,KraneShares Trust - KraneShares CSI China Internet ETF
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,KWEB
messageBoardId,finmb_243136794
market,us_market
err,"{'elapsedTime': 95, 'headers': {'server': 'envoy', 'x-envoy-upstream-service-time': '5', 'via': 'https/1.1 media-router-api7016.prod.media.gq1.yahoo.com (ApacheTrafficServer [cMsSf ])', 'content-type': 'application/json;charset=utf-8', 'x-request-id': 'b99fcd0b-001d-4d84-9ffb-23f5347516da', 'date': 'Sun, 20 Feb 2022 22:42:39 GMT', 'cache-control': 'max-age=0, private', 'vary': 'Origin', 'expires': '-1', 'y-rid': 'fskN6bT6', 'content-length': '216', 'x-yahoo-request-id': 'fskN6bT6', 'age': '1'}, 'requestUri': 'http://iquery.finance.yahoo.com:4080/v10/finance/quoteSummary/KWEB?formatted=true&crumb=i6VqINoVi6v&lang=en-US&region=US&modules=defaultKeyStatistics%2CassetProfile%2CtopHoldings%2CfundPerformance%2CfundProfile%2CesgScores&ssl=true', 'responseText': '{""quoteSummary"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No fundamentals data found for any of the summaryTypes=defaultKeyStatistics,assetProfile,topHoldings,fundPerformance,fundProfile,esgScores""}}}', 'responseXML': None, 'status': 404, 'statusCode': 404, 'statusText': 'Not Found'}"
previousClose,37.49
regularMarketOpen,36.4
twoHundredDayAverage,50.91765
trailingAnnualDividendYield,0
payoutRatio,
volume24Hr,
regularMarketDayHigh,36.4665
navPrice,
averageDailyVolume10Day,13773240
totalAssets,
regularMarketPreviousClose,37.49
fiftyDayAverage,37.3794
trailingAnnualDividendRate,0
open,36.4
toCurrency,
averageVolume10days,13773240
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,35.31
priceHint,2
currency,USD
regularMarketVolume,19516620
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,16528143
priceToSalesTrailing12Months,
dayLow,35.31
ask,35.6
ytdReturn,
askSize,2900
volume,19516620
fiftyTwoWeekHigh,98.813
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,32.73
bid,35.4
tradeable,False
dividendYield,
bidSize,1000
dayHigh,36.4665
regularMarketPrice,35.6
preMarketPrice,
logo_url,
