,info
exchange,NGM
shortName,Valkyrie Bitcoin Strategy ETF
longName,Valkyrie ETF Trust II - Valkyrie Bitcoin Strategy ETF
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,BTF
messageBoardId,finmb_1681850195
market,us_market
err,"{'elapsedTime': 7, 'headers': {'server': 'envoy', 'x-envoy-upstream-service-time': '4', 'via': 'https/1.1 media-router-api7077.prod.media.gq1.yahoo.com (ApacheTrafficServer [cMsSf ])', 'content-type': 'application/json;charset=utf-8', 'x-request-id': 'f0b9f383-192d-4fb3-82e3-afb1231bdbaf', 'date': 'Sun, 20 Feb 2022 01:04:57 GMT', 'cache-control': 'max-age=0, private', 'vary': 'Origin', 'expires': '-1', 'y-rid': 'fsIOmlOw', 'content-length': '216', 'x-yahoo-request-id': 'fsIOmlOw', 'age': '0'}, 'requestUri': 'http://iquery.finance.yahoo.com:4080/v10/finance/quoteSummary/BTF?formatted=true&crumb=YBik%2Fn.TJAH&lang=en-US&region=US&modules=defaultKeyStatistics%2CassetProfile%2CtopHoldings%2CfundPerformance%2CfundProfile%2CesgScores&ssl=true', 'responseText': '{""quoteSummary"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No fundamentals data found for any of the summaryTypes=defaultKeyStatistics,assetProfile,topHoldings,fundPerformance,fundProfile,esgScores""}}}', 'responseXML': None, 'status': 404, 'statusCode': 404, 'statusText': 'Not Found'}"
previousClose,15.93
regularMarketOpen,15.74
twoHundredDayAverage,19.576614
trailingAnnualDividendYield,
payoutRatio,
volume24Hr,
regularMarketDayHigh,15.89
navPrice,
averageDailyVolume10Day,1143380
totalAssets,
regularMarketPreviousClose,15.93
fiftyDayAverage,16.97538
trailingAnnualDividendRate,
open,15.74
toCurrency,
averageVolume10days,1143380
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,15.39
priceHint,2
currency,USD
regularMarketVolume,528965
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,789688
priceToSalesTrailing12Months,
dayLow,15.39
ask,17.2
ytdReturn,
askSize,2900
volume,528965
fiftyTwoWeekHigh,27.27
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,12.94
bid,15.53
tradeable,False
dividendYield,
bidSize,1200
dayHigh,15.89
regularMarketPrice,15.57
preMarketPrice,
logo_url,
