,info
exchange,PCX
shortName,SPDR Dow Jones Industrial Avera
longName,SPDR Dow Jones Industrial Average ETF Trust
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,DIA
messageBoardId,finmb_6184218
market,us_market
err,"{'elapsedTime': 10, 'headers': {'server': 'envoy', 'x-envoy-upstream-service-time': '4', 'via': 'https/1.1 media-router-api7020.prod.media.gq1.yahoo.com (ApacheTrafficServer [cMsSf ])', 'content-type': 'application/json;charset=utf-8', 'x-request-id': 'f4ecb7f2-a840-4c35-86b1-4bb301d6025e', 'date': 'Sun, 20 Feb 2022 22:41:11 GMT', 'cache-control': 'max-age=0, private', 'vary': 'Origin', 'expires': '-1', 'y-rid': 'fsEG9iSN', 'content-length': '216', 'x-yahoo-request-id': 'fsEG9iSN', 'age': '0'}, 'requestUri': 'http://iquery.finance.yahoo.com:4080/v10/finance/quoteSummary/DIA?formatted=true&crumb=BMumtrrjS%2FF&lang=en-US&region=US&modules=defaultKeyStatistics%2CassetProfile%2CtopHoldings%2CfundPerformance%2CfundProfile%2CesgScores&ssl=true', 'responseText': '{""quoteSummary"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No fundamentals data found for any of the summaryTypes=defaultKeyStatistics,assetProfile,topHoldings,fundPerformance,fundProfile,esgScores""}}}', 'responseXML': None, 'status': 404, 'statusCode': 404, 'statusText': 'Not Found'}"
previousClose,343.161
regularMarketOpen,342.9
twoHundredDayAverage,350.6266
trailingAnnualDividendYield,0.016377151
payoutRatio,
volume24Hr,
regularMarketDayHigh,344.17
navPrice,
averageDailyVolume10Day,5997550
totalAssets,
regularMarketPreviousClose,343.161
fiftyDayAverage,354.8104
trailingAnnualDividendRate,5.62
open,342.9
toCurrency,
averageVolume10days,5997550
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,339.67
priceHint,2
currency,USD
trailingPE,3.4483876
regularMarketVolume,6193742
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,7464390
priceToSalesTrailing12Months,
dayLow,339.67
ask,340.2
ytdReturn,
askSize,800
volume,6193742
fiftyTwoWeekHigh,369.5
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,305.68
bid,339.66
tradeable,False
dividendYield,
bidSize,1000
dayHigh,344.17
regularMarketPrice,340.98
preMarketPrice,
logo_url,
