,info
exchange,PCX
shortName,iShares Inc iShares MSCI Brazil
longName,"iShares, Inc. - iShares MSCI Brazil ETF"
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,EWZ
messageBoardId,finmb_6456547
market,us_market
err,"{'elapsedTime': 8, 'headers': {'server': 'envoy', 'x-envoy-upstream-service-time': '5', 'via': 'https/1.1 media-router-api7042.prod.media.gq1.yahoo.com (ApacheTrafficServer [cMsSf ])', 'content-type': 'application/json;charset=utf-8', 'x-request-id': '07ad7a9f-1b3b-4de3-bb72-8ea291d0aa45', 'date': 'Sun, 20 Feb 2022 14:12:44 GMT', 'cache-control': 'max-age=0, private', 'vary': 'Origin', 'expires': '-1', 'y-rid': 'fsT1rqxU', 'content-length': '216', 'x-yahoo-request-id': 'fsT1rqxU', 'age': '0'}, 'requestUri': 'http://iquery.finance.yahoo.com:4080/v10/finance/quoteSummary/EWZ?formatted=true&crumb=VfMOYntvem%2F&lang=en-US&region=US&modules=defaultKeyStatistics%2CassetProfile%2CtopHoldings%2CfundPerformance%2CfundProfile%2CesgScores&ssl=true', 'responseText': '{""quoteSummary"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No fundamentals data found for any of the summaryTypes=defaultKeyStatistics,assetProfile,topHoldings,fundPerformance,fundProfile,esgScores""}}}', 'responseXML': None, 'status': 404, 'statusCode': 404, 'statusText': 'Not Found'}"
previousClose,32.91
regularMarketOpen,33.19
twoHundredDayAverage,34.01655
trailingAnnualDividendYield,0.027408084
payoutRatio,
volume24Hr,
regularMarketDayHigh,33.255
navPrice,
averageDailyVolume10Day,28011850
totalAssets,
regularMarketPreviousClose,32.91
fiftyDayAverage,29.7534
trailingAnnualDividendRate,0.902
open,33.19
toCurrency,
averageVolume10days,28011850
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,32.795
priceHint,2
currency,USD
trailingPE,3.217357
regularMarketVolume,29342911
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,25875362
priceToSalesTrailing12Months,
dayLow,32.795
ask,32.8
ytdReturn,
askSize,27000
volume,29342911
fiftyTwoWeekHigh,42.05
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,26.47
bid,32.84
tradeable,False
dividendYield,
bidSize,1300
dayHigh,33.255
regularMarketPrice,32.92
preMarketPrice,
logo_url,
