,info
exchange,PCX
shortName,SPDR S&P Metals & Mining ETF
longName,SPDR Series Trust - SPDR S&P Metals & Mining ETF
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,XME
messageBoardId,finmb_27776009
market,us_market
err,"{'elapsedTime': 8, 'headers': {'server': 'envoy', 'x-envoy-upstream-service-time': '4', 'via': 'https/1.1 media-router-api7053.prod.media.gq1.yahoo.com (ApacheTrafficServer [cMsSf ])', 'content-type': 'application/json;charset=utf-8', 'x-request-id': '95d2dbfe-4a8d-482b-acf5-16fae926dc60', 'date': 'Sun, 20 Feb 2022 11:47:13 GMT', 'cache-control': 'max-age=0, private', 'vary': 'Origin', 'expires': '-1', 'y-rid': 'fsSbaul4', 'content-length': '216', 'x-yahoo-request-id': 'fsSbaul4', 'age': '0'}, 'requestUri': 'http://iquery.finance.yahoo.com:4080/v10/finance/quoteSummary/XME?formatted=true&crumb=yMxRTfhGeUf&lang=en-US&region=US&modules=defaultKeyStatistics%2CassetProfile%2CtopHoldings%2CfundPerformance%2CfundProfile%2CesgScores&ssl=true', 'responseText': '{""quoteSummary"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No fundamentals data found for any of the summaryTypes=defaultKeyStatistics,assetProfile,topHoldings,fundPerformance,fundProfile,esgScores""}}}', 'responseXML': None, 'status': 404, 'statusCode': 404, 'statusText': 'Not Found'}"
previousClose,49.75
regularMarketOpen,49.47
twoHundredDayAverage,44.16415
trailingAnnualDividendYield,0.0064321607
payoutRatio,
volume24Hr,
regularMarketDayHigh,49.9888
navPrice,
averageDailyVolume10Day,6537850
totalAssets,
regularMarketPreviousClose,49.75
fiftyDayAverage,44.9038
trailingAnnualDividendRate,0.32
open,49.47
toCurrency,
averageVolume10days,6537850
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,48.95
priceHint,2
currency,USD
trailingPE,3.9564314
regularMarketVolume,5219592
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,4721158
priceToSalesTrailing12Months,
dayLow,48.95
ask,49.65
ytdReturn,
askSize,3200
volume,5219592
fiftyTwoWeekHigh,50.78
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,35.53
bid,49.06
tradeable,False
dividendYield,
bidSize,2900
dayHigh,49.9888
regularMarketPrice,49.4
preMarketPrice,
logo_url,
