,info
exchange,PCX
shortName,iShares MSCI Emerging Index Fun
longName,"iShares, Inc. - iShares MSCI Emerging Markets ETF"
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,EEM
messageBoardId,finmb_8797528
market,us_market
err,"{'elapsedTime': 27, 'headers': {'server': 'envoy', 'x-envoy-upstream-service-time': '5', 'via': 'https/1.1 media-router-api7046.prod.media.gq1.yahoo.com (ApacheTrafficServer [cMsSf ])', 'content-type': 'application/json;charset=utf-8', 'x-request-id': '57af95b2-48d2-462b-92d0-e03bcccf6b14', 'date': 'Sun, 20 Feb 2022 22:42:44 GMT', 'cache-control': 'max-age=0, private', 'vary': 'Origin', 'expires': '-1', 'y-rid': 'fsayOSoT', 'content-length': '216', 'x-yahoo-request-id': 'fsayOSoT', 'age': '1'}, 'requestUri': 'http://iquery.finance.yahoo.com:4080/v10/finance/quoteSummary/EEM?formatted=true&crumb=p3NqcIYbmc2&lang=en-US&region=US&modules=defaultKeyStatistics%2CassetProfile%2CtopHoldings%2CfundPerformance%2CfundProfile%2CesgScores&ssl=true', 'responseText': '{""quoteSummary"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No fundamentals data found for any of the summaryTypes=defaultKeyStatistics,assetProfile,topHoldings,fundPerformance,fundProfile,esgScores""}}}', 'responseXML': None, 'status': 404, 'statusCode': 404, 'statusText': 'Not Found'}"
previousClose,49.21
regularMarketOpen,49.03
twoHundredDayAverage,51.44345
trailingAnnualDividendYield,0.015444015
payoutRatio,
volume24Hr,
regularMarketDayHigh,49.06
navPrice,
averageDailyVolume10Day,42901180
totalAssets,
regularMarketPreviousClose,49.21
fiftyDayAverage,48.8838
trailingAnnualDividendRate,0.76
open,49.03
toCurrency,
averageVolume10days,42901180
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,48.62
priceHint,2
currency,USD
trailingPE,6.0680037
regularMarketVolume,41312339
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,45494346
priceToSalesTrailing12Months,
dayLow,48.62
ask,48.45
ytdReturn,
askSize,27000
volume,41312339
fiftyTwoWeekHigh,56.37
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,46.66
bid,48.36
tradeable,False
dividendYield,
bidSize,1300
dayHigh,49.06
regularMarketPrice,48.72
preMarketPrice,
logo_url,
