,info
exchange,PCX
shortName,ProShares Bitcoin Strategy ETF
longName,ProShares Trust - ProShares Bitcoin Strategy ETF
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,BITO
messageBoardId,finmb_1679448790
market,us_market
err,"{'elapsedTime': 14, 'headers': {'server': 'envoy', 'x-envoy-upstream-service-time': '5', 'via': 'https/1.1 media-router-api7045.prod.media.gq1.yahoo.com (ApacheTrafficServer [cMsSf ])', 'content-type': 'application/json;charset=utf-8', 'x-request-id': 'aef82ae0-5b89-4ea0-979d-2bc6363b6b60', 'date': 'Sun, 20 Feb 2022 22:41:10 GMT', 'cache-control': 'max-age=0, private', 'vary': 'Origin', 'expires': '-1', 'y-rid': 'fs1VRT2E', 'content-length': '216', 'x-yahoo-request-id': 'fs1VRT2E', 'age': '1'}, 'requestUri': 'http://iquery.finance.yahoo.com:4080/v10/finance/quoteSummary/BITO?formatted=true&crumb=gfgTOLwzvjL&lang=en-US&region=US&modules=defaultKeyStatistics%2CassetProfile%2CtopHoldings%2CfundPerformance%2CfundProfile%2CesgScores&ssl=true', 'responseText': '{""quoteSummary"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No fundamentals data found for any of the summaryTypes=defaultKeyStatistics,assetProfile,topHoldings,fundPerformance,fundProfile,esgScores""}}}', 'responseXML': None, 'status': 404, 'statusCode': 404, 'statusText': 'Not Found'}"
previousClose,25.7
regularMarketOpen,25.37
twoHundredDayAverage,31.95953
trailingAnnualDividendYield,
payoutRatio,
volume24Hr,
regularMarketDayHigh,25.63
navPrice,
averageDailyVolume10Day,7237070
totalAssets,
regularMarketPreviousClose,25.7
fiftyDayAverage,27.4556
trailingAnnualDividendRate,
open,25.37
toCurrency,
averageVolume10days,7237070
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,24.79
priceHint,2
currency,USD
regularMarketVolume,9924097
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,7598359
priceToSalesTrailing12Months,
dayLow,24.79
ask,25.05
ytdReturn,
askSize,2200
volume,9924097
fiftyTwoWeekHigh,44.29
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,20.902
bid,24.86
tradeable,False
dividendYield,
bidSize,2200
dayHigh,25.63
regularMarketPrice,25.11
preMarketPrice,
logo_url,
