,info
exchange,PCX
shortName,SPDR Select Sector Fund - Healt
longName,The Select Sector SPDR Trust - The Health Care Select Sector SPDR Fund
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,XLV
messageBoardId,finmb_8795490
market,us_market
err,"{'elapsedTime': 18, 'headers': {'server': 'envoy', 'x-envoy-upstream-service-time': '5', 'via': 'https/1.1 media-router-api7007.prod.media.gq1.yahoo.com (ApacheTrafficServer [cMsSf ])', 'content-type': 'application/json;charset=utf-8', 'x-request-id': '30af9e2b-40f3-4759-a832-44241a34be7f', 'date': 'Sun, 20 Feb 2022 22:42:44 GMT', 'cache-control': 'max-age=0, private', 'vary': 'Origin', 'expires': '-1', 'y-rid': 'fsF2Vr4Y', 'content-length': '216', 'x-yahoo-request-id': 'fsF2Vr4Y', 'age': '0'}, 'requestUri': 'http://iquery.finance.yahoo.com:4080/v10/finance/quoteSummary/XLV?formatted=true&crumb=6.nz6W0ScPb&lang=en-US&region=US&modules=defaultKeyStatistics%2CassetProfile%2CtopHoldings%2CfundPerformance%2CfundProfile%2CesgScores&ssl=true', 'responseText': '{""quoteSummary"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No fundamentals data found for any of the summaryTypes=defaultKeyStatistics,assetProfile,topHoldings,fundPerformance,fundProfile,esgScores""}}}', 'responseXML': None, 'status': 404, 'statusCode': 404, 'statusText': 'Not Found'}"
previousClose,128.47
regularMarketOpen,128.35
twoHundredDayAverage,130.7968
trailingAnnualDividendYield,0.014088891
payoutRatio,
volume24Hr,
regularMarketDayHigh,129.04
navPrice,
averageDailyVolume10Day,11612320
totalAssets,
regularMarketPreviousClose,128.47
fiftyDayAverage,134.1524
trailingAnnualDividendRate,1.81
open,128.35
toCurrency,
averageVolume10days,11612320
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,127.08
priceHint,2
currency,USD
trailingPE,5.9863853
regularMarketVolume,13505608
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,14211411
priceToSalesTrailing12Months,
dayLow,127.08
ask,127.48
ytdReturn,
askSize,1000
volume,13505608
fiftyTwoWeekHigh,141.98
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,109.93
bid,127
tradeable,False
dividendYield,
bidSize,1100
dayHigh,129.04
regularMarketPrice,127.51
preMarketPrice,
logo_url,
