,info
exchange,PCX
shortName,ProShares UltraShort S&P500
longName,ProShares Trust - ProShares UltraShort S&P500
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,SDS
messageBoardId,finmb_28040473
market,us_market
err,"{'elapsedTime': 14, 'headers': {'server': 'envoy', 'x-envoy-upstream-service-time': '4', 'via': 'https/1.1 media-router-api7053.prod.media.gq1.yahoo.com (ApacheTrafficServer [cMsSf ])', 'content-type': 'application/json;charset=utf-8', 'x-request-id': 'd7900c2b-96fb-4831-a6cf-0fb2cfd7e243', 'date': 'Sun, 20 Feb 2022 11:47:14 GMT', 'cache-control': 'max-age=0, private', 'vary': 'Origin', 'expires': '-1', 'y-rid': 'fsaq65iq', 'content-length': '216', 'x-yahoo-request-id': 'fsaq65iq', 'age': '0'}, 'requestUri': 'http://iquery.finance.yahoo.com:4080/v10/finance/quoteSummary/SDS?formatted=true&crumb=fFffEmk3dAI&lang=en-US&region=US&modules=defaultKeyStatistics%2CassetProfile%2CtopHoldings%2CfundPerformance%2CfundProfile%2CesgScores&ssl=true', 'responseText': '{""quoteSummary"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No fundamentals data found for any of the summaryTypes=defaultKeyStatistics,assetProfile,topHoldings,fundPerformance,fundProfile,esgScores""}}}', 'responseXML': None, 'status': 404, 'statusCode': 404, 'statusText': 'Not Found'}"
previousClose,41.01
regularMarketOpen,40.95
twoHundredDayAverage,41.46645
trailingAnnualDividendYield,
payoutRatio,
volume24Hr,
regularMarketDayHigh,42
navPrice,
averageDailyVolume10Day,16342570
totalAssets,
regularMarketPreviousClose,41.01
fiftyDayAverage,37.9998
trailingAnnualDividendRate,
open,40.95
toCurrency,
averageVolume10days,16342570
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,40.71
priceHint,2
currency,USD
regularMarketVolume,18260526
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,9037525
priceToSalesTrailing12Months,
dayLow,40.71
ask,42.09
ytdReturn,
askSize,1400
volume,18260526
fiftyTwoWeekHigh,61.7
forwardPE,
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,34.55
bid,41.86
tradeable,False
dividendYield,
bidSize,900
dayHigh,42
regularMarketPrice,41.56
preMarketPrice,
logo_url,
