,Open,High,Low,Close,Volume
2022-01-21 08:00:00-05:00,255.7,255.7,255.7,255.7,0
2022-01-21 09:30:00-05:00,254.4199981689453,257.6600036621094,251.4600067138672,252.94500732421875,71342
2022-01-21 10:30:00-05:00,252.44000244140625,254.26499938964844,251.4499969482422,254.22000122070312,93008
2022-01-21 11:30:00-05:00,253.52000427246094,253.63999938964844,248.3300018310547,249.33999633789062,146874
2022-01-21 12:30:00-05:00,249.23500061035156,251.47999572753906,249.22500610351562,249.6199951171875,66570
2022-01-21 13:30:00-05:00,249.58999633789062,254.0800018310547,249.58999633789062,251.24249267578125,93984
2022-01-21 14:30:00-05:00,251.25,253.14999389648438,249.66000366210938,251.3699951171875,105681
2022-01-21 15:30:00-05:00,251.35499572753906,252.8800048828125,251.35499572753906,251.9199981689453,143277
2022-01-21 16:00:00-05:00,251.95,254.21,251.95,251.95,0
2022-01-25 14:30:00-05:00,255.32000732421875,255.9199981689453,252.3350067138672,252.3350067138672,338773
2022-01-25 15:30:00-05:00,252.375,252.6699981689453,251.69000244140625,252.0500030517578,19113
2022-01-25 16:00:00-05:00,250.39,250.39,250.39,250.39,0
2022-01-26 09:00:00-05:00,257.49,257.49,257.49,257.49,0
2022-01-26 09:30:00-05:00,256.92999267578125,258.4049987792969,252.02000427246094,253.44000244140625,153209
2022-01-26 10:30:00-05:00,253.39500427246094,253.63499450683594,251.25,253.63499450683594,96833
2022-01-26 11:30:00-05:00,254.60000610351562,254.8000030517578,253.625,254.2100067138672,46612
2022-01-26 12:30:00-05:00,254.23500061035156,255.4550018310547,253.90499877929688,254.75,57860
2022-01-26 13:30:00-05:00,255.0800018310547,256.7099914550781,254.2100067138672,255.32000732421875,113089
2022-01-26 14:30:00-05:00,255.22500610351562,255.22500610351562,251.11000061035156,252.05999755859375,242646
2022-01-26 15:30:00-05:00,252.72999572753906,253.75,252.05999755859375,253.75,143838
2022-01-26 16:00:00-05:00,253.09,253.09,253.09,253.09,68242
2022-01-27 09:30:00-05:00,254.7899932861328,256.3599853515625,252.4149932861328,252.4149932861328,0
2022-01-27 10:30:00-05:00,252.25999450683594,256.1499938964844,251.39500427246094,254.60000610351562,145142
2022-01-27 11:30:00-05:00,255.34750366210938,257.05999755859375,254.89500427246094,256.0,140521
2022-01-27 12:30:00-05:00,256.0199890136719,257.07000732421875,254.30999755859375,254.83999633789062,162618
2022-01-27 13:30:00-05:00,254.81500244140625,258.1700134277344,254.77000427246094,255.27000427246094,117435
2022-01-27 14:30:00-05:00,255.25999450683594,257.3699951171875,254.80999755859375,256.9599914550781,95383
2022-01-27 15:30:00-05:00,257.1099853515625,258.239990234375,256.135009765625,256.9599914550781,169331
2022-01-27 16:00:00-05:00,256.66,256.66,256.66,256.66,21280
2022-01-27 18:00:00-05:00,256.66,256.66,256.66,256.66,0
2022-01-28 09:30:00-05:00,256.4599914550781,257.9599914550781,254.03500366210938,255.3070068359375,159013
2022-01-28 10:30:00-05:00,255.52000427246094,257.6400146484375,254.67999267578125,257.45001220703125,74354
2022-01-28 11:30:00-05:00,256.9049987792969,257.6099853515625,255.22000122070312,255.89999389648438,76750
2022-01-28 12:30:00-05:00,255.72000122070312,257.4700012207031,255.5800018310547,256.4599914550781,64793
2022-01-28 13:30:00-05:00,256.79998779296875,258.7099914550781,256.0199890136719,256.1654052734375,63880
2022-01-28 14:30:00-05:00,256.0299987792969,261.2300109863281,255.80999755859375,260.57000732421875,100904
2022-01-28 15:30:00-05:00,260.6000061035156,264.07000732421875,259.70001220703125,263.32000732421875,169167
2022-01-28 16:00:00-05:00,262.95,262.95,262.95,262.95,17479
2022-01-31 09:30:00-05:00,263.1199951171875,266.6099853515625,262.3500061035156,262.3500061035156,0
2022-01-31 10:30:00-05:00,262.5450134277344,264.45489501953125,262.135009765625,262.80499267578125,79368
2022-01-31 11:30:00-05:00,262.82000732421875,264.739990234375,262.82000732421875,264.739990234375,98760
2022-01-31 12:30:00-05:00,264.6900939941406,264.9486999511719,263.4200134277344,263.56500244140625,67320
2022-01-31 13:30:00-05:00,263.8299865722656,264.5849914550781,263.6099853515625,264.25,36261
2022-01-31 14:30:00-05:00,264.25,264.32000732421875,262.7699890136719,263.8500061035156,66882
2022-01-31 15:30:00-05:00,263.6449890136719,266.0199890136719,263.4700012207031,265.4100036621094,72837
2022-01-31 16:00:00-05:00,265.72,265.72,265.72,265.72,0
2022-02-01 08:00:00-05:00,265.72,265.72,265.72,265.72,0
2022-02-01 09:30:00-05:00,267.3699951171875,267.8999938964844,263.42498779296875,264.8800048828125,111418
2022-02-01 10:30:00-05:00,264.875,266.69000244140625,263.7900085449219,264.8699951171875,97725
2022-02-01 11:30:00-05:00,264.7699890136719,267.54998779296875,264.3599853515625,267.510009765625,31916
2022-02-01 12:30:00-05:00,267.8399963378906,267.8399963378906,265.4949951171875,265.739990234375,39063
2022-02-01 13:30:00-05:00,265.9800109863281,267.0199890136719,265.7799987792969,266.0299987792969,73044
2022-02-01 14:30:00-05:00,266.1600036621094,267.4700012207031,265.6300048828125,267.30999755859375,41120
2022-02-01 15:30:00-05:00,267.4599914550781,268.9599914550781,267.05999755859375,268.6400146484375,62760
