,Open,High,Low,Close,Volume
2022-01-21 04:00:00-05:00,5.05,5.05,5.01,5.01,0
2022-01-21 05:00:00-05:00,5.01,5.01,4.9,5.0,0
2022-01-21 06:00:00-05:00,5.0,5.04,4.99,4.99,0
2022-01-21 07:00:00-05:00,4.99,5.015,4.89,4.89,0
2022-01-21 08:00:00-05:00,4.9,5.0,4.76,4.83,0
2022-01-21 09:00:00-05:00,4.82,4.9,4.77,4.9,0
2022-01-21 09:30:00-05:00,4.860000133514404,4.929500102996826,4.599999904632568,4.75,1064907
2022-01-21 10:30:00-05:00,4.744999885559082,4.885000228881836,4.71999979019165,4.869999885559082,376029
2022-01-21 11:30:00-05:00,4.860000133514404,4.860000133514404,4.730000019073486,4.739999771118164,179616
2022-01-21 12:30:00-05:00,4.730000019073486,4.769999980926514,4.699999809265137,4.730000019073486,133717
2022-01-21 13:30:00-05:00,4.737299919128418,4.889999866485596,4.737299919128418,4.800099849700928,191154
2022-01-21 14:30:00-05:00,4.789999961853027,4.84499979019165,4.659999847412109,4.679999828338623,292385
2022-01-21 15:30:00-05:00,4.679999828338623,4.730000019073486,4.650000095367432,4.650100231170654,260210
2022-01-21 16:00:00-05:00,4.68,4.77,4.68,4.68,0
2022-01-21 17:00:00-05:00,4.7,4.86,4.57,4.65,0
2022-01-21 18:00:00-05:00,4.58,4.64,4.56,4.63,0
2022-01-25 14:30:00-05:00,4.339399814605713,4.400000095367432,4.309999942779541,4.310100078582764,1895510
2022-01-25 15:30:00-05:00,4.309999942779541,4.329999923706055,4.284999847412109,4.329899787902832,84312
2022-01-25 16:00:00-05:00,4.31,4.31,4.31,4.31,197985
2022-01-25 17:00:00-05:00,4.28,4.28,4.24,4.28,0
2022-01-25 18:00:00-05:00,4.29,4.31,4.22,4.31,0
2022-01-26 05:00:00-05:00,4.4,4.4,4.4,4.4,0
2022-01-26 06:00:00-05:00,4.4,4.41,4.4,4.41,0
2022-01-26 07:00:00-05:00,4.42,4.43,4.42,4.43,0
2022-01-26 08:00:00-05:00,4.41,4.41,4.38,4.38,0
2022-01-26 09:00:00-05:00,4.3928,4.42,4.36,4.4,0
