,Open,High,Low,Close,Volume
2022-01-21 04:00:00-05:00,198.0,198.0,198.0,198.0,0
2022-01-21 05:00:00-05:00,198.06,199.0,198.0,198.0,0
2022-01-21 06:00:00-05:00,198.0,198.7,197.98,198.0,0
2022-01-21 07:00:00-05:00,197.5,199.76,196.48,199.0,0
2022-01-21 08:00:00-05:00,198.68,199.37,197.46,198.5,0
2022-01-21 09:00:00-05:00,198.78,200.0,195.75,197.2,0
2022-01-21 09:30:00-05:00,197.3300018310547,202.83999633789062,196.8000030517578,201.4499969482422,751082
2022-01-21 10:30:00-05:00,201.5,207.72999572753906,201.32000732421875,206.91000366210938,523965
2022-01-21 11:30:00-05:00,206.91000366210938,206.91000366210938,203.0,203.55499267578125,403921
2022-01-21 12:30:00-05:00,203.52000427246094,204.99000549316406,202.5,202.80999755859375,306977
2022-01-21 13:30:00-05:00,202.7100067138672,203.6199951171875,201.2100067138672,201.22000122070312,237016
2022-01-21 14:30:00-05:00,201.1199951171875,202.25999450683594,199.72999572753906,200.5500030517578,429411
2022-01-21 15:30:00-05:00,200.5500030517578,202.36000061035156,199.0800018310547,199.99000549316406,759617
2022-01-21 16:00:00-05:00,199.95,200.95,198.975,199.87,0
2022-01-21 17:00:00-05:00,200.345,200.82,198.04,199.84,0
2022-01-21 18:00:00-05:00,199.5,199.72,198.0,199.36,0
2022-01-25 14:30:00-05:00,198.9600067138672,199.86000061035156,196.50999450683594,196.7449951171875,2678467
2022-01-25 15:30:00-05:00,196.72000122070312,197.47999572753906,196.16000366210938,196.9600067138672,106582
2022-01-25 16:00:00-05:00,194.77,194.77,194.77,194.77,1068477
2022-01-25 17:00:00-05:00,195.14,197.08,193.78,197.08,0
2022-01-25 18:00:00-05:00,195.2,201.0,194.57,197.5,0
2022-01-26 07:00:00-05:00,200.7,201.8,200.53,200.6,0
2022-01-26 08:00:00-05:00,200.5,202.88,200.5,201.91,0
2022-01-26 09:00:00-05:00,200.53,201.42,199.57,201.42,0
2022-01-26 09:30:00-05:00,201.36500549316406,203.47999572753906,200.35000610351562,202.26499938964844,404481
2022-01-26 10:30:00-05:00,201.96499633789062,202.60000610351562,200.25469970703125,201.98500061035156,161866
2022-01-26 11:30:00-05:00,202.5800018310547,203.27999877929688,202.25,202.58999633789062,298592
2022-01-26 12:30:00-05:00,202.97000122070312,203.9499969482422,202.14500427246094,202.88999938964844,197827
2022-01-26 13:30:00-05:00,203.07000732421875,204.06500244140625,201.27000427246094,201.36000061035156,293384
2022-01-26 14:30:00-05:00,202.55999755859375,202.55999755859375,194.5399932861328,194.5500030517578,488411
2022-01-26 15:30:00-05:00,196.97999572753906,197.04739379882812,194.93499755859375,196.32000732421875,543931
2022-01-26 16:00:00-05:00,196.96,199.0,195.96,199.0,0
2022-01-26 17:00:00-05:00,197.1,197.5,196.9,197.5,0
2022-01-26 18:00:00-05:00,198.35,201.99,198.35,201.99,0
2022-01-27 04:00:00-05:00,198.0,198.0,198.0,198.0,0
2022-01-27 06:00:00-05:00,197.7,197.7,196.97,196.97,0
2022-01-27 07:00:00-05:00,197.37,197.37,196.96,197.01,0
2022-01-27 08:00:00-05:00,198.22,199.01,196.96,198.01,0
2022-01-27 09:00:00-05:00,198.01,202.92,196.96,201.0,0
2022-01-27 09:30:00-05:00,200.87379455566406,201.02000427246094,195.1199951171875,195.1199951171875,368342
2022-01-27 10:30:00-05:00,195.5500030517578,195.77999877929688,192.3699951171875,192.8800048828125,480851
2022-01-27 11:30:00-05:00,193.02000427246094,194.24000549316406,190.27000427246094,191.07000732421875,426218
2022-01-27 12:30:00-05:00,191.1999969482422,191.32000732421875,187.30999755859375,187.58999633789062,473105
2022-01-27 13:30:00-05:00,187.6199951171875,190.6699981689453,186.77000427246094,187.25,438831
2022-01-27 14:30:00-05:00,187.2449951171875,189.00999450683594,186.38999938964844,187.10000610351562,332905
2022-01-27 15:30:00-05:00,187.16000366210938,189.88999938964844,187.14999389648438,187.80999755859375,624584
2022-01-27 16:00:00-05:00,187.89,192.775,185.0,188.03,0
2022-01-27 17:00:00-05:00,187.96,192.775,187.96,189.05,0
2022-01-27 18:00:00-05:00,189.1,222.13292,188.06,188.06,0
2022-01-28 04:00:00-05:00,193.73,193.73,191.89,193.7,0
2022-01-28 05:00:00-05:00,192.9,192.9,187.54,187.8,0
2022-01-28 06:00:00-05:00,187.74,187.74,187.07,187.07,0
2022-01-28 07:00:00-05:00,186.3,186.75,186.3,186.37,0
2022-01-28 08:00:00-05:00,186.42,187.5,185.0,186.0,0
2022-01-28 09:00:00-05:00,186.33,194.99,186.14,190.635,0
2022-01-28 09:30:00-05:00,186.4499969482422,188.57000732421875,180.16000366210938,180.85000610351562,711230
2022-01-28 10:30:00-05:00,180.7899932861328,188.50999450683594,180.30999755859375,185.69000244140625,848153
2022-01-28 11:30:00-05:00,185.77000427246094,187.0850067138672,184.44000244140625,184.5800018310547,521081
2022-01-28 12:30:00-05:00,184.47000122070312,185.9600067138672,184.13999938964844,185.44000244140625,472656
2022-01-28 13:30:00-05:00,185.60000610351562,186.1699981689453,182.2899932861328,182.39999389648438,348560
2022-01-28 14:30:00-05:00,182.34500122070312,185.75999450683594,181.60000610351562,185.56500244140625,507582
2022-01-28 15:30:00-05:00,185.42999267578125,189.52999877929688,184.72999572753906,189.47999572753906,890915
2022-01-28 16:00:00-05:00,189.42,189.45,186.4,189.45,0
2022-01-28 17:00:00-05:00,189.42,189.92,188.825,189.44,0
2022-01-28 18:00:00-05:00,189.45,190.9,189.45,190.4,0
2022-01-31 04:00:00-05:00,190.65,192.34,190.65,192.3,0
2022-01-31 05:00:00-05:00,192.3,192.3,192.1,192.25,0
2022-01-31 06:00:00-05:00,192.25,192.25,190.7,190.7,0
2022-01-31 07:00:00-05:00,192.0,192.0,189.33,190.7,0
2022-01-31 08:00:00-05:00,189.41,190.99,188.0,190.1,0
2022-01-31 09:00:00-05:00,190.54,191.0,188.01,190.97,0
2022-01-31 09:30:00-05:00,190.38999938964844,201.55999755859375,190.0,199.47000122070312,966914
2022-01-31 10:30:00-05:00,199.47999572753906,202.3300018310547,198.69000244140625,199.7100067138672,468710
2022-01-31 11:30:00-05:00,199.8699951171875,200.9600067138672,198.52000427246094,200.69869995117188,448593
2022-01-31 12:30:00-05:00,200.72500610351562,201.27000427246094,199.9199981689453,200.5800018310547,323864
2022-01-31 13:30:00-05:00,200.7100067138672,202.8800048828125,200.08999633789062,202.8800048828125,408965
2022-01-31 14:30:00-05:00,202.75999450683594,204.14999389648438,201.5,202.4199981689453,657848
2022-01-31 15:30:00-05:00,202.38999938964844,205.89999389648438,202.00999450683594,205.44000244140625,1097059
2022-01-31 16:00:00-05:00,205.44,215.0,199.8408,206.89,0
2022-01-31 17:00:00-05:00,206.5,206.83,201.06,203.0,0
2022-01-31 18:00:00-05:00,203.0,206.27,202.5,205.55,0
2022-02-01 04:00:00-05:00,206.5,208.0,206.47,207.01,0
2022-02-01 05:00:00-05:00,207.01,207.01,205.64,207.0,0
2022-02-01 06:00:00-05:00,207.05,207.05,204.97,204.97,0
2022-02-01 07:00:00-05:00,204.99,208.99,204.86,207.64,0
2022-02-01 08:00:00-05:00,207.26,209.9971,205.0,208.5,0
2022-02-01 09:00:00-05:00,209.4199,210.9999,205.44,208.55,0
2022-02-01 09:30:00-05:00,208.99000549316406,210.99000549316406,200.00999450683594,202.91879272460938,1245894
2022-02-01 10:30:00-05:00,203.08999633789062,205.8350067138672,200.57000732421875,204.83999633789062,505862
2022-02-01 11:30:00-05:00,204.87989807128906,207.64999389648438,204.35000610351562,206.50999450683594,362939
2022-02-01 12:30:00-05:00,206.50999450683594,207.9199981689453,205.63499450683594,206.96499633789062,350254
2022-02-01 13:30:00-05:00,206.8800048828125,207.4499969482422,204.2899932861328,204.80999755859375,319247
2022-02-01 14:30:00-05:00,204.9199981689453,207.3800048828125,204.47500610351562,206.97999572753906,294323
2022-02-01 15:30:00-05:00,206.9550018310547,208.875,206.42999267578125,208.27999877929688,582514
2022-02-01 16:00:00-05:00,208.2,209.93,200.63,208.8,0
2022-02-01 17:00:00-05:00,209.4,209.93,208.2,209.31,0
2022-02-01 18:00:00-05:00,209.31,210.0,209.1,209.65,0
2022-02-02 04:00:00-05:00,209.0,210.0,208.61,210.0,0
2022-02-02 05:00:00-05:00,211.0,211.0,210.04,210.04,0
2022-02-02 06:00:00-05:00,211.0,211.05,211.0,211.05,0
2022-02-02 07:00:00-05:00,211.09,212.7,211.01,211.9,0
2022-02-02 08:00:00-05:00,211.94,212.99,208.2,211.49,0
2022-02-02 09:00:00-05:00,212.5,212.8022,208.2,209.11,0
2022-02-02 09:30:00-05:00,209.6300048828125,211.83360290527344,206.24000549316406,207.0,523274
2022-02-02 10:30:00-05:00,206.92999267578125,209.39999389648438,205.68490600585938,208.02000427246094,176528
2022-02-02 11:30:00-05:00,207.9600067138672,210.16000366210938,206.5500030517578,208.39999389648438,178626
2022-02-02 12:30:00-05:00,208.32000732421875,209.85000610351562,208.02000427246094,208.81500244140625,137635
2022-02-02 13:30:00-05:00,208.75,209.16600036621094,207.36500549316406,207.9600067138672,193403
2022-02-02 14:30:00-05:00,207.97999572753906,210.05999755859375,207.97999572753906,209.02999877929688,353076
2022-02-02 15:30:00-05:00,209.05499267578125,210.7100067138672,208.66000366210938,210.41000366210938,549608
2022-02-02 16:00:00-05:00,210.41,211.17,208.0,210.35,0
2022-02-02 17:00:00-05:00,209.17,210.35,209.17,209.83,0
2022-02-02 18:00:00-05:00,209.83,227.54,206.6,206.6,0
2022-02-03 04:00:00-05:00,209.0,209.0,209.0,209.0,0
2022-02-03 05:00:00-05:00,208.86,208.86,205.09,206.9,0
2022-02-03 06:00:00-05:00,206.9,207.2,206.9,207.2,0
2022-02-03 07:00:00-05:00,206.9,207.86,206.9,207.65,0
2022-02-03 08:00:00-05:00,207.65,208.64,206.0,207.25,0
2022-02-03 09:00:00-05:00,207.26,208.07,205.0,207.37,0
2022-02-03 09:30:00-05:00,206.72000122070312,208.79989624023438,202.3000030517578,204.5500030517578,431345
2022-02-03 10:30:00-05:00,204.69500732421875,204.81959533691406,202.22000122070312,202.3249969482422,385386
2022-02-03 11:30:00-05:00,202.34500122070312,202.60499572753906,200.19500732421875,201.4600067138672,503145
2022-02-03 12:30:00-05:00,201.5399932861328,202.33999633789062,200.72000122070312,201.875,199220
2022-02-03 13:30:00-05:00,201.89999389648438,202.4550018310547,200.41000366210938,200.57000732421875,175948
2022-02-03 14:30:00-05:00,200.5500030517578,200.88999938964844,199.0,200.60000610351562,351322
