Date,Open,High,Low,Close,Volume
2020-06-01,37.0099983215332,42.880001068115234,35.0,42.560001373291016,15407700
2020-07-01,43.0,43.2400016784668,34.56999969482422,35.2400016784668,4197500
2020-08-01,35.0,38.4900016784668,30.604999542236328,34.0,3738300
2020-09-01,34.0,34.220001220703125,24.639999389648438,30.8700008392334,6039000
2020-10-01,30.8799991607666,31.329999923706055,25.5,25.8700008392334,4281800
2020-11-01,25.780000686645508,29.989999771118164,25.5,29.729999542236328,4967400
2020-12-01,29.90999984741211,33.18000030517578,26.799999237060547,28.15999984741211,7392800
2021-01-01,28.079999923706055,33.22999954223633,25.190000534057617,25.270000457763672,7444800
2021-02-01,26.219999313354492,29.594999313354492,24.600000381469727,27.18000030517578,7636100
2021-03-01,27.8700008392334,29.184999465942383,23.40999984741211,29.020000457763672,8744600
2021-04-01,29.290000915527344,30.799999237060547,25.399999618530273,30.100000381469727,5599800
2021-05-01,29.899999618530273,40.38999938964844,27.709999084472656,39.369998931884766,14360700
2021-06-01,40.0099983215332,42.0,37.654998779296875,41.04999923706055,10073200
2021-07-01,41.04999923706055,49.4900016784668,37.099998474121094,43.029998779296875,9092800
2021-08-01,43.060001373291016,45.459999084472656,34.85499954223633,38.290000915527344,6733500
2021-09-01,38.08000183105469,51.02000045776367,36.290000915527344,50.560001373291016,8425000
2021-10-01,50.435001373291016,58.0,48.790000915527344,52.5,9832700
2021-11-01,52.0099983215332,57.0,47.04999923706055,51.5099983215332,15243300
2021-12-01,52.83000183105469,52.83000183105469,37.540000915527344,46.61000061035156,20644200
2022-01-01,46.880001068115234,48.72100067138672,34.849998474121094,42.63999938964844,11602500
2022-02-01,42.63999938964844,43.97999954223633,37.709999084472656,37.91999816894531,8012100
2022-02-18,38.560001373291016,39.560001373291016,37.71009826660156,37.91999816894531,275704
