Date,Firm,To Grade,From Grade,Action
2012-02-27 06:00:00,Morgan Stanley,Underweight,,main
2012-04-24 06:49:00,Jefferies,Buy,,main
2012-04-24 07:26:00,Jefferies,Buy,,main
2012-04-25 11:26:00,Barrington Research,Outperform,,main
2012-05-22 06:21:00,Cantor Fitzgerald,Buy,,init
2012-07-20 06:47:00,Jefferies,Buy,,main
2012-10-18 07:34:00,Jefferies,Buy,,main
2012-10-18 08:32:00,Cantor Fitzgerald,Hold,,main
2012-11-08 09:00:00,Stifel Nicolaus,Buy,,init
2012-12-06 10:25:56,Cantor Fitzgerald,Hold,,main
2012-12-11 06:10:23,Goldman Sachs,Neutral,,init
2013-01-03 07:04:13,Morgan Stanley,Equal-Weight,Underperform,up
2013-01-29 16:41:08,Janney Capital,Buy,,init
2013-01-31 07:43:52,Jefferies,Buy,,main
2013-01-31 09:12:28,Stephens & Co.,Overweight,Equal-Weight,up
2013-02-04 08:16:23,Stifel Nicolaus,Buy,,main
2013-05-20 15:56:28,Barrington Research,Market Perform,Outperform,down
2013-05-28 06:56:37,Jefferies,Hold,Buy,down
2013-06-17 08:17:56,Stifel Nicolaus,Buy,,main
2013-07-01 17:04:37,Baird,Outperform,,init
2013-07-10 08:24:55,Stifel Nicolaus,Buy,,main
2013-09-17 09:15:28,Stifel Nicolaus,Buy,,main
2013-10-04 08:50:02,Baird,Neutral,Outperform,down
2013-10-18 07:23:38,Cantor Fitzgerald,Buy,Hold,up
2014-01-29 07:26:01,Stifel Nicolaus,Buy,,main
2014-04-07 06:34:32,Barrington Research,Outperform,Market Perform,up
2014-04-24 01:40:03,Credit Suisse,Neutral,,main
2014-07-25 00:39:29,Jefferies,Hold,,main
2014-10-20 08:00:00,Goldman Sachs,Buy,Neutral,up
2014-10-20 10:14:14,Credit Suisse,Outperform,Neutral,up
2015-01-02 00:00:00,Baird,Outperform,Neutral,up
2015-01-30 05:50:33,JMP Securities,Market Perform,Market Outperform,down
2015-01-30 09:00:00,Jefferies,Buy,,main
2015-04-21 04:24:31,Morgan Stanley,Overweight,Equal-Weight,up
2015-07-24 11:00:00,Stifel Nicolaus,Buy,,main
2015-10-23 12:54:04,Jefferies,Buy,,main
2015-11-18 09:11:45,PiperJaffray,Overweight,,init
2016-03-23 04:19:12,Roth Capital,Buy,,main
2016-05-11 06:19:42,Credit Suisse,Outperform,,init
2016-07-28 11:59:44,Stifel Nicolaus,Buy,,main
2016-10-03 10:45:08,Baird,Neutral,Overweight,down
2016-11-28 17:42:33,Stifel Nicolaus,Buy,,main
2017-04-28 12:21:03,Baird,Outperform,Neutral,up
2017-07-17 16:49:23,Morgan Stanley,Overweight,,main
2017-07-28 14:20:42,Bank of America,Buy,Neutral,up
2017-07-28 14:29:57,Leerink Swann,Outperform,,main
2017-10-06 15:48:14,Morgan Stanley,Overweight,,main
2017-10-23 13:27:06,Stifel Nicolaus,Buy,,main
2017-10-27 12:08:34,Stifel Nicolaus,Buy,,main
2017-10-27 17:00:23,Credit Suisse,Outperform,,main
2017-12-08 13:52:02,Deutsche Bank,Hold,,init
2018-01-19 16:22:38,Stephens & Co.,Equal-Weight,Overweight,down
2018-01-30 12:11:25,Stifel Nicolaus,Buy,Buy,main
2018-01-31 13:37:02,Leerink Swann,Outperform,Outperform,main
2018-01-31 14:42:55,Credit Suisse,Outperform,Outperform,main
2018-03-08 13:28:33,Barclays,Overweight,,init
2018-04-19 11:17:24,Morgan Stanley,Equal-Weight,Overweight,down
2018-04-20 11:40:46,Berenberg,Buy,,init
2018-04-26 11:48:32,Stifel Nicolaus,Buy,Buy,main
2018-04-26 12:50:14,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-04-26 13:12:13,Barclays,Overweight,Overweight,main
2018-04-26 13:44:23,Credit Suisse,Outperform,Outperform,main
2018-05-17 11:16:39,Evercore ISI Group,Outperform,,init
2018-05-21 12:40:58,Barclays,Overweight,Overweight,main
2018-05-22 11:15:13,Stifel Nicolaus,Buy,Buy,main
2018-05-24 11:56:35,Leerink Swann,Outperform,Outperform,main
2018-05-24 13:48:36,PiperJaffray,Overweight,Overweight,main
2018-05-25 15:29:16,Credit Suisse,Outperform,Outperform,main
2018-07-13 11:27:14,Stifel Nicolaus,Buy,Buy,main
2018-07-13 11:34:20,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-26 11:32:51,Stifel Nicolaus,Buy,Buy,main
2018-07-26 13:08:34,Credit Suisse,Outperform,Outperform,main
2018-10-09 11:34:38,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-25 15:28:48,Baird,Outperform,Outperform,main
2018-10-25 16:33:29,Credit Suisse,Outperform,Outperform,main
