Date,Firm,To Grade,From Grade,Action
2019-05-29 11:45:05,First Analysis,Outperform,Neutral,up
2019-06-26 12:00:38,Susquehanna,Positive,,init
2019-07-15 12:20:49,Morgan Stanley,Overweight,,init
2019-07-16 12:13:37,Morgan Stanley,Overweight,,init
2019-09-20 10:26:24,First Analysis,Strong Buy,Outperform,up
2019-10-16 16:49:35,Morgan Stanley,Overweight,,main
2019-11-07 14:27:37,Morgan Stanley,Overweight,,main
2019-12-20 12:13:20,Needham,Buy,,init
2020-02-06 11:53:36,Needham,Buy,,main
2020-02-11 11:25:32,Stephens & Co.,Overweight,,main
2020-03-11 11:47:46,Stephens & Co.,Overweight,,main
2020-03-25 19:06:57,Morgan Stanley,Overweight,,main
2020-04-27 11:36:53,Needham,Buy,,main
2020-05-22 09:40:18,Needham,Buy,,main
2020-05-22 12:22:08,Morgan Stanley,Overweight,,main
2020-06-24 10:38:34,Needham,Buy,,main
2020-07-09 13:53:16,Craig-Hallum,Buy,,init
2020-08-11 09:35:36,Needham,Buy,,main
2020-08-11 13:11:40,Morgan Stanley,Overweight,,main
2020-11-10 11:36:26,Needham,Buy,,main
2020-11-17 14:08:32,Morgan Stanley,Overweight,,main
2021-02-09 11:03:59,Needham,Buy,,main
2021-02-09 13:58:30,Morgan Stanley,Overweight,,main
2021-02-09 16:31:22,Susquehanna,Positive,,main
2021-02-09 17:03:44,Craig-Hallum,Buy,,main
2021-03-04 12:22:01,BMO Capital,Market Perform,Outperform,down
2021-05-26 10:07:44,Needham,Buy,,main
2021-05-26 12:38:31,Craig-Hallum,Buy,,main
2021-11-03 10:58:53,Needham,Buy,,main
2021-12-16 14:25:54,Morgan Stanley,Overweight,,main
2022-02-10 13:25:52,Wells Fargo,Overweight,,main
2022-02-10 13:35:53,Morgan Stanley,Overweight,,main
