Date,Firm,To Grade,From Grade,Action
2013-08-07 09:48:54,Craig-Hallum,Buy,Hold,up
2013-09-20 11:45:03,Baird,Outperform,Neutral,up
2014-04-29 23:01:25,Leerink Swann,Market Perform,,main
2015-10-29 09:26:04,Stephens & Co.,Equal-Weight,Overweight,down
2016-02-03 14:57:53,Baird,Outperform,,main
2016-05-03 11:52:21,Janney Capital,Buy,Neutral,up
2016-08-18 13:22:51,Baird,Outperform,,main
2017-01-18 14:25:31,Deutsche Bank,Buy,,init
2017-02-09 15:17:35,Citigroup,Buy,,init
2017-03-27 17:41:11,Janney Capital,Neutral,,down
2017-07-13 11:41:07,Wells Fargo,Market Perform,,init
2017-08-09 14:52:25,Deutsche Bank,Buy,,main
2017-10-24 14:10:33,Citigroup,Buy,,main
2018-02-07 17:12:16,Baird,Outperform,Outperform,main
2018-03-01 17:08:09,Deutsche Bank,Buy,Buy,main
2018-05-03 12:48:18,Deutsche Bank,Buy,Buy,main
2018-06-15 11:48:26,Argus,Buy,,init
2018-06-27 12:34:45,Deutsche Bank,Hold,Buy,down
2018-08-09 12:54:47,Citigroup,Buy,Buy,main
2018-10-02 11:44:38,Argus,Buy,Buy,main
2018-10-17 10:14:27,Goldman Sachs,Neutral,,init
2018-10-31 12:41:09,Craig-Hallum,Hold,Buy,down
2019-01-14 13:55:57,Stephens & Co.,Overweight,Equal-Weight,up
2019-07-02 11:27:07,Janney Capital,Buy,Neutral,up
2019-11-15 11:48:55,Stifel Nicolaus,Buy,,init
2020-01-07 12:01:00,Citigroup,Neutral,,init
2020-01-08 14:22:11,Wells Fargo,Equal-Weight,,init
2020-02-05 12:46:25,Citigroup,Neutral,,main
2020-02-05 14:08:33,Baird,Outperform,,main
2020-03-20 13:41:24,Citigroup,Neutral,,main
2020-03-30 14:37:29,Wells Fargo,Equal-Weight,,main
2020-04-02 19:41:47,Stifel,Buy,,main
2020-04-20 17:34:45,Citigroup,Neutral,,main
2020-05-01 12:32:48,Stifel,Buy,,main
2020-05-01 13:24:06,Wells Fargo,Equal-Weight,,main
2020-05-01 15:43:21,Stephens & Co.,Overweight,,main
2020-05-14 12:05:29,Benchmark,Buy,,init
2020-05-27 10:22:29,Stifel,Hold,Buy,down
2020-06-18 11:32:54,Citigroup,Neutral,,main
2020-07-15 16:28:19,Stephens & Co.,Equal-Weight,Overweight,down
2020-08-05 09:02:40,SVB Leerink,Outperform,,main
2020-09-30 11:23:18,Atlantic Equities,Overweight,,init
2020-11-06 10:28:31,SVB Leerink,Outperform,,main
2020-11-10 09:26:32,KeyBanc,Sector Weight,,init
2021-02-03 16:50:38,Craig-Hallum,Buy,,main
2021-02-03 18:30:47,Citigroup,Neutral,,main
2021-02-23 11:01:39,Stifel,Buy,Hold,up
2021-03-08 14:52:45,Stephens & Co.,Overweight,Equal-Weight,up
2021-06-18 12:08:02,Argus Research,Buy,,main
2021-06-29 10:36:30,SVB Leerink,Outperform,,main
2021-09-15 08:30:05,Keybanc,Overweight,Sector Weight,up
2022-02-02 10:34:24,SVB Leerink,Outperform,,main
