Date,Firm,To Grade,From Grade,Action
2014-05-27 07:37:43,Cowen & Co.,Outperform,,init
2014-05-27 07:39:29,Mizuho,Buy,,init
2014-05-27 07:39:30,Deutsche Bank,Buy,,init
2014-05-27 09:14:49,Morgan Stanley,Overweight,,init
2014-05-28 10:03:58,William Blair,Outperform,,init
2014-05-29 06:11:44,Bernstein,Outperform,,init
2014-08-08 16:00:00,Jefferies,Buy,,main
2014-09-02 09:40:43,Rhino Trading,Buy,,init
2014-09-05 06:07:16,Oppenheimer,Outperform,,init
2015-02-19 09:00:00,Deutsche Bank,Buy,,main
2015-02-23 09:00:00,Jefferies,Buy,,main
2015-05-06 09:00:00,Deutsche Bank,Buy,,main
2016-03-31 06:56:57,Pacific Crest,Overweight,,init
2016-04-12 16:35:30,Sterne Agee CRT,Buy,,init
2016-04-13 07:58:47,Sterne Agee CRT,Buy,,init
2016-06-01 07:40:47,SunTrust Robinson Humphrey,Buy,Neutral,up
2016-08-03 13:39:27,KeyBanc,Overweight,,main
2016-10-04 08:08:31,Goldman Sachs,Buy,,main
2017-02-14 14:04:09,Bank of America,Neutral,Buy,down
2017-04-06 13:37:13,Morgan Stanley,Equal-Weight,Overweight,down
2017-08-07 11:35:55,Bank of America,Underperform,Neutral,down
2017-09-11 12:37:42,Goldman Sachs,Neutral,Buy,down
2017-10-25 11:04:46,KeyBanc,Sector Weight,Overweight,down
2018-01-05 11:34:15,Evercore ISI Group,Underperform,Outperform,down
2018-02-26 13:15:11,Deutsche Bank,Buy,Buy,main
2018-04-19 10:05:04,Imperial Capital,Outperform,,init
2018-05-02 14:12:03,Oppenheimer,Outperform,Outperform,main
2018-05-02 14:23:05,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-15 12:25:17,Bank of America,Buy,Neutral,up
2018-06-06 11:47:11,Deutsche Bank,Buy,Buy,main
2018-08-01 12:08:23,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-31 16:53:16,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-12-13 14:51:58,Deutsche Bank,Hold,Buy,down
2019-01-14 14:09:48,Berenberg,Sell,,init
2019-02-14 13:00:58,Bernstein,Market Perform,Outperform,down
2019-05-01 10:25:06,William Blair,Market Perform,Outperform,down
2019-05-01 11:46:08,Bank of America,Buy,Neutral,up
2019-06-07 10:24:43,Mizuho,Buy,,init
2019-06-19 10:40:47,Goldman Sachs,Sell,Neutral,down
2020-02-27 15:52:32,Deutsche Bank,Hold,,main
2020-02-28 12:25:49,Mizuho,Buy,,main
2020-03-23 11:40:51,Mizuho,Underperform,Buy,down
2020-05-11 10:20:19,Bernstein,Outperform,Market Perform,up
2020-05-11 13:37:18,Morgan Stanley,Equal-Weight,,main
2020-05-12 16:42:16,CFRA,Hold,,main
2020-12-16 13:41:40,Mizuho,Neutral,Underperform,up
2020-12-17 13:41:40,Morgan Stanley,Overweight,Equal-Weight,up
2021-02-19 10:47:44,Deutsche Bank,Buy,Hold,up
2021-03-16 10:25:35,Morgan Stanley,Equal-Weight,Overweight,down
2021-05-05 12:44:38,Morgan Stanley,Equal-Weight,,main
2021-06-24 11:44:01,Morgan Stanley,Equal-Weight,,main
2021-08-04 13:50:05,Morgan Stanley,Equal-Weight,,main
2022-01-28 13:40:28,Morgan Stanley,Equal-Weight,,main
2022-02-16 13:46:12,Morgan Stanley,Equal-Weight,,main
2022-02-16 14:27:04,Mizuho,Neutral,,main
