Date,Firm,To Grade,From Grade,Action
2012-07-12 05:52:00,Citigroup,Neutral,,main
2012-07-16 05:55:00,Morgan Stanley,Overweight,Equal-Weight,up
2012-09-05 06:52:00,Citigroup,Neutral,,main
2012-09-10 07:02:00,JP Morgan,Neutral,,main
2012-09-24 08:19:00,Jefferies,Buy,,main
2012-10-24 07:32:00,Deutsche Bank,Hold,,main
2012-10-24 09:56:00,Jefferies,Buy,,main
2012-11-09 08:03:00,Nomura,Neutral,Reduce,up
2012-12-13 08:12:49,Deutsche Bank,Hold,,main
2012-12-14 10:00:04,JP Morgan,Neutral,,main
2013-01-03 08:16:59,Jefferies,Buy,,main
2013-01-11 06:42:16,JP Morgan,Underweight,Neutral,down
2013-01-25 07:48:50,Credit Suisse,Neutral,,main
2013-01-25 07:59:31,Deutsche Bank,Hold,,main
2013-01-29 12:28:48,UBS,Buy,,main
2013-03-06 13:37:48,Tigress Financial,Buy,,init
2013-03-18 06:29:39,Citigroup,Neutral,,main
2013-03-18 08:01:22,Morgan Stanley,Overweight,,main
2013-06-07 16:10:10,Jefferies,Buy,,main
2013-06-10 07:34:59,Jefferies,Buy,,main
2013-07-01 06:44:31,Morgan Stanley,Equal-Weight,Overweight,down
2013-07-26 07:48:31,Nomura,Neutral,,main
2013-08-05 07:39:02,Deutsche Bank,Hold,,main
2013-10-25 07:50:43,Nomura,Neutral,,main
2013-10-25 17:31:06,FBR Capital,Outperform,,main
2013-12-02 06:33:37,Morgan Stanley,Underweight,Equal-weight,down
2013-12-11 16:00:00,Nomura,Buy,Neutral,up
2013-12-18 06:36:00,Bank of America,Buy,,main
2013-12-18 07:22:21,Citigroup,Neutral,,main
2013-12-18 17:33:46,Barclays,Equal-Weight,,main
2013-12-19 17:32:56,Hilliard Lyons,Long-Term Buy,,main
2013-12-20 16:00:00,JP Morgan,Neutral,Underweight,up
2013-12-26 16:00:00,Ladenburg Thalmann,Hold,,main
2014-02-25 17:28:53,Bernstein,Market Perform,,main
2014-02-25 17:29:43,William Blair,Market Perform,,main
2014-04-25 00:03:39,Deutsche Bank,Hold,,main
2014-07-08 08:17:55,Argus Capital,Buy,Hold,up
2014-07-25 00:22:26,Deutsche Bank,Hold,,main
2014-07-25 20:44:55,Citigroup,Neutral,,main
2014-09-17 17:48:56,Stifel,Hold,,init
2014-10-02 08:00:00,Morgan Stanley,Underweight,,main
2014-10-06 09:00:00,Barclays,Equal-Weight,,main
2014-10-24 09:00:00,Credit Suisse,Neutral,,main
2014-11-25 00:00:00,RBC Capital,Underperform,,init
2014-12-17 00:00:00,Bank of America,Buy,,main
