Date,Firm,To Grade,From Grade,Action
2012-04-10 06:01:00,Jefferies,Hold,,down
2012-04-16 09:56:00,Brean Capital,Buy,,main
2012-04-16 12:58:00,Oppenheimer,Outperform,,main
2012-04-17 06:23:00,Jefferies,Hold,,main
2012-04-17 06:58:00,Wedbush,Outperform,,main
2012-08-02 05:47:00,Jefferies,Underperform,Hold,down
2012-08-02 12:31:00,Barclays,Overweight,,main
2012-09-21 14:51:00,Jefferies,Underperform,,main
2012-09-24 06:36:00,Jefferies,Underperform,,main
2012-09-24 13:07:00,Barclays,Overweight,,main
2012-09-27 11:14:00,UBS,Neutral,,init
2012-10-08 13:28:00,Wedbush,Outperform,,main
2012-11-09 13:54:00,Barclays,Overweight,,main
2013-01-14 07:52:15,BMO Capital,Outperform,Market Perform,up
2013-01-30 14:15:06,Wedbush,Neutral,Outperform,down
2013-02-01 08:35:27,BMO Capital,Outperform,,main
2013-05-01 10:14:54,UBS,Neutral,,main
2013-05-14 16:10:08,PiperJaffray,Overweight,,init
2013-08-02 08:06:29,Barclays,Equal-Weight,Overweight,down
2014-04-15 08:00:00,Citigroup,Buy,,init
2014-06-11 16:28:48,UBS,Buy,Neutral,up
2014-07-11 07:30:32,JP Morgan,Outperform,,init
2014-09-15 09:00:00,Jefferies,Underperform,,main
2014-12-09 09:00:00,JP Morgan,Overweight,,main
2014-12-24 05:28:41,MLV & Co.,Buy,,init
2015-01-08 09:00:00,JP Morgan,Overweight,,main
2015-03-03 09:00:00,BMO Capital,Outperform,,main
2015-06-04 09:00:00,JMP Securities,Market Outperform,,main
2015-08-11 10:10:19,JMP Securities,Market Outperform,,main
2015-09-22 04:30:16,Barclays,Overweight,,init
2015-11-18 09:18:48,Citigroup,Buy,,init
2016-02-01 07:54:42,Canaccord Genuity,Buy,,init
2016-02-24 05:23:20,Barclays,Overweight,,main
2016-03-09 12:54:19,JMP Securities,Market Outperform,,main
2016-09-16 08:30:50,PiperJaffray,Overweight,,main
2016-11-03 10:05:47,Deutsche Bank,Buy,,init
2017-04-17 17:22:14,BMO Capital,Market Perform,,init
2017-09-15 15:18:08,BMO Capital,Market Perform,,main
2017-11-08 14:06:35,BMO Capital,Market Perform,,main
2017-11-08 18:19:59,Canaccord Genuity,Buy,,main
2018-01-24 13:28:10,Goldman Sachs,Neutral,,init
2018-02-21 13:47:08,JP Morgan,Overweight,Overweight,main
2018-02-22 13:06:18,BMO Capital,Market Perform,Market Perform,main
2018-05-11 11:20:44,Barclays,Underweight,Equal-Weight,down
2018-08-08 12:36:38,BMO Capital,Market Perform,Market Perform,main
2018-08-23 14:12:11,Cantor Fitzgerald,Overweight,,init
2019-11-05 11:37:49,Barclays,Equal-Weight,Underweight,up
2019-11-13 13:24:18,JP Morgan,Overweight,,main
2019-11-13 14:00:55,BMO Capital,Market Perform,,main
2019-11-20 12:28:33,Cantor Fitzgerald,Overweight,,reit
2020-01-08 11:45:26,Goldman Sachs,Buy,,init
2020-01-09 14:09:00,BMO Capital,Outperform,Market Perform,up
2020-01-27 12:35:36,Cantor Fitzgerald,Overweight,,main
2020-02-05 10:27:09,Piper Sandler,Overweight,Neutral,up
2020-02-25 13:40:15,JP Morgan,Overweight,,main
2020-02-25 16:40:41,Barclays,Equal-Weight,,main
2020-05-04 10:43:06,Cantor Fitzgerald,Overweight,,reit
2020-05-12 14:36:33,BMO Capital,Outperform,,main
2020-05-12 14:43:05,JP Morgan,Overweight,,main
2020-05-12 15:31:28,JMP Securities,Market Outperform,,main
2020-05-19 15:41:18,Canaccord Genuity,Buy,,main
2020-06-15 11:47:43,Citigroup,Neutral,,main
2020-07-01 12:25:47,Benchmark,Buy,,init
2020-07-02 13:40:07,Piper Sandler,Overweight,,main
2020-11-16 16:53:29,Wells Fargo,Overweight,,main
2020-12-17 14:54:55,Berenberg,Buy,,init
2021-05-11 11:30:04,Piper Sandler,Neutral,Overweight,down
2021-05-17 12:05:16,SVB Leerink,Outperform,,init
2021-06-14 12:49:52,Evercore ISI Group,Outperform,,init
2021-11-03 11:34:16,SVB Leerink,Outperform,,main
2021-11-03 11:52:56,JMP Securities,Market Outperform,,main
2021-11-24 12:33:40,Wells Fargo,Overweight,,main
