contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
YETI220211P00055000,55.0,USD,0.1,-0.15,-60.000004,1.0,101,0.0,0.2,REGULAR,2022-02-11,2022-02-07 17:57:12,0.88476677734375,False
YETI220211P00057500,57.5,USD,0.2,0.0,0.0,102.0,102,0.05,0.2,REGULAR,2022-02-11,2022-02-04 17:01:07,0.73437765625,False
YETI220211P00059000,59.0,USD,0.15,-0.19,-55.88235,1.0,26,0.1,0.2,REGULAR,2022-02-11,2022-02-07 14:44:45,0.648441015625,False
YETI220211P00060000,60.0,USD,0.2,-0.2,-50.0,5.0,530,0.15,0.35,REGULAR,2022-02-11,2022-02-07 19:52:44,0.6533237792968751,False
YETI220211P00061000,61.0,USD,0.56,0.0,0.0,1.0,29,0.25,0.35,REGULAR,2022-02-11,2022-02-04 17:03:50,0.6005899316406251,False
YETI220211P00061500,61.5,USD,1.0,0.0,0.0,2.0,8,0.25,0.5,REGULAR,2022-02-11,2022-02-03 18:30:15,0.5996133789062501,False
YETI220211P00062000,62.0,USD,0.31,-0.64,-67.368416,1.0,3,0.35,0.5,REGULAR,2022-02-11,2022-02-07 19:05:52,0.57812921875,False
YETI220211P00062500,62.5,USD,0.6,-0.26999998,-31.034481,1.0,18,0.4,0.55,REGULAR,2022-02-11,2022-02-07 16:19:06,0.5537154003906251,False
YETI220211P00063000,63.0,USD,0.53,-0.27000004,-33.750004,8.0,17,0.5,0.65,REGULAR,2022-02-11,2022-02-07 19:19:14,0.5468795312500001,False
YETI220211P00064000,64.0,USD,0.72,-1.0799999,-59.999996,4.0,14,0.75,0.95,REGULAR,2022-02-11,2022-02-07 20:44:37,0.5419967675781252,False
YETI220211P00065000,65.0,USD,1.0,-0.47000003,-31.97279,12.0,24,1.1,1.3,REGULAR,2022-02-11,2022-02-07 20:26:56,0.5336960693359375,False
YETI220211P00066000,66.0,USD,1.36,-0.64,-32.0,6.0,31,1.45,1.8,REGULAR,2022-02-11,2022-02-07 20:25:55,0.5195360546875,True
YETI220211P00067000,67.0,USD,1.92,-0.42999995,-18.29787,20.0,13,2.05,2.3,REGULAR,2022-02-11,2022-02-07 20:44:37,0.5141650146484374,True
YETI220211P00068000,68.0,USD,3.1,0.0,0.0,1.0,31,2.65,3.0,REGULAR,2022-02-11,2022-02-04 18:10:44,0.5097705273437501,True
YETI220211P00069000,69.0,USD,5.85,0.0,0.0,1.0,20,3.3,3.8,REGULAR,2022-02-11,2022-01-31 16:34:26,0.5009815527343751,True
YETI220211P00070000,70.0,USD,4.25,-0.3499999,-7.608694,10.0,26,3.6,4.7,REGULAR,2022-02-11,2022-02-07 18:29:06,0.6543003320312502,True
YETI220211P00071000,71.0,USD,2.35,0.0,0.0,10.0,10,5.0,5.5,REGULAR,2022-02-11,2022-01-11 19:18:21,0.5019581054687501,True
YETI220211P00072000,72.0,USD,4.85,0.0,0.0,2.0,3,4.5,7.8,REGULAR,2022-02-11,2022-02-01 20:44:08,1.2695349023437497,True
YETI220211P00073000,73.0,USD,7.0,0.0,0.0,4.0,7,6.2,7.9,REGULAR,2022-02-11,2022-02-01 16:28:00,0.9941406835937501,True
YETI220211P00074000,74.0,USD,13.1,0.0,0.0,2.0,2,6.2,9.6,REGULAR,2022-02-11,2022-01-28 17:02:35,1.3706086157226562,True
YETI220211P00075000,75.0,USD,9.73,0.0,0.0,1.0,174,8.3,9.4,REGULAR,2022-02-11,2022-02-03 16:33:20,0.86914193359375,True
YETI220211P00076000,76.0,USD,10.0,3.1999998,47.058823,2.0,3,9.2,10.4,REGULAR,2022-02-11,2022-02-07 17:27:11,0.93164130859375,True
YETI220211P00077000,77.0,USD,13.0,0.0,0.0,4.0,4,9.7,12.1,REGULAR,2022-02-11,2022-02-03 20:39:57,1.3876983740234374,True
YETI220211P00078000,78.0,USD,12.53,-0.15000057,-1.1829698,2.0,8,10.9,12.6,REGULAR,2022-02-11,2022-02-07 17:00:50,1.1875040625,True
YETI220211P00079000,79.0,USD,13.71,0.0,0.0,1.0,6,11.8,14.1,REGULAR,2022-02-11,2022-02-04 18:13:23,1.5263695556640622,True
YETI220211P00080000,80.0,USD,15.05,0.0,0.0,10.0,16,12.7,15.1,REGULAR,2022-02-11,2022-02-04 17:41:19,1.5927754736328121,True
YETI220211P00085000,85.0,USD,19.98,0.0,0.0,17.0,19,17.7,20.2,REGULAR,2022-02-11,2022-02-04 17:37:41,1.955078349609375,True
YETI220211P00087000,87.0,USD,16.2,0.0,0.0,,2,19.0,22.8,REGULAR,2022-02-11,2022-01-20 14:41:26,2.373050942382812,True
YETI220211P00092000,92.0,USD,26.6,0.0,0.0,2.0,0,24.0,27.8,REGULAR,2022-02-11,2022-02-03 16:38:13,2.658206479492188,True
