contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
NTAP220211P00050000,50.0,USD,0.07,0.0,0.0,234,0.0,0.05,REGULAR,2022-02-11,2022-01-27 15:27:44,1.875000625,False,
NTAP220211P00070000,70.0,USD,0.35,0.0,0.0,11,0.0,0.2,REGULAR,2022-02-11,2022-01-10 14:46:18,0.9941406835937501,False,
NTAP220211P00078000,78.0,USD,0.12,0.019999996,19.999996,1,0.0,0.25,REGULAR,2022-02-11,2022-02-07 14:37:48,0.5937540625000001,False,5.0
NTAP220211P00080000,80.0,USD,1.74,0.0,0.0,12,0.05,2.1,REGULAR,2022-02-11,2022-01-24 15:01:29,0.92773509765625,False,
NTAP220211P00082000,82.0,USD,0.52,0.0,0.0,25,0.1,0.25,REGULAR,2022-02-11,2022-02-04 16:14:38,0.44922425781249997,False,2.0
NTAP220211P00083000,83.0,USD,0.2,-0.21,-51.219513,15,0.2,0.35,REGULAR,2022-02-11,2022-02-07 20:28:17,0.42969320312500003,False,10.0
NTAP220211P00084000,84.0,USD,0.4,-0.4,-50.0,3,0.3,0.4,REGULAR,2022-02-11,2022-02-07 17:50:43,0.379889013671875,False,13.0
NTAP220211P00085000,85.0,USD,0.5,-0.17000002,-25.373137,15,0.5,0.65,REGULAR,2022-02-11,2022-02-07 15:40:40,0.383795224609375,False,12.0
NTAP220211P00086000,86.0,USD,0.75,0.060000002,8.695652,279,0.7,0.9,REGULAR,2022-02-11,2022-02-07 14:57:54,0.3632876171875,False,6.0
NTAP220211P00087000,87.0,USD,1.15,0.049999952,4.54545,118,1.05,1.3,REGULAR,2022-02-11,2022-02-07 14:33:27,0.358404853515625,False,2.0
NTAP220211P00088000,88.0,USD,1.55,-0.05000007,-3.1250045,70,1.5,2.2,REGULAR,2022-02-11,2022-02-07 18:17:39,0.45117736328125,True,7.0
NTAP220211P00089000,89.0,USD,2.0,0.049999952,2.5641,37,2.2,2.95,REGULAR,2022-02-11,2022-02-07 14:57:08,0.48730981445312505,True,10.0
NTAP220211P00090000,90.0,USD,2.67,0.0,0.0,87,1.55,3.8,REGULAR,2022-02-11,2022-02-04 20:55:11,0.5346726220703125,True,65.0
NTAP220211P00091000,91.0,USD,3.4,0.26,8.280254,12,2.5,4.1,REGULAR,2022-02-11,2022-02-07 20:10:56,0.398443515625,True,1.0
NTAP220211P00092000,92.0,USD,4.25,0.0,0.0,35,3.4,5.4,REGULAR,2022-02-11,2022-02-04 19:56:53,0.5659223095703125,True,13.0
NTAP220211P00093000,93.0,USD,4.73,0.0,0.0,32,4.1,7.2,REGULAR,2022-02-11,2022-02-03 20:08:23,0.877930908203125,True,6.0
NTAP220211P00094000,94.0,USD,6.09,0.0,0.0,9,5.2,8.0,REGULAR,2022-02-11,2022-02-03 20:56:29,0.8891612646484374,True,9.0
NTAP220211P00095000,95.0,USD,8.2,0.0,0.0,16,6.9,9.1,REGULAR,2022-02-11,2022-02-04 16:00:35,0.585941640625,True,2.0
NTAP220211P00097000,97.0,USD,10.5,0.0,0.0,10,8.5,11.0,REGULAR,2022-02-11,2022-02-01 16:18:22,0.5019581054687501,True,4.0
NTAP220211P00115000,115.0,USD,29.18,0.0,0.0,3,26.0,29.1,REGULAR,2022-02-11,2022-01-31 14:41:21,2.022954161376953,True,
