contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
RAMP220218C00022500,22.5,USD,27.5,0.0,0.0,5,23.5,27.8,REGULAR,2022-02-18,2021-11-10 11:55:34,5.5410186987304675,True,
RAMP220218C00025000,25.0,USD,27.6,0.0,0.0,5,22.5,24.5,REGULAR,2022-02-18,2021-10-28 19:20:09,5.122073909912109,True,5.0
RAMP220218C00030000,30.0,USD,21.4,0.0,0.0,10,17.8,21.2,REGULAR,2022-02-18,2021-11-10 11:55:34,4.507816865234375,True,5.0
RAMP220218C00035000,35.0,USD,11.8,0.0,0.0,134,11.2,13.4,REGULAR,2022-02-18,2021-12-16 17:20:18,2.4834022290039064,True,130.0
RAMP220218C00040000,40.0,USD,9.5,0.0,0.0,20,7.0,8.8,REGULAR,2022-02-18,2021-12-27 20:24:48,1.919922275390625,True,4.0
RAMP220218C00045000,45.0,USD,4.7,0.0,0.0,122,4.2,5.2,REGULAR,2022-02-18,2021-12-15 16:34:44,1.673829755859375,False,10.0
RAMP220218C00050000,50.0,USD,2.35,-1.8000002,-43.373497,127,2.05,2.25,REGULAR,2022-02-18,2022-01-05 19:25:05,1.3979522290039061,False,12.0
RAMP220218C00055000,55.0,USD,1.11,-1.0400001,-48.372097,162,0.85,1.05,REGULAR,2022-02-18,2022-01-05 19:33:25,1.3173862255859374,False,3.0
RAMP220218C00060000,60.0,USD,0.59,-0.45999998,-43.809525,914,0.35,0.5,REGULAR,2022-02-18,2022-01-05 17:44:38,1.3046909765624997,False,5.0
RAMP220218C00065000,65.0,USD,1.5,0.0,0.0,29,0.35,0.6,REGULAR,2022-02-18,2021-11-22 19:52:01,1.5898458007812497,False,5.0
RAMP220218C00070000,70.0,USD,0.25,0.0,0.0,10,0.0,0.0,REGULAR,2022-02-18,2022-01-03 15:54:36,0.500005,False,3.0
RAMP220218C00075000,75.0,USD,1.3,0.0,0.0,1,0.0,1.8,REGULAR,2022-02-18,2021-11-03 16:04:21,2.3320354199218745,False,
RAMP220218C00080000,80.0,USD,0.52,0.0,0.0,2,0.0,0.75,REGULAR,2022-02-18,2021-11-08 19:32:42,2.0859422851562495,False,1.0
