contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
KNBE220218C00012500,12.5,USD,10.79,0.0,0.0,2,0,0.0,0.0,REGULAR,2022-02-18,2021-10-22 19:44:34,1.0000000000000003e-05,True
KNBE220218C00015000,15.0,USD,12.0,0.0,0.0,1,26,7.4,7.9,REGULAR,2022-02-18,2021-11-04 18:14:41,1.0000000000000003e-05,True
KNBE220218C00017500,17.5,USD,8.1,0.0,0.0,1,20,6.1,6.6,REGULAR,2022-02-18,2021-11-17 14:56:46,1.0000000000000003e-05,True
KNBE220218C00020000,20.0,USD,4.4,0.0,0.0,17,26,2.9,3.4,REGULAR,2022-02-18,2021-12-16 19:04:59,1.0000000000000003e-05,True
KNBE220218C00022500,22.5,USD,1.4,0.0,0.0,1,46,1.4,2.15,REGULAR,2022-02-18,2022-01-04 16:47:28,0.700198310546875,True
KNBE220218C00025000,25.0,USD,0.85,-0.049999952,-5.5555506,4,80,0.0,1.0,REGULAR,2022-02-18,2022-01-05 16:10:35,0.5127001855468749,False
KNBE220218C00030000,30.0,USD,0.15,0.0,0.0,1,234,0.1,0.2,REGULAR,2022-02-18,2022-01-04 16:44:51,0.92187578125,False
KNBE220218C00035000,35.0,USD,0.15,0.0,0.0,1,57,0.0,0.0,REGULAR,2022-02-18,2021-12-29 20:16:32,0.500005,False
KNBE220218C00040000,40.0,USD,1.3,0.0,0.0,6,50,0.2,0.4,REGULAR,2022-02-18,2021-11-11 15:03:12,2.0175830810546875,False
KNBE220218C00045000,45.0,USD,0.15,0.0,0.0,1,1026,0.0,0.1,REGULAR,2022-02-18,2021-12-22 17:00:58,1.7265638671875,False
