contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
ICUI220218C00145000,145.0,USD,120.6,0.0,0.0,1,77.8,81.3,REGULAR,2022-02-18,2021-11-10 11:54:01,2.3144573388671867,True,
ICUI220218C00150000,150.0,USD,127.1,0.0,0.0,1,73.0,78.0,REGULAR,2022-02-18,2021-11-10 11:54:01,2.308842118530273,True,
ICUI220218C00155000,155.0,USD,126.0,0.0,0.0,4,68.5,73.0,REGULAR,2022-02-18,2021-11-10 11:54:01,2.1975142718505856,True,
ICUI220218C00160000,160.0,USD,116.6,0.0,0.0,1,62.0,66.8,REGULAR,2022-02-18,2021-11-10 11:54:01,1.876953740234375,True,
ICUI220218C00170000,170.0,USD,111.1,0.0,0.0,1,53.6,58.5,REGULAR,2022-02-18,2021-11-10 11:54:01,1.8129892163085937,True,
ICUI220218C00185000,185.0,USD,79.2,0.0,0.0,4,39.0,44.3,REGULAR,2022-02-18,2021-11-10 11:54:01,1.4683864471435546,True,
ICUI220218C00190000,190.0,USD,71.0,0.0,0.0,3,36.7,39.7,REGULAR,2022-02-18,2021-11-10 11:54:01,1.474001653442383,True,
ICUI220218C00195000,195.0,USD,47.5,0.0,0.0,2,34.0,39.0,REGULAR,2022-02-18,2021-12-31 14:40:15,1.6070576287841798,True,1.0
ICUI220218C00200000,200.0,USD,66.1,0.0,0.0,6,28.0,31.7,REGULAR,2022-02-18,2021-11-10 11:54:01,1.3227572924804685,True,
ICUI220218C00210000,210.0,USD,40.0,0.0,0.0,0,21.0,24.2,REGULAR,2022-02-18,2021-11-10 11:54:01,1.2193642547607422,True,1.0
ICUI220218C00220000,220.0,USD,34.87,0.0,0.0,1,14.0,18.1,REGULAR,2022-02-18,2021-11-10 11:54:01,1.1145063806152344,False,1.0
ICUI220218C00250000,250.0,USD,15.5,0.0,0.0,10,3.0,7.5,REGULAR,2022-02-18,2021-11-16 19:25:42,1.0360155621337894,False,
ICUI220218C00260000,260.0,USD,26.1,0.0,0.0,4,0.0,4.4,REGULAR,2022-02-18,2021-11-10 11:54:01,0.8869640209960936,False,
ICUI220218C00270000,270.0,USD,15.24,0.0,0.0,4,3.0,4.6,REGULAR,2022-02-18,2021-11-10 11:54:01,1.2053262390136719,False,1.0
ICUI220218C00280000,280.0,USD,20.59,0.0,0.0,16,1.1,4.8,REGULAR,2022-02-18,2021-11-10 11:54:01,1.2380409191894528,False,
ICUI220218C00290000,290.0,USD,19.9,0.0,0.0,1,0.0,1.5,REGULAR,2022-02-18,2021-11-10 11:54:01,0.9848634326171876,False,
ICUI220218C00300000,300.0,USD,11.1,0.0,0.0,5,0.55,1.5,REGULAR,2022-02-18,2021-11-10 11:54:01,1.1460003637695313,False,
