contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
ASO220211P00025000,25.0,USD,0.1,0.0,0.0,2,0.0,0.06,REGULAR,2022-02-11,2022-01-27 20:51:19,2.2187544531249994,False,
ASO220211P00030000,30.0,USD,0.15,0.0,0.0,216,0.0,0.22,REGULAR,2022-02-11,2022-01-31 15:37:15,1.7421887890624999,False,2.0
ASO220211P00031000,31.0,USD,0.15,0.0,0.0,6,0.0,0.31,REGULAR,2022-02-11,2022-02-04 16:23:51,1.6796891015625,False,6.0
ASO220211P00032000,32.0,USD,0.14,0.0,0.0,29,0.0,0.28,REGULAR,2022-02-11,2022-02-04 14:33:46,1.4570339648437498,False,8.0
ASO220211P00033000,33.0,USD,0.1,0.0,0.0,451,0.05,0.1,REGULAR,2022-02-11,2022-02-08 16:36:48,1.109379453125,False,756.0
ASO220211P00033500,33.5,USD,0.12,0.0,0.0,21,0.0,0.25,REGULAR,2022-02-11,2022-02-08 20:31:28,1.15234798828125,False,4.0
ASO220211P00034000,34.0,USD,0.2,0.0,0.0,69,0.03,0.19,REGULAR,2022-02-11,2022-02-07 17:59:54,1.0312548437500002,False,9.0
ASO220211P00035000,35.0,USD,0.15,0.040000007,36.363644,197,0.05,0.21,REGULAR,2022-02-11,2022-02-09 16:50:30,0.8945323046874999,False,5.0
ASO220211P00036000,36.0,USD,0.23,0.0,0.0,517,0.09,0.18,REGULAR,2022-02-11,2022-02-08 20:39:15,0.7226590234375,False,14.0
ASO220211P00037000,37.0,USD,0.24,-0.14999999,-38.461536,489,0.16,0.26,REGULAR,2022-02-11,2022-02-09 17:11:07,0.62305064453125,False,442.0
ASO220211P00038000,38.0,USD,0.35,-0.29999998,-46.153847,172,0.35,0.47,REGULAR,2022-02-11,2022-02-09 17:35:08,0.5742230078125,False,22.0
ASO220211P00039000,39.0,USD,0.65,-0.5500001,-45.83334,152,0.66,0.82,REGULAR,2022-02-11,2022-02-09 17:20:59,0.5107470800781251,True,5.0
ASO220211P00040000,40.0,USD,3.5,0.0,0.0,24,1.22,1.47,REGULAR,2022-02-11,2022-02-07 16:57:11,0.59570716796875,True,1.0
ASO220211P00041000,41.0,USD,2.64,0.0,0.0,46,2.0,2.53,REGULAR,2022-02-11,2022-02-08 17:04:37,0.62305064453125,True,12.0
ASO220211P00042000,42.0,USD,4.47,0.0,0.0,10,2.85,3.5,REGULAR,2022-02-11,2022-02-08 16:11:58,0.6796907031250001,True,1.0
ASO220211P00043000,43.0,USD,6.77,0.0,0.0,26,3.85,4.55,REGULAR,2022-02-11,2022-01-21 20:53:10,0.867188828125,True,20.0
ASO220211P00044000,44.0,USD,3.0,0.0,0.0,1,7.65,8.55,REGULAR,2022-02-11,2022-01-05 15:26:16,3.4824231689453127,True,
ASO220211P00045000,45.0,USD,6.29,0.0,0.0,2,5.7,6.55,REGULAR,2022-02-11,2022-01-31 18:31:46,0.9882813671875,True,2.0
ASO220211P00046000,46.0,USD,7.85,0.0,0.0,0,6.65,7.75,REGULAR,2022-02-11,2022-01-26 15:16:44,1.2656286718749998,True,
