contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
MPLN220218C00004000,4.0,USD,0.49,-0.110000014,-18.333336,2,6,0.4,0.55,REGULAR,2022-02-18,2022-01-05 20:37:41,1.765626171875,True
MPLN220218C00005000,5.0,USD,0.25,0.0,0.0,2,19,0.1,0.2,REGULAR,2022-02-18,2022-01-03 19:01:07,1.6640641796875002,False
MPLN220218C00006000,6.0,USD,0.15,0.0,0.0,1,7,0.0,0.1,REGULAR,2022-02-18,2021-12-27 15:30:38,1.71875140625,False
