contractSymbol,strike,currency,lastPrice,change,percentChange,volume,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
RL220211C00140000,140.0,USD,0.76,0.0,0.0,40,0.75,1.4,REGULAR,2022-02-11,2021-12-31 17:28:56,1.2080117724609374,False
RL220211C00145000,145.0,USD,0.44,0.0,0.0,40,0.0,1.3,REGULAR,2022-02-11,2021-12-31 17:28:56,1.2519568652343749,False
