contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
CPT220218C00080000,80.0,USD,67.35,0.0,0.0,0,90.5,95.0,REGULAR,2022-02-18,2021-11-10 12:00:04,5.15796253692627,True,
CPT220218C00085000,85.0,USD,62.21,0.0,0.0,0,85.4,90.0,REGULAR,2022-02-18,2021-11-10 12:00:04,4.807132897338866,True,16.0
CPT220218C00090000,90.0,USD,57.33,0.0,0.0,0,80.6,85.2,REGULAR,2022-02-18,2021-11-10 12:00:04,4.524662547302246,True,10.0
CPT220218C00095000,95.0,USD,39.5,0.0,0.0,0,75.0,79.6,REGULAR,2022-02-18,2021-11-10 12:00:04,4.116948213195801,True,3.0
CPT220218C00120000,120.0,USD,26.4,0.0,0.0,0,51.9,55.7,REGULAR,2022-02-18,2021-11-10 12:00:04,3.0305200018310545,True,1.0
CPT220218C00130000,130.0,USD,15.84,0.0,0.0,14,40.5,45.1,REGULAR,2022-02-18,2021-11-10 12:00:04,2.433841806030273,True,14.0
CPT220218C00135000,135.0,USD,17.9,0.0,0.0,2,35.6,39.9,REGULAR,2022-02-18,2021-11-10 12:00:04,2.2048384722900387,True,1.0
CPT220218C00140000,140.0,USD,24.1,0.0,0.0,9,26.2,30.0,REGULAR,2022-02-18,2021-10-29 15:59:05,1.443362158203125,True,1.0
CPT220218C00145000,145.0,USD,21.6,0.0,0.0,3,0.0,0.0,REGULAR,2022-02-18,2021-11-17 14:30:21,1.0000000000000003e-05,True,1.0
CPT220218C00150000,150.0,USD,19.98,0.0,0.0,61,28.4,31.1,REGULAR,2022-02-18,2021-12-01 16:45:04,2.258549275512695,True,58.0
CPT220218C00155000,155.0,USD,24.3,0.0,0.0,80,17.7,20.3,REGULAR,2022-02-18,2021-12-30 15:32:20,1.4475125280761718,True,1.0
CPT220218C00160000,160.0,USD,16.0,0.0,0.0,142,13.9,15.3,REGULAR,2022-02-18,2021-12-09 17:34:10,1.2680700659179687,True,4.0
CPT220218C00165000,165.0,USD,11.1,0.0,0.0,6,9.0,11.3,REGULAR,2022-02-18,2021-12-06 19:02:23,1.0650681512451172,False,1.0
CPT220218C00170000,170.0,USD,10.84,0.0,0.0,79,6.3,7.3,REGULAR,2022-02-18,2021-12-30 20:04:29,0.9333502758789063,False,1.0
CPT220218C00175000,175.0,USD,3.9,-2.92,-42.81525,4,3.4,4.5,REGULAR,2022-02-18,2022-01-05 15:02:04,0.8024922094726561,False,1.0
CPT220218C00180000,180.0,USD,4.4,0.0,0.0,28,0.0,2.75,REGULAR,2022-02-18,2022-01-03 15:12:12,0.6130409790039064,False,25.0
CPT220218C00185000,185.0,USD,1.75,0.0,0.0,15,0.4,1.5,REGULAR,2022-02-18,2022-01-03 16:14:57,0.6411168701171875,False,2.0
CPT220218C00190000,190.0,USD,2.05,0.0,0.0,12,0.25,2.0,REGULAR,2022-02-18,2021-12-13 16:27:39,0.7648949291992189,False,2.0
CPT220218C00200000,200.0,USD,0.8,0.0,0.0,0,0.1,4.8,REGULAR,2022-02-18,2021-11-30 19:53:00,1.1660197949218751,False,2.0
