contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
MKL220218C01250000,1250.0,USD,34.46,0.0,0.0,3,26.3,33.7,REGULAR,2022-02-18,2021-12-29 14:51:09,0.23844145355224605,True
MKL220218C01260000,1260.0,USD,29.78,0.0,0.0,2,22.6,29.4,REGULAR,2022-02-18,2021-12-29 14:51:09,0.26389285919189454,True
MKL220218C01290000,1290.0,USD,15.42,0.0,0.0,1,13.4,18.1,REGULAR,2022-02-18,2021-12-21 14:51:24,0.3020089331054688,False
MKL220218C01400000,1400.0,USD,2.4,0.0,0.0,1,0.1,4.9,REGULAR,2022-02-18,2021-12-28 18:55:13,0.452703226928711,False
