contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
NVO220218C00070000,70.0,USD,35.72,0.0,0.0,40,31.4,34.7,REGULAR,2022-02-18,2021-12-21 15:38:11,1.8896489892578123,True,
NVO220218C00085000,85.0,USD,25.32,0.0,0.0,6,17.2,18.9,REGULAR,2022-02-18,2021-12-17 17:30:16,1.1084028955078127,True,6.0
NVO220218C00090000,90.0,USD,14.4,-6.6000004,-31.428572,30,13.4,13.9,REGULAR,2022-02-18,2022-01-05 19:18:34,0.99023447265625,True,10.0
NVO220218C00100000,100.0,USD,5.78,-4.02,-41.02041,2,4.4,6.1,REGULAR,2022-02-18,2022-01-05 19:56:31,0.666263103027344,True,2.0
NVO220218C00105000,105.0,USD,3.02,-1.73,-36.42105,46,3.1,3.5,REGULAR,2022-02-18,2022-01-05 19:56:31,0.7087431469726562,False,13.0
NVO220218C00110000,110.0,USD,1.8,-0.54999995,-23.404255,195,1.5,1.7,REGULAR,2022-02-18,2022-01-05 16:58:14,0.6669955175781253,False,8.0
NVO220218C00115000,115.0,USD,0.85,-0.35000002,-29.166668,107,0.7,0.9,REGULAR,2022-02-18,2022-01-05 20:28:47,0.6733431103515627,False,156.0
NVO220218C00120000,120.0,USD,0.42,-0.099999994,-19.230768,979,0.35,0.5,REGULAR,2022-02-18,2022-01-04 19:07:29,0.6992217578125001,False,1.0
NVO220218C00125000,125.0,USD,0.35,0.0,0.0,110,0.15,3.8,REGULAR,2022-02-18,2022-01-04 18:45:41,1.2622107202148438,False,14.0
NVO220218C00130000,130.0,USD,0.3,0.0,0.0,20,0.2,4.8,REGULAR,2022-02-18,2021-12-29 14:47:01,1.5239281616210936,False,10.0
NVO220218C00140000,140.0,USD,0.3,0.0,0.0,2,0.0,4.8,REGULAR,2022-02-18,2021-12-22 18:13:05,1.7700206811523436,False,
