contractSymbol,strike,currency,lastPrice,change,percentChange,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume,openInterest
PSB220414C00140400,140.4,USD,15.9,0.0,0.0,43.5,48.0,REGULAR,2022-04-14,2021-12-20 05:08:28,1.33941980682373,True,,
PSB220414C00145000,145.0,USD,15.9,0.0,0.0,30.0,35.0,REGULAR,2022-04-14,2021-11-10 11:55:50,0.8859874682617187,True,10.0,0.0
PSB220414C00155400,155.4,USD,15.7,0.0,0.0,28.5,33.5,REGULAR,2022-04-14,2021-12-20 05:08:28,1.0315600180053712,True,,1.0
PSB220414C00160000,160.0,USD,15.7,0.0,0.0,17.5,20.5,REGULAR,2022-04-14,2021-11-10 11:55:50,0.6576572320556642,True,2.0,1.0
PSB220414C00165400,165.4,USD,12.8,0.0,0.0,20.0,24.5,REGULAR,2022-04-14,2021-12-20 05:08:28,0.8649915844726561,False,,14.0
PSB220414C00170000,170.0,USD,12.8,0.0,0.0,0.0,0.0,REGULAR,2022-04-14,2021-12-13 16:40:25,0.0312596875,False,,0.0
PSB220414C00170400,170.4,USD,7.5,0.0,0.0,16.5,20.0,REGULAR,2022-04-14,2021-12-20 05:08:28,0.7902853002929688,False,,1.0
PSB220414C00175000,175.0,USD,7.5,0.0,0.0,8.5,12.0,REGULAR,2022-04-14,2021-10-20 19:01:57,0.5567060931396486,False,,1.0
PSB220414C00175400,175.4,USD,7.87,0.0,0.0,12.5,16.0,REGULAR,2022-04-14,2021-12-20 05:08:28,0.7097807342529296,False,,2.0
PSB220414C00180000,180.0,USD,7.87,0.0,0.0,0.0,0.0,REGULAR,2022-04-14,2021-12-13 05:09:43,0.062509375,False,,0.0
PSB220414C00180400,180.4,USD,8.8,0.0,0.0,8.5,12.5,REGULAR,2022-04-14,2021-12-21 19:45:25,0.629886513671875,False,1.0,2.0
PSB220414C00185000,185.0,USD,4.92,0.0,0.0,3.7,6.9,REGULAR,2022-04-14,2021-11-01 14:02:13,0.5383346948242189,False,,1.0
PSB220414C00185400,185.4,USD,2.85,0.0,0.0,5.5,9.5,REGULAR,2022-04-14,2021-12-20 05:08:28,0.5666547241210937,False,,1.0
PSB220414C00190000,190.0,USD,2.85,0.0,0.0,2.0,6.0,REGULAR,2022-04-14,2021-11-02 19:43:23,0.5485884985351563,False,,1.0
PSB220414C00190400,190.4,USD,4.45,0.0,0.0,3.0,7.0,REGULAR,2022-04-14,2021-12-27 20:26:50,0.5084277673339843,False,,8.0
PSB220414C00195400,195.4,USD,1.92,0.0,0.0,1.0,5.5,REGULAR,2022-04-14,2021-12-20 05:08:28,0.5741619732666017,False,,1.0
PSB220414C00200000,200.0,USD,1.92,0.0,0.0,0.3,4.2,REGULAR,2022-04-14,2021-11-01 14:02:13,0.5500533276367189,False,,1.0
